file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/bo/channel/activity/service/ActivityService.java,100.00,100.00,100.00,31,1188,480,6
src/main/java/jp/co/smbc/gcms/bo/channel/activity/service/ActivitySearchFilterService.java,100.00,93.33,96.61,23,808,161,5
src/main/java/jp/co/smbc/gcms/bo/channel/activity/util/DateTimeUtil.java,98.25,93.33,95.76,8,172,37,3
src/main/java/jp/co/smbc/gcms/bo/channel/activity/service/ActivityCompanyService.java,100.00,80.00,89.44,20,397,137,7
src/main/java/jp/co/smbc/gcms/bo/channel/activity/service/ActivityLogSearchService.java,100.00,66.67,81.65,15,372,72,5
src/main/java/jp/co/smbc/gcms/bo/channel/activity/service/ActivityAdminGroupService.java,70.18,80.00,74.93,6,149,20,3
src/main/java/jp/co/smbc/gcms/bo/channel/activity/service/ActivityOwnService.java,70.18,80.00,74.93,6,121,24,4
src/test/java/jp/co/smbc/gcms/bo/channel/activity/service/ActivityCompanyServiceTest.java,100.00,40.00,63.25,12,934,295,6
src/test/java/jp/co/smbc/gcms/bo/channel/activity/service/ActivitySearchFilterServiceTest.java,100.00,40.00,63.25,14,1588,81,3
src/test/java/jp/co/smbc/gcms/bo/channel/activity/service/ActivityServiceTest.java,100.00,40.00,63.25,12,1803,92,3
src/main/java/jp/co/smbc/gcms/bo/channel/activity/service/AdminActivityReportSearchService.java,42.11,93.33,62.69,4,341,22,2
src/main/java/jp/co/smbc/gcms/bo/channel/activity/model/dto/ElasticSearchResponse.java,56.14,53.33,54.72,5,39,47,3
src/main/java/jp/co/smbc/gcms/bo/channel/activity/mapper/ActivityLogResponseMapper.java,42.11,66.67,52.98,4,86,1,2
src/main/java/jp/co/smbc/gcms/bo/channel/activity/model/elastic/document/ActivityLog.java,100.00,26.67,51.64,10,318,95,5
src/main/java/jp/co/smbc/gcms/bo/channel/activity/util/CollectionFilterUtil.java,42.11,53.33,47.39,4,44,7,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/model/enums/SortField.java,70.18,26.67,43.26,6,56,10,4
src/main/java/jp/co/smbc/gcms/bo/channel/activity/service/ActivityReportQueryService.java,28.07,66.67,43.26,3,284,4,2
src/main/java/jp/co/smbc/gcms/bo/channel/activity/service/ElasticFilterHelper.java,28.07,53.33,38.69,3,96,20,3
src/main/java/jp/co/smbc/gcms/bo/channel/activity/config/TranslationFieldConverter.java,14.04,100.00,37.46,2,76,1,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/service/AdminActivityReportService.java,14.04,100.00,37.46,2,319,65,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/service/ActivityLogSearchServiceTest.java,100.00,13.33,36.51,11,570,21,5
src/main/java/jp/co/smbc/gcms/bo/channel/activity/config/ElasticSearchConfig.java,14.04,53.33,27.36,2,10,5,2
src/main/java/jp/co/smbc/gcms/bo/channel/activity/util/KeywordSearchUtil.java,14.04,53.33,27.36,2,51,2,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/service/ActivityAdminGroupServiceTest.java,56.14,13.33,27.36,5,777,12,3
src/main/java/jp/co/smbc/gcms/bo/channel/activity/service/ActivityReportService.java,14.04,40.00,23.69,2,504,0,2
src/main/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/AdaptorHelper.java,14.04,26.67,19.35,2,73,1,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/service/ActivityOwnServiceTest.java,28.07,13.33,19.35,3,627,7,3
src/main/java/jp/co/smbc/gcms/bo/channel/activity/ActivityApplication.java,0.00,0.00,0.00,1,18,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/AdminActivityKeywordSuggestionsParams.java,0.00,0.00,0.00,1,30,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/BranchAdaptor.java,28.07,0.00,0.00,3,112,0,3
src/main/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/BranchAdaptorProperties.java,42.11,0.00,0.00,4,33,1,3
src/main/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/CorporateProfileAdaptor.java,0.00,0.00,0.00,1,30,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/CorporateProfileAdaptorProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/EntitlementAdaptor.java,84.21,0.00,0.00,7,174,78,4
src/main/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/EntitlementAdaptorProperties.java,56.14,0.00,0.00,5,23,2,3
src/main/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/FoActivityAdaptor.java,28.07,0.00,0.00,3,77,19,2
src/main/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/FoActivityAdaptorProperties.java,14.04,0.00,0.00,2,16,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/LookupAdaptor.java,0.00,0.00,0.00,1,25,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/LookupAdaptorProperties.java,0.00,0.00,0.00,1,14,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/ProfileAdaptor.java,14.04,0.00,0.00,2,50,0,2
src/main/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/ProfileAdaptorProperties.java,14.04,0.00,0.00,2,19,0,2
src/main/java/jp/co/smbc/gcms/bo/channel/activity/config/MessageFieldConverter.java,0.00,40.00,0.00,1,47,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/config/StringListJsonConverter.java,0.00,26.67,0.00,1,35,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/config/WireMockConfig.java,0.00,26.67,0.00,1,48,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/controller/ActivityAdminGroupController.java,0.00,0.00,0.00,1,25,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/controller/ActivityCompanyController.java,28.07,0.00,0.00,3,35,5,2
src/main/java/jp/co/smbc/gcms/bo/channel/activity/controller/ActivityController.java,0.00,0.00,0.00,1,33,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/controller/ActivityOwnController.java,0.00,0.00,0.00,1,25,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/controller/ActivityReportController.java,28.07,0.00,0.00,3,60,0,2
src/main/java/jp/co/smbc/gcms/bo/channel/activity/controller/ActivitySearchFilterController.java,28.07,0.00,0.00,3,57,1,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/model/dto/ActivityReportHit.java,0.00,0.00,0.00,1,24,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/model/dto/ElasticSearchQueryParams.java,14.04,0.00,0.00,2,5,2,2
src/main/java/jp/co/smbc/gcms/bo/channel/activity/model/entity/ActivitySearchFilterEntity.java,14.04,0.00,0.00,2,105,6,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/repository/ActivityLogDocumentRepo.java,28.07,0.00,0.00,3,96,4,3
src/main/java/jp/co/smbc/gcms/bo/channel/activity/repository/ActivitySearchFilterRepository.java,0.00,0.00,0.00,1,24,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/util/Constants.java,70.18,0.00,0.00,6,72,2,4
src/main/java/jp/co/smbc/gcms/bo/channel/activity/util/KeywordSuggestionUtil.java,0.00,53.33,0.00,1,36,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/util/LanguageUtil.java,0.00,26.67,0.00,1,37,0,1
src/main/java/jp/co/smbc/gcms/bo/channel/activity/util/PaginationUtil.java,0.00,13.33,0.00,1,43,0,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/AdaptorHelperTest.java,28.07,0.00,0.00,3,366,0,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/AdminActivityKeywordSuggestionsParamsTest.java,28.07,0.00,0.00,3,183,0,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/BranchAdaptorTest.java,28.07,0.00,0.00,3,138,0,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/EntitlementAdaptorTest.java,28.07,0.00,0.00,3,309,0,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/FoActivityAdaptorTest.java,28.07,0.00,0.00,3,357,0,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/adaptor/ProfileAdaptorTest.java,28.07,0.00,0.00,3,141,0,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/controller/ActivityAdminGroupControllerTest.java,0.00,0.00,0.00,1,94,0,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/controller/ActivityCompanyControllerTest.java,14.04,0.00,0.00,2,102,9,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/controller/ActivityControllerTest.java,14.04,0.00,0.00,2,162,1,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/controller/ActivityOwnControllerTest.java,0.00,0.00,0.00,1,122,0,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/controller/ActivityReportControllerTest.java,14.04,0.00,0.00,2,138,3,2
src/test/java/jp/co/smbc/gcms/bo/channel/activity/controller/ActivitySearchFilterControllerTest.java,14.04,0.00,0.00,2,209,1,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/mapper/ActivityLogResponseMapperTest.java,70.18,0.00,0.00,6,949,99,3
src/test/java/jp/co/smbc/gcms/bo/channel/activity/model/enums/SortFieldTest.java,42.11,0.00,0.00,4,344,2,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/repository/ActivityLogDocumentRepoTest.java,84.21,0.00,0.00,7,105,4,1
src/test/java/jp/co/smbc/gcms/bo/channel/activity/repository/ActivitySearchFilterRepositoryTest.java,84.21,0.00,0.00,7,98,4,1
