file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/bo/auth/adaptor/EntitlementAdaptor.java,100.00,100.00,100.00,23,562,108,7
src/main/java/jp/co/smbc/gcms/bo/auth/adaptor/ProfileAdaptor.java,100.00,100.00,100.00,13,262,28,8
src/main/java/jp/co/smbc/gcms/bo/auth/config/KafkaConfig.java,100.00,100.00,100.00,14,394,31,7
src/main/java/jp/co/smbc/gcms/bo/auth/service/BcpPasswordResetService.java,100.00,100.00,100.00,12,157,63,4
src/main/java/jp/co/smbc/gcms/bo/auth/service/BcpPasswordSetService.java,100.00,100.00,100.00,23,346,280,8
src/main/java/jp/co/smbc/gcms/bo/auth/service/BcpService.java,100.00,100.00,100.00,27,323,363,7
src/main/java/jp/co/smbc/gcms/bo/auth/service/CommonService.java,100.00,100.00,100.00,27,944,339,7
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenExportService.java,100.00,100.00,100.00,13,747,380,3
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenInstructionSubmissionService.java,100.00,100.00,100.00,12,284,44,2
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenRetrievalService.java,100.00,100.00,100.00,12,565,271,3
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenService.java,100.00,100.00,100.00,12,258,37,5
src/main/java/jp/co/smbc/gcms/bo/auth/adaptor/KafkaAdaptor.java,91.67,100.00,95.74,11,306,61,6
src/main/java/jp/co/smbc/gcms/bo/auth/service/InstructionStatusExecuteConsumerService.java,91.67,100.00,95.74,11,178,43,4
src/main/java/jp/co/smbc/gcms/bo/auth/service/AuthService.java,83.33,100.00,91.29,10,439,61,4
src/main/java/jp/co/smbc/gcms/bo/auth/repository/HardTokenMasterRepositoryImpl.java,66.67,100.00,81.65,8,470,232,3
src/main/java/jp/co/smbc/gcms/bo/auth/service/AllocateCompanyInstructionService.java,66.67,100.00,81.65,8,307,129,3
src/main/java/jp/co/smbc/gcms/bo/auth/service/ActivityLogPublisher.java,75.00,80.00,77.46,9,267,93,4
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenFiltersService.java,58.33,100.00,76.38,7,749,117,1
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenStatusListOfValuesService.java,58.33,100.00,76.38,7,197,99,2
src/main/java/jp/co/smbc/gcms/bo/auth/adaptor/BranchAdaptor.java,41.67,100.00,64.55,5,313,49,4
src/main/java/jp/co/smbc/gcms/bo/auth/service/BcpUsersInitService.java,41.67,100.00,64.55,5,175,2,4
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenMasterStatusChangeService.java,41.67,80.00,57.74,5,126,31,3
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardwareTokenCreationExecutionProcessor.java,41.67,80.00,57.74,5,132,11,2
src/main/java/jp/co/smbc/gcms/bo/auth/service/RetrieveHardTokenAssignmentInstructionTokensService.java,33.33,100.00,57.74,4,312,11,3
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenFiltersUpdateService.java,25.00,100.00,50.00,3,76,3,1
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenKeywordSuggestionsService.java,25.00,100.00,50.00,3,146,15,1
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenUploadService.java,25.00,100.00,50.00,3,250,2,1
src/test/java/jp/co/smbc/gcms/bo/auth/service/AuthServiceTest.java,58.33,40.00,48.30,7,1172,621,3
src/main/java/jp/co/smbc/gcms/bo/auth/service/BcpCryptoService.java,50.00,40.00,44.72,6,144,11,3
src/test/java/jp/co/smbc/gcms/bo/auth/config/KafkaConfigStatusChangeConsumerTest.java,50.00,40.00,44.72,6,208,5,5
src/test/java/jp/co/smbc/gcms/bo/auth/service/HardTokenExportServiceTest.java,50.00,40.00,44.72,6,1179,61,3
src/test/java/jp/co/smbc/gcms/bo/auth/service/HardTokenRetrievalServiceTest.java,50.00,40.00,44.72,6,1283,198,3
src/test/java/jp/co/smbc/gcms/bo/auth/adaptor/ProfileAdaptorTest.java,41.67,40.00,40.82,5,259,21,3
src/test/java/jp/co/smbc/gcms/bo/auth/service/PostAssignBranchInstructionServiceTest.java,41.67,40.00,40.82,5,288,215,2
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenActionListOfValuesService.java,16.67,100.00,40.82,2,166,12,1
src/main/java/jp/co/smbc/gcms/bo/auth/service/PostAssignBranchInstructionService.java,16.67,100.00,40.82,2,152,21,1
src/test/java/jp/co/smbc/gcms/bo/auth/service/HardTokenKeywordSuggestionsServiceTest.java,16.67,100.00,40.82,2,379,22,1
src/test/java/jp/co/smbc/gcms/bo/auth/adaptor/BranchAdaptorTest.java,33.33,40.00,36.51,4,418,27,3
src/test/java/jp/co/smbc/gcms/bo/auth/service/HardTokenStatusListOfValuesServiceTest.java,33.33,40.00,36.51,4,312,84,2
src/main/java/jp/co/smbc/gcms/bo/auth/service/PasswordGeneratorService.java,25.00,40.00,31.62,3,19,22,2
src/test/java/jp/co/smbc/gcms/bo/auth/service/HardwareTokenCreationExecutionProcessorTest.java,25.00,40.00,31.62,3,197,13,2
src/main/java/jp/co/smbc/gcms/bo/auth/config/RequestLoggingFilter.java,8.33,100.00,28.87,1,77,0,1
src/main/java/jp/co/smbc/gcms/bo/auth/config/WireMockConfig.java,8.33,80.00,25.82,1,47,0,1
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenAllocateExecutor.java,16.67,40.00,25.82,2,70,2,2
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenAmendRemarksExecutor.java,16.67,40.00,25.82,2,72,2,2
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenAmendUseCaseExecutor.java,16.67,40.00,25.82,2,72,2,2
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenAssignmentExecutor.java,16.67,40.00,25.82,2,69,2,2
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenAssignmentInstructionStatusChangeService.java,16.67,40.00,25.82,2,48,1,2
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenDeactivateExecutor.java,16.67,40.00,25.82,2,70,2,2
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenRestoreExecutor.java,16.67,40.00,25.82,2,70,2,2
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenSuspendExecutor.java,16.67,40.00,25.82,2,86,2,2
src/main/java/jp/co/smbc/gcms/bo/auth/service/HardTokenUnlinkExecutor.java,16.67,40.00,25.82,2,70,2,2
src/main/java/jp/co/smbc/gcms/bo/auth/service/UserProfileChangedConsumerService.java,8.33,40.00,18.26,1,34,0,1
src/test/java/jp/co/smbc/gcms/bo/auth/adaptor/ProfileAdaptorExtendedTest.java,8.33,40.00,18.26,1,349,0,1
