file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/bo/content/service/PostInformationInstructionSubmissionService.java,94.12,90.00,92.04,8,1891,299,3
src/main/java/jp/co/smbc/gcms/bo/content/service/PostInitEditInformationInstructionService.java,94.12,80.00,86.77,8,2044,201,5
src/main/java/jp/co/smbc/gcms/bo/content/stream/ConsumerController.java,100.00,70.00,83.67,21,532,54,8
src/main/java/jp/co/smbc/gcms/bo/content/service/GetInformationInstructionTargetAudienceService.java,82.35,80.00,81.17,7,1407,112,3
src/main/java/jp/co/smbc/gcms/bo/content/service/PostContentAnnouncementsRetrievalService.java,82.35,80.00,81.17,7,357,27,2
src/test/java/jp/co/smbc/gcms/bo/content/service/DeleteContentTncServiceTest.java,70.59,90.00,79.71,6,790,210,4
src/main/java/jp/co/smbc/gcms/bo/content/service/PostManualInstructionService.java,100.00,60.00,77.46,10,380,51,3
src/test/java/jp/co/smbc/gcms/bo/content/service/TcFiltersServiceTest.java,100.00,60.00,77.46,9,1002,50,1
src/main/java/jp/co/smbc/gcms/bo/content/service/GetAnnouncementKeywordSuggestionsService.java,58.82,100.00,76.70,5,176,16,3
src/main/java/jp/co/smbc/gcms/bo/content/service/PostAnnouncementInstructionUploadService.java,58.82,100.00,76.70,5,585,21,2
src/main/java/jp/co/smbc/gcms/bo/content/service/PutFooterInstructionService.java,58.82,90.00,72.76,5,692,81,3
src/main/java/jp/co/smbc/gcms/bo/content/service/FooterService.java,100.00,50.00,70.71,11,477,12,6
src/main/java/jp/co/smbc/gcms/bo/content/service/AnnouncementValidationService.java,47.06,100.00,68.60,4,353,8,2
src/main/java/jp/co/smbc/gcms/bo/content/service/GetAnnouncementInstructionTargetAudiencesService.java,47.06,100.00,68.60,4,457,65,2
src/main/java/jp/co/smbc/gcms/bo/content/service/PatchAnnouncementInstructionService.java,47.06,100.00,68.60,4,412,12,1
src/main/java/jp/co/smbc/gcms/bo/content/service/PostAnnouncementInstructionSubmissionService.java,47.06,100.00,68.60,4,393,12,3
src/main/java/jp/co/smbc/gcms/bo/content/service/PostAnnouncementSavedFilterService.java,58.82,80.00,68.60,5,252,15,3
src/main/java/jp/co/smbc/gcms/bo/content/service/PutManualInstructionService.java,58.82,80.00,68.60,5,522,82,2
src/main/java/jp/co/smbc/gcms/bo/content/service/PostContentTncInitEditService.java,70.59,60.00,65.08,6,320,134,4
src/main/java/jp/co/smbc/gcms/bo/content/service/PostContentTncSubmitService.java,70.59,60.00,65.08,6,369,204,3
src/main/java/jp/co/smbc/gcms/bo/content/service/PutInformationInstructionService.java,47.06,90.00,65.08,4,550,182,2
src/test/java/jp/co/smbc/gcms/bo/content/service/InformationFiltersServiceTest.java,58.82,70.00,64.17,5,490,7,3
src/main/java/jp/co/smbc/gcms/bo/content/adaptor/ContentAdaptor.java,100.00,40.00,63.25,41,1067,219,15
src/main/java/jp/co/smbc/gcms/bo/content/service/TcService.java,100.00,40.00,63.25,13,634,165,4
src/main/java/jp/co/smbc/gcms/bo/content/service/GetContentPreviewService.java,47.06,80.00,61.36,4,164,7,4
src/main/java/jp/co/smbc/gcms/bo/content/service/DeleteContentService.java,70.59,50.00,59.41,6,117,43,3
src/main/java/jp/co/smbc/gcms/bo/content/service/DeleteContentTncService.java,58.82,60.00,59.41,5,273,78,4
src/main/java/jp/co/smbc/gcms/bo/content/service/GetContentAnnouncementsTargetAudienceRetrievalService.java,58.82,60.00,59.41,5,474,26,2
src/test/java/jp/co/smbc/gcms/bo/content/service/PostAnnouncementInstructionEditServiceTest.java,35.29,100.00,59.41,3,362,2,3
src/main/java/jp/co/smbc/gcms/bo/content/adaptor/EntitlementAdaptor.java,82.35,40.00,57.39,7,221,27,6
src/main/java/jp/co/smbc/gcms/bo/content/service/GetContentAnnouncementsService.java,47.06,70.00,57.39,4,662,16,3
src/main/java/jp/co/smbc/gcms/bo/content/service/PostFooterSubmissionService.java,82.35,40.00,57.39,7,191,25,6
src/main/java/jp/co/smbc/gcms/bo/content/service/PostPreLoginImageInstructionSubmissionService.java,47.06,70.00,57.39,4,282,63,1
src/main/java/jp/co/smbc/gcms/bo/content/service/PostAnnouncementInstructionEditService.java,58.82,50.00,54.23,5,335,8,4
src/main/java/jp/co/smbc/gcms/bo/content/service/PostAnnouncementInstructionService.java,58.82,50.00,54.23,5,280,12,2
src/main/java/jp/co/smbc/gcms/bo/content/service/PostEditInformationInstructionService.java,58.82,50.00,54.23,5,316,14,2
src/main/java/jp/co/smbc/gcms/bo/content/service/AnnouncementInstructionStatusExecuteProcessorService.java,35.29,80.00,53.14,3,398,5,1
src/main/java/jp/co/smbc/gcms/bo/content/service/GetContentInformationDetailsService.java,70.59,40.00,53.14,6,257,11,4
src/main/java/jp/co/smbc/gcms/bo/content/adaptor/BranchAdaptor.java,47.06,60.00,53.14,4,85,5,3
src/main/java/jp/co/smbc/gcms/bo/content/service/GetInformationTargetAudienceService.java,47.06,60.00,53.14,4,240,7,3
src/main/java/jp/co/smbc/gcms/bo/content/service/PostPreLoginImageInstructionService.java,47.06,60.00,53.14,4,337,72,1
src/main/java/jp/co/smbc/gcms/bo/content/service/PostContentTargetAudiencesUsersUploadService.java,35.29,70.00,49.71,3,770,188,2
src/main/java/jp/co/smbc/gcms/bo/content/service/FooterInstructionStatusExecuteProcessorService.java,58.82,40.00,48.51,5,476,181,4
src/main/java/jp/co/smbc/gcms/bo/content/service/ManualActivityLogPublisher.java,58.82,40.00,48.51,5,510,7,3
src/main/java/jp/co/smbc/gcms/bo/content/service/FooterInstructionRetrieve.java,23.53,100.00,48.51,2,634,12,2
src/main/java/jp/co/smbc/gcms/bo/content/service/GetContentInformationContentService.java,47.06,50.00,48.51,4,178,17,3
src/main/java/jp/co/smbc/gcms/bo/content/service/DeleteContentAnnouncementService.java,35.29,60.00,46.02,3,345,14,1
src/main/java/jp/co/smbc/gcms/bo/content/service/PostInternalContentBulkDownloadService.java,100.00,20.00,44.72,11,159,93,4
src/main/java/jp/co/smbc/gcms/bo/content/service/PostInternalContentUploadService.java,100.00,20.00,44.72,9,125,63,6
src/main/java/jp/co/smbc/gcms/bo/content/adaptor/ProfileAdaptor.java,94.12,20.00,43.39,8,202,1,5
src/main/java/jp/co/smbc/gcms/bo/content/service/GetFooterPreviewService.java,23.53,80.00,43.39,2,148,4,2
src/main/java/jp/co/smbc/gcms/bo/content/service/PostContentTncInstructionUploadService.java,23.53,80.00,43.39,2,345,92,2
src/main/java/jp/co/smbc/gcms/bo/content/service/PostManualAttachmentUploadService.java,47.06,40.00,43.39,4,236,8,2
src/main/java/jp/co/smbc/gcms/bo/content/service/PostPreLoginImageRetrievalService.java,47.06,40.00,43.39,4,237,20,1
src/main/java/jp/co/smbc/gcms/bo/content/service/RefreshLockService.java,47.06,40.00,43.39,4,212,6,3
src/main/java/jp/co/smbc/gcms/bo/content/service/TcFiltersService.java,94.12,20.00,43.39,8,270,40,2
src/main/java/jp/co/smbc/gcms/bo/content/service/GetPreLoginImageInstructionService.java,35.29,50.00,42.01,3,462,37,2
src/main/java/jp/co/smbc/gcms/bo/content/service/PopulateFooterDetailResponseService.java,35.29,50.00,42.01,3,309,25,2
src/main/java/jp/co/smbc/gcms/bo/content/service/PostContentTncDraftService.java,58.82,30.00,42.01,5,239,167,4
src/main/java/jp/co/smbc/gcms/bo/content/service/PreLoginImageInstructionStatusChangeProcessorService.java,35.29,50.00,42.01,3,80,5,2
src/test/java/jp/co/smbc/gcms/bo/content/service/PostAnnouncementInstructionUploadServiceTest.java,58.82,30.00,42.01,5,746,2,3
src/test/java/jp/co/smbc/gcms/bo/content/service/PostAnnouncementSavedFilterServiceTest.java,35.29,50.00,42.01,3,526,5,2
src/main/java/jp/co/smbc/gcms/bo/content/service/GetContentTncInstructionService.java,23.53,70.00,40.58,2,439,20,1
src/main/java/jp/co/smbc/gcms/bo/content/service/GetAnnouncementFiltersService.java,35.29,40.00,37.57,3,258,2,1
src/main/java/jp/co/smbc/gcms/bo/content/service/GetAnnouncementInstructionService.java,35.29,40.00,37.57,3,332,36,1
src/main/java/jp/co/smbc/gcms/bo/content/service/GetFooterMasterDataService.java,23.53,60.00,37.57,2,122,3,2
src/main/java/jp/co/smbc/gcms/bo/content/service/GetInformationInstructionDetailsService.java,47.06,30.00,37.57,4,321,16,1
src/main/java/jp/co/smbc/gcms/bo/content/service/InformationFiltersService.java,47.06,30.00,37.57,4,227,1,3
src/main/java/jp/co/smbc/gcms/bo/content/service/PostPreLoginImageInstructionEditService.java,23.53,60.00,37.57,2,282,1,1
src/main/java/jp/co/smbc/gcms/bo/content/service/PostPreLoginImageUploadService.java,23.53,60.00,37.57,2,227,48,1
src/test/java/jp/co/smbc/gcms/bo/content/service/GetContentInformationFilterOptionsServiceTest.java,23.53,60.00,37.57,2,250,0,2
src/main/java/jp/co/smbc/gcms/bo/content/service/GetAnnouncementFileDownloadService.java,23.53,50.00,34.30,2,65,1,1
src/main/java/jp/co/smbc/gcms/bo/content/service/ManualRetrievalService.java,58.82,20.00,34.30,5,182,51,3
src/main/java/jp/co/smbc/gcms/bo/content/service/PostAnnouncementCloneService.java,23.53,50.00,34.30,2,284,21,1
