file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionUsersAccountService.java,100.00,100.00,100.00,32,2082,1438,10
src/main/java/jp/co/smbc/gcms/bo/customer/util/ApprovalMatrixInstructionValidator.java,100.00,100.00,100.00,50,5284,2482,14
src/main/java/jp/co/smbc/gcms/bo/customer/util/UserDetailsValidator.java,100.00,100.00,100.00,51,849,157,14
src/test/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionSubmissionServiceTest.java,100.00,100.00,100.00,43,2602,1260,14
src/main/java/jp/co/smbc/gcms/bo/customer/service/CompanyEntitlementTemplateService.java,100.00,96.00,97.98,35,2738,679,8
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerUsersRetrievalService.java,100.00,96.00,97.98,31,1333,490,12
src/main/java/jp/co/smbc/gcms/bo/customer/service/CascadeRemoveApprovalMatrixConditionAccountService.java,100.00,88.00,93.81,26,561,385,13
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionEditService.java,86.27,100.00,92.88,22,782,402,7
src/main/java/jp/co/smbc/gcms/bo/customer/service/CompanyAccountInstructionService.java,100.00,80.00,89.44,83,3930,2031,17
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerApprovalMatrixInstructionService.java,100.00,80.00,89.44,53,4050,1358,13
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionServiceLimitService.java,100.00,80.00,89.44,27,597,357,7
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionSubmissionService.java,100.00,80.00,89.44,45,1172,440,14
src/main/java/jp/co/smbc/gcms/bo/customer/service/PutCustomerApprovalMatrixInstructionService.java,100.00,80.00,89.44,27,1542,273,8
src/main/java/jp/co/smbc/gcms/bo/customer/service/BoStreamCustomerExecutorListenerService.java,100.00,72.00,84.85,134,4141,2153,22
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerCustomerInstructionUsersService.java,100.00,72.00,84.85,55,4408,1123,15
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionAccountsService.java,100.00,72.00,84.85,37,3078,827,14
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionService.java,100.00,72.00,84.85,50,1893,579,14
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionUserRetrievalService.java,100.00,72.00,84.85,96,4419,2207,21
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionUsersEntitlementsService.java,100.00,72.00,84.85,36,1194,443,10
src/main/java/jp/co/smbc/gcms/bo/customer/service/EntitlementTemplateInstructionService.java,100.00,72.00,84.85,52,4289,1093,13
src/main/java/jp/co/smbc/gcms/bo/customer/util/EntitlementTemplateInstructionValidator.java,100.00,72.00,84.85,31,1616,413,10
src/main/java/jp/co/smbc/gcms/bo/customer/util/CompanyDetailsValidator.java,90.20,72.00,80.59,23,1295,586,11
src/main/java/jp/co/smbc/gcms/bo/customer/service/CompanyApprovalGroupRetrievalService.java,100.00,64.00,80.00,37,814,585,7
src/main/java/jp/co/smbc/gcms/bo/customer/service/CompanyService.java,100.00,64.00,80.00,29,1112,488,9
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerApprovalGroupInstructionRetrievalService.java,100.00,64.00,80.00,46,1212,467,10
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerRetrievalService.java,100.00,64.00,80.00,33,944,421,7
src/main/java/jp/co/smbc/gcms/bo/customer/service/EntitlementTemplateSubServiceRetrievalService.java,100.00,64.00,80.00,26,2393,601,7
src/main/java/jp/co/smbc/gcms/bo/customer/service/CascadeRemoveApprovalMatrixConditionService.java,98.04,64.00,79.21,25,326,312,13
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionUsersFilterOptionService.java,98.04,64.00,79.21,25,1392,511,10
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionUsersVerificationService.java,78.43,80.00,79.21,20,1044,633,10
src/main/java/jp/co/smbc/gcms/bo/customer/service/CascadeRemoveApprovalGroupUserService.java,70.59,88.00,78.81,18,271,270,10
src/main/java/jp/co/smbc/gcms/bo/customer/service/EntitlementTemplateInstructionRetrievalService.java,86.27,72.00,78.81,22,557,184,10
src/main/java/jp/co/smbc/gcms/bo/customer/service/CompanyLimitInstructionService.java,94.12,64.00,77.61,24,2504,763,10
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionUpdateService.java,94.12,64.00,77.61,24,1259,809,11
src/main/java/jp/co/smbc/gcms/bo/customer/service/UserListFilterService.java,58.82,88.00,71.95,15,336,217,5
src/main/java/jp/co/smbc/gcms/bo/customer/util/CommonValidateLimitDetails.java,50.98,100.00,71.40,13,713,431,4
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionTrackRetrievalService.java,78.43,64.00,70.85,20,813,627,6
src/main/java/jp/co/smbc/gcms/bo/customer/mapper/CustomerInstructionMapper.java,100.00,48.00,69.28,39,2277,1431,11
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerApprovalMatricesRetrievalService.java,100.00,48.00,69.28,30,3387,374,10
src/main/java/jp/co/smbc/gcms/bo/customer/service/CascadeRemoveEntitlementTemplateAccountService.java,66.67,72.00,69.28,17,480,413,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/CascadeRemoveEntitlementTemplateServiceLimitService.java,66.67,72.00,69.28,17,277,348,10
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerEntitlementTemplatesAccountRetrievalService.java,66.67,72.00,69.28,17,2338,176,7
src/main/java/jp/co/smbc/gcms/bo/customer/service/DeleteCustomerAccountsInstructionService.java,66.67,72.00,69.28,17,438,31,3
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerApprovalMatrixInstructionRoutesRetrievalService.java,70.59,64.00,67.21,18,1142,301,10
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerApprovalMatricesConditionsRetrievalService.java,43.14,100.00,65.68,11,891,513,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/CascadeRemoveEntitlementTemplateAccountLimitService.java,74.51,56.00,64.60,19,465,391,10
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerAccountsRetrievalByCorporateRefIdService.java,74.51,56.00,64.60,19,1361,522,7
src/main/java/jp/co/smbc/gcms/bo/customer/mapper/CustomerUserAccountMapper.java,43.14,96.00,64.35,11,739,390,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/CompanyApprovalMatrixRoutesService.java,86.27,48.00,64.35,22,790,177,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionUserDeleteService.java,62.75,64.00,63.37,16,587,105,8
src/main/java/jp/co/smbc/gcms/bo/customer/adaptor/ProfileAdaptor.java,100.00,40.00,63.25,65,1638,858,25
src/main/java/jp/co/smbc/gcms/bo/customer/service/CommonUtilService.java,100.00,40.00,63.25,32,422,135,10
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionUsersService.java,100.00,40.00,63.25,41,1889,1440,14
src/main/java/jp/co/smbc/gcms/bo/customer/service/SnapshotPopulationService.java,100.00,40.00,63.25,31,2348,1421,10
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionUploadService.java,70.59,56.00,62.87,18,1108,985,9
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerServiceInstructionsRetrievalService.java,82.35,48.00,62.87,21,1474,771,9
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerAccountsSummaryService.java,39.22,100.00,62.62,10,1093,688,5
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerApprovalGroupInstructionService.java,43.14,88.00,61.61,11,828,137,5
src/main/java/jp/co/smbc/gcms/bo/customer/service/CascadeService.java,58.82,64.00,61.36,15,183,323,10
src/test/java/jp/co/smbc/gcms/bo/customer/service/CustomerApprovalMatrixInstructionRoutesRetrievalServiceTest.java,47.06,80.00,61.36,12,2868,1518,8
src/main/java/jp/co/smbc/gcms/bo/customer/service/ApprovalGroupCommonFunctionsService.java,50.98,72.00,60.59,13,447,194,7
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerAccountService.java,90.20,40.00,60.07,23,587,158,12
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionRegisterService.java,62.75,56.00,59.28,16,530,335,8
src/main/java/jp/co/smbc/gcms/bo/customer/mapper/EntitlementTemplateInstructionMapper.java,39.22,88.00,58.75,10,452,35,7
src/main/java/jp/co/smbc/gcms/bo/customer/service/CompanyServiceInstructionService.java,70.59,48.00,58.21,18,487,205,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerEntitlementTemplatesRetrievalService.java,50.98,64.00,57.12,13,778,188,6
src/main/java/jp/co/smbc/gcms/bo/customer/adaptor/AccountAdaptor.java,100.00,32.00,56.57,54,1214,431,19
src/main/java/jp/co/smbc/gcms/bo/customer/adaptor/EntitlementAdaptor.java,100.00,32.00,56.57,117,2848,1043,27
src/main/java/jp/co/smbc/gcms/bo/customer/controller/CustomerController.java,100.00,32.00,56.57,42,541,192,15
src/main/java/jp/co/smbc/gcms/bo/customer/util/Util.java,100.00,32.00,56.57,26,328,77,11
src/main/java/jp/co/smbc/gcms/bo/customer/mapper/CustomerUserMapper.java,78.43,40.00,56.01,20,882,628,10
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerCorporateDomainUsersRetrievalService.java,31.37,100.00,56.01,8,657,191,3
src/main/java/jp/co/smbc/gcms/bo/customer/mapper/CustomerInstructionTrackRetrievalMapper.java,54.90,56.00,55.45,14,233,104,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/CommonService.java,54.90,56.00,55.45,14,212,46,9
src/main/java/jp/co/smbc/gcms/bo/customer/mapper/CorporateServiceLimitDraftMapper.java,47.06,64.00,54.88,12,157,67,8
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerApprovalMatrixInstructionConditionRetrievalService.java,47.06,64.00,54.88,12,615,80,6
src/test/java/jp/co/smbc/gcms/bo/customer/service/CompanyEntitlementTemplateServiceTest.java,90.20,32.00,53.72,23,2014,176,8
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionUsersCorporateLimitsService.java,50.98,56.00,53.43,13,870,397,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/CascadeRemoveExistingCustomerService.java,35.29,80.00,53.14,9,37,37,8
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionEntitlementTemplateAccountsRetrievalService.java,39.22,72.00,53.14,10,2371,39,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/PostCustomerApprovalMatricesAccountConditionsRetrievalService.java,58.82,48.00,53.14,15,1475,979,7
src/main/java/jp/co/smbc/gcms/bo/customer/util/ApprovalGroupInstructionValidator.java,43.14,64.00,52.54,11,1440,357,5
src/test/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionUsersFilterOptionServiceTest.java,86.27,32.00,52.54,22,784,217,10
src/main/java/jp/co/smbc/gcms/bo/customer/mapper/CustomerInstructionServiceMapper.java,66.67,40.00,51.64,17,417,173,11
src/main/java/jp/co/smbc/gcms/bo/customer/service/PostCustomerInstructionAvailableServiceRetrievalService.java,66.67,40.00,51.64,17,504,154,8
src/main/java/jp/co/smbc/gcms/bo/customer/service/CompanyServiceRetrievalService.java,47.06,56.00,51.34,12,716,125,2
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerApprovalMatrixInstructionEditService.java,54.90,48.00,51.34,14,947,145,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionAccountAvailableService.java,39.22,64.00,50.10,10,525,103,4
src/main/java/jp/co/smbc/gcms/bo/customer/service/CompanyApprovalGroupUsersRetrievalService.java,31.37,80.00,50.10,8,1072,416,5
src/test/java/jp/co/smbc/gcms/bo/customer/service/CompanyApprovalMatrixRoutesServiceTest.java,50.98,48.00,49.47,13,1987,167,8
src/test/java/jp/co/smbc/gcms/bo/customer/service/CascadeRemoveApprovalMatrixConditionAccountServiceTest.java,35.29,64.00,47.53,9,383,70,3
src/main/java/jp/co/smbc/gcms/bo/customer/service/CascadeRemoveEntitlementTemplateService.java,31.37,72.00,47.53,8,240,274,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerApprovalMatrixInstructionVerificationService.java,47.06,48.00,47.53,12,1323,635,7
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerDetailsService.java,47.06,48.00,47.53,12,314,92,8
src/main/java/jp/co/smbc/gcms/bo/customer/service/GetApprovalGroupRefIdService.java,47.06,48.00,47.53,12,697,320,7
src/main/java/jp/co/smbc/gcms/bo/customer/service/EntitlementTemplatesAccountLimitService.java,27.45,80.00,46.86,7,878,31,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/CascadeRemoveNewEntitlementTemplateAccountService.java,23.53,88.00,45.50,6,420,20,1
src/main/java/jp/co/smbc/gcms/bo/customer/service/CascadeRemoveNewUserAccountEntitlementService.java,23.53,88.00,45.50,6,428,32,1
src/main/java/jp/co/smbc/gcms/bo/customer/service/UpdateCustomerAccountsManageUserSavedFilterService.java,43.14,48.00,45.50,11,625,345,5
src/test/java/jp/co/smbc/gcms/bo/customer/service/EntitlementTemplateInstructionServiceUpdateTest.java,23.53,88.00,45.50,6,2052,102,5
src/test/java/jp/co/smbc/gcms/bo/customer/util/ApprovalMatrixInstructionValidatorTest.java,50.98,40.00,45.16,13,2274,111,7
src/main/java/jp/co/smbc/gcms/bo/customer/mapper/CorporateServiceProcessingService.java,31.37,64.00,44.81,8,423,89,3
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionUsersDeregisterDeviceService.java,31.37,64.00,44.81,8,466,52,5
src/main/java/jp/co/smbc/gcms/bo/customer/service/CompanyAccountService.java,35.29,56.00,44.46,9,671,158,7
src/main/java/jp/co/smbc/gcms/bo/customer/util/AccountEntitlementValidator.java,35.29,56.00,44.46,9,540,402,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/CascadeRemoveExistingUserAccountEntitlementService.java,39.22,48.00,43.39,10,812,80,2
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerAccountSetupFilterOptionsService.java,39.22,48.00,43.39,10,467,145,3
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerUserBulkDownloadService.java,47.06,40.00,43.39,12,1540,257,5
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerApprovalGroupInstructionUsersRetrievalService.java,31.37,56.00,41.91,8,1571,277,2
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerApprovalMatrixInstructionDeleteService.java,27.45,64.00,41.91,7,10,29,4
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerInstructionPreviewService.java,27.45,64.00,41.91,7,268,157,5
src/main/java/jp/co/smbc/gcms/bo/customer/service/UserLimitsDetailsService.java,31.37,56.00,41.91,8,325,37,3
src/main/java/jp/co/smbc/gcms/bo/customer/mapper/CustomerInstructionContactsMapperSupport.java,43.14,40.00,41.54,11,88,97,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerApprovalMatrixInstructionCloneService.java,43.14,40.00,41.54,11,701,77,5
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerAccountsManageUserSavedFilterService.java,35.29,48.00,41.16,9,300,34,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerAccountsSetupFiltersService.java,35.29,48.00,41.16,9,256,22,4
src/main/java/jp/co/smbc/gcms/bo/customer/service/KafkaMessagePublisher.java,70.59,24.00,41.16,18,286,97,7
src/test/java/jp/co/smbc/gcms/bo/customer/service/CompanyApprovalMatrixServiceTest.java,35.29,48.00,41.16,9,1058,56,7
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerCorporateProfileService.java,50.98,32.00,40.39,13,338,34,6
src/main/java/jp/co/smbc/gcms/bo/customer/service/CustomerServiceInstructionService.java,50.98,32.00,40.39,13,214,45,6
src/test/java/jp/co/smbc/gcms/bo/customer/service/CustomerUserBulkDownloadServiceTest.java,50.98,32.00,40.39,13,3023,106,6
src/test/java/jp/co/smbc/gcms/bo/customer/service/CustomerApprovalGroupInstructionRetrievalServiceTest.java,100.00,16.00,40.00,26,2175,102,8
