file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/CommonService.java,100.00,100.00,100.00,40,1378,437,8
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/RetrieveDomainInstructionLinkedCompanyService.java,100.00,100.00,100.00,23,1273,575,4
src/test/java/jp/co/smbc/gcms/backoffice/domain/service/DomainRetrievalServiceTest.java,100.00,93.33,96.61,20,1358,273,3
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/DomainRetrievalService.java,87.50,100.00,93.54,15,535,171,3
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/GetDomainInstructionService.java,68.75,100.00,82.92,12,448,44,2
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/DomainInstructionSubmissionService.java,75.00,80.00,77.46,13,468,129,4
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/DomainInstructionEditService.java,50.00,93.33,68.31,9,142,49,2
src/main/java/jp/co/smbc/gcms/backoffice/domain/adaptor/EntitlementAdaptor.java,100.00,40.00,63.25,23,861,223,7
src/main/java/jp/co/smbc/gcms/backoffice/domain/adaptor/BranchAdaptor.java,81.25,40.00,57.01,14,560,175,5
src/main/java/jp/co/smbc/gcms/backoffice/domain/adaptor/DomainAdaptor.java,100.00,26.67,51.64,18,323,36,6
src/test/java/jp/co/smbc/gcms/backoffice/domain/service/CommonServiceTest.java,100.00,26.67,51.64,18,1238,61,5
src/main/java/jp/co/smbc/gcms/backoffice/domain/config/KafkaConfig.java,25.00,100.00,50.00,5,476,318,3
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/DomainInstructionUpdateService.java,31.25,80.00,50.00,6,406,88,3
src/test/java/jp/co/smbc/gcms/backoffice/domain/adaptor/BranchAdaptorTest.java,31.25,80.00,50.00,6,316,81,3
src/main/java/jp/co/smbc/gcms/backoffice/domain/adaptor/ProfileAdaptor.java,75.00,26.67,44.72,13,248,47,6
src/main/java/jp/co/smbc/gcms/backoffice/domain/model/entity/DomainInstruction.java,50.00,40.00,44.72,9,394,163,4
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/GetDomainInstructionUploadService.java,25.00,80.00,44.72,5,278,91,2
src/test/java/jp/co/smbc/gcms/backoffice/domain/service/GetDomainInstructionServiceTest.java,75.00,26.67,44.72,13,822,22,3
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/PostLinkedCompanyRetrievalService.java,18.75,100.00,43.30,4,474,175,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/PostDomainInstructionUploadService.java,18.75,80.00,38.73,4,291,22,3
src/main/java/jp/co/smbc/gcms/backoffice/domain/adaptor/ContentAdaptor.java,50.00,26.67,36.51,9,176,17,5
src/main/java/jp/co/smbc/gcms/backoffice/domain/adaptor/KafkaAdaptor.java,50.00,26.67,36.51,9,121,40,3
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/DomainExecutorService.java,12.50,100.00,35.36,3,139,2,2
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/GetDomainDetailService.java,12.50,100.00,35.36,3,273,2,2
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/DomainDeleteService.java,25.00,40.00,31.62,5,238,109,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/RetrieveDomainService.java,37.50,26.67,31.62,7,184,113,5
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/SuggestionDomainService.java,18.75,40.00,27.39,4,86,40,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/DomainInstructionCorporateRemovalValidationService.java,12.50,53.33,25.82,3,103,32,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/config/LoggingAspect.java,6.25,80.00,22.36,2,119,119,2
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/DomainExecutorProcessorService.java,12.50,40.00,22.36,3,124,2,2
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/DomainInstructionDocumentPreviewService.java,18.75,26.67,22.36,4,89,4,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/DomainInstructionStatusChangeProcessorService.java,6.25,66.67,20.41,2,81,4,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/adaptor/TicketAdaptor.java,6.25,26.67,12.91,2,58,2,2
src/test/java/jp/co/smbc/gcms/backoffice/domain/service/PostDomainInstructionUploadServiceTest.java,6.25,13.33,9.13,2,2,3,2
src/main/java/jp/co/smbc/gcms/backoffice/domain/DomainApplication.java,18.75,0.00,0.00,4,30,11,2
src/main/java/jp/co/smbc/gcms/backoffice/domain/adaptor/BranchAdaptorProperties.java,50.00,0.00,0.00,9,75,18,4
src/main/java/jp/co/smbc/gcms/backoffice/domain/adaptor/ContentAdaptorProperties.java,18.75,0.00,0.00,4,20,1,3
src/main/java/jp/co/smbc/gcms/backoffice/domain/adaptor/DomainAdaptorProperties.java,37.50,0.00,0.00,7,69,2,4
src/main/java/jp/co/smbc/gcms/backoffice/domain/adaptor/EntitlementAdaptorProperties.java,43.75,0.00,0.00,8,58,6,5
src/main/java/jp/co/smbc/gcms/backoffice/domain/adaptor/ProfileAdaptorProperties.java,37.50,0.00,0.00,7,62,4,5
src/main/java/jp/co/smbc/gcms/backoffice/domain/adaptor/TicketAdaptorProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/config/ProfileAdaptorConfig.java,0.00,0.00,0.00,1,42,0,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/config/RequestLoggingFilter.java,0.00,40.00,0.00,1,77,0,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/config/RestClientConfig.java,0.00,0.00,0.00,1,28,0,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/config/StreamAdaptorConfig.java,0.00,0.00,0.00,1,14,0,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/config/WireMockConfig.java,0.00,26.67,0.00,1,47,0,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/controller/DomainController.java,100.00,0.00,0.00,30,294,58,11
src/main/java/jp/co/smbc/gcms/backoffice/domain/controller/InternalDomainController.java,25.00,0.00,0.00,5,48,22,2
src/main/java/jp/co/smbc/gcms/backoffice/domain/controller/LocalDevController.java,0.00,26.67,0.00,1,161,0,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/model/dto/BranchDto.java,0.00,0.00,0.00,1,21,0,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/model/dto/DomainResultDto.java,0.00,0.00,0.00,1,30,0,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/model/dto/UserProfileDto.java,0.00,0.00,0.00,1,18,0,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/model/entity/CorporateDomainRelationshipInstructionEntity.java,37.50,0.00,0.00,7,75,15,2
src/main/java/jp/co/smbc/gcms/backoffice/domain/model/entity/CorporateDomainRelationshipSnapshotInstructionEntity.java,0.00,0.00,0.00,1,42,0,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/model/entity/DomainInstructionDocumentUpload.java,6.25,0.00,0.00,2,135,0,2
src/main/java/jp/co/smbc/gcms/backoffice/domain/model/entity/DomainInstructionDocumentUploadEntity.java,37.50,0.00,0.00,7,190,18,3
src/main/java/jp/co/smbc/gcms/backoffice/domain/model/entity/DomainInstructionEntity.java,100.00,0.00,0.00,18,375,75,6
src/main/java/jp/co/smbc/gcms/backoffice/domain/model/entity/DomainSnapshotInstructionEntity.java,12.50,0.00,0.00,3,120,13,2
src/main/java/jp/co/smbc/gcms/backoffice/domain/repository/CorporateDomainRelationshipInstructionRepository.java,25.00,0.00,0.00,5,41,0,3
src/main/java/jp/co/smbc/gcms/backoffice/domain/repository/CorporateDomainRelationshipSnapshotInstructionRepository.java,12.50,0.00,0.00,3,23,1,2
src/main/java/jp/co/smbc/gcms/backoffice/domain/repository/DomainInstructionCompositeKeyRepository.java,0.00,0.00,0.00,1,20,0,1
src/main/java/jp/co/smbc/gcms/backoffice/domain/repository/DomainInstructionDocumentUploadRepository.java,43.75,0.00,0.00,8,93,24,5
src/main/java/jp/co/smbc/gcms/backoffice/domain/repository/DomainInstructionRepository.java,100.00,0.00,0.00,17,131,4,8
src/main/java/jp/co/smbc/gcms/backoffice/domain/repository/DomainSnapshotInstructionRepository.java,18.75,0.00,0.00,4,13,3,3
src/main/java/jp/co/smbc/gcms/backoffice/domain/service/DomainInstructionService.java,6.25,0.00,0.00,2,125,29,1
