file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/EmailInstructionService.java,100.00,100.00,100.00,21,436,147,5
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/EmailNotificationForwardBulkService.java,100.00,100.00,100.00,27,1272,852,8
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/EmailRetrievalService.java,100.00,100.00,100.00,26,1932,860,6
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/EmailService.java,100.00,100.00,100.00,14,613,37,5
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/KafkaMessagePublisherService.java,100.00,100.00,100.00,11,576,260,4
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/EmailExportService.java,81.82,100.00,90.45,9,1130,477,5
src/test/java/jp/co/smbc/gcms/bo/emailnotification/service/EmailExportServiceTest.java,81.82,100.00,90.45,9,1275,333,5
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/EntitlementAdaptor.java,100.00,80.00,89.44,15,599,63,9
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/EmailResendInstructionService.java,100.00,80.00,89.44,17,578,621,6
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/EmailForwardInstructionRetrievalService.java,63.64,100.00,79.77,7,329,102,4
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/ChannelProfileAdaptor.java,100.00,60.00,77.46,11,286,114,6
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/EmailForwardBulkVerificationService.java,54.55,100.00,73.85,6,297,63,3
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/PostEmailResendInstructionRetrievalService.java,54.55,100.00,73.85,6,252,18,3
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/StreamEmailExecutorProcessorService.java,45.45,100.00,67.42,5,364,38,3
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/GetEmailNotificationSavedFilterService.java,45.45,80.00,60.30,5,15,12,4
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/RefreshLockService.java,36.36,100.00,60.30,4,160,6,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/ChannelTicketAdaptor.java,54.55,60.00,57.21,6,77,62,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/util/EmailValidator.java,36.36,80.00,53.94,4,144,0,3
src/main/java/jp/co/smbc/gcms/bo/emailnotification/mapper/EmailListFilterMapper.java,63.64,40.00,50.45,7,157,52,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/ErrorMailInfoRealAdaptor.java,54.55,40.00,46.71,6,141,82,2
src/test/java/jp/co/smbc/gcms/bo/emailnotification/service/EmailRetrievalServiceTest.java,100.00,20.00,44.72,14,3172,627,5
src/test/java/jp/co/smbc/gcms/bo/emailnotification/mapper/EmailListFilterMapperTest.java,45.45,40.00,42.64,5,236,83,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/config/BoEmailConfig.java,27.27,60.00,40.45,3,87,1,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/StreamInstructionStatusChangeProcessorService.java,27.27,60.00,40.45,3,195,8,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/InstructionAdaptor.java,18.18,80.00,38.14,2,198,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/util/MaskingUtil.java,18.18,80.00,38.14,2,90,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/BoEmailConfigService.java,18.18,60.00,33.03,2,101,4,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/config/WireMockConfig.java,27.27,40.00,33.03,3,139,0,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/CommonValidationService.java,54.55,20.00,33.03,6,108,28,2
src/test/java/jp/co/smbc/gcms/bo/emailnotification/service/EmailForwardBulkVerificationServiceTest.java,45.45,20.00,30.15,5,430,32,3
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/ChannelLookupAdaptor.java,18.18,40.00,26.97,2,12,8,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/ContentAdaptor.java,36.36,20.00,26.97,4,67,1,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/processor/UpdateEmailStatusProcessor.java,18.18,40.00,26.97,2,47,1,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/config/StringListJsonConverter.java,18.18,40.00,26.97,2,66,0,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/stream/BackOfficeFoStreamEmailManageProcessorConsumer.java,18.18,40.00,26.97,2,88,7,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/stream/StreamEmailExecutorProcessorConsumer.java,9.09,80.00,26.97,1,114,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/stream/StreamInstructionStatusChangeProcessorConsumer.java,9.09,80.00,26.97,1,136,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/util/CommonUtilService.java,18.18,40.00,26.97,2,49,0,2
src/test/java/jp/co/smbc/gcms/bo/emailnotification/batch/processor/UpdateEmailStatusProcessorTest.java,18.18,40.00,26.97,2,138,4,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/processor/ResendPendingEmailProcessor.java,9.09,60.00,23.35,1,62,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/reader/ResendPendingEmailReader.java,9.09,60.00,23.35,1,54,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/EmailActivityLogPublisher.java,27.27,20.00,23.35,3,91,32,2
src/test/java/jp/co/smbc/gcms/bo/emailnotification/stream/StreamEmailExecutorProcessorConsumerTest.java,27.27,20.00,23.35,3,600,34,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/reader/EmailForwardDraftSweepReader.java,9.09,40.00,19.07,1,56,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/reader/EmailResendDraftSweepReader.java,9.09,40.00,19.07,1,56,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/reader/UpdateEmailStatusReader.java,9.09,40.00,19.07,1,47,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/BackOfficeFoStreamEmailManageProcessorService.java,9.09,40.00,19.07,1,99,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/EmailPollingService.java,18.18,20.00,19.07,2,101,5,1
src/test/java/jp/co/smbc/gcms/bo/emailnotification/stream/StreamInstructionStatusChangeProcessorConsumerTest.java,9.09,40.00,19.07,1,357,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/config/ResendPendingEmailConfig.java,9.09,20.00,13.48,1,104,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/writer/EmailForwardDraftSweepWriter.java,9.09,20.00,13.48,1,35,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/writer/EmailResendDraftSweepWriter.java,9.09,20.00,13.48,1,35,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/writer/ResendPendingEmailWriter.java,9.09,20.00,13.48,1,37,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/EmailDraftSweepSchedulingService.java,9.09,20.00,13.48,1,72,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/service/ErrorMailInfoCacheService.java,9.09,20.00,13.48,1,36,0,1
src/test/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/ChannelProfileAdaptorTest.java,9.09,20.00,13.48,1,1,2,1
src/test/java/jp/co/smbc/gcms/bo/emailnotification/controller/EmailFilterControllerTest.java,9.09,20.00,13.48,1,77,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/EmailNotificationApplication.java,9.09,0.00,0.00,1,0,2,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/BranchAdaptor.java,18.18,0.00,0.00,2,80,0,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/BranchAdaptorProperties.java,18.18,0.00,0.00,2,20,0,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/ChannelLookupAdaptorProperties.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/ChannelProfileAdaptorProperties.java,36.36,0.00,0.00,4,8,1,4
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/ChannelTicketAdaptorProperties.java,18.18,0.00,0.00,2,2,4,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/ContentAdaptorProperties.java,9.09,0.00,0.00,1,13,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/EntitlementAdaptorProperties.java,90.91,0.00,0.00,10,72,4,7
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/ErrorMailInfoAdaptor.java,18.18,0.00,0.00,2,54,2,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/ErrorMailInfoMockAdaptor.java,54.55,0.00,0.00,6,35,35,3
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/InstructionAdaptorProperties.java,18.18,0.00,0.00,2,30,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/ProfileAdaptor.java,90.91,0.00,0.00,10,86,94,4
src/main/java/jp/co/smbc/gcms/bo/emailnotification/adaptor/ProfileAdaptorProperties.java,45.45,0.00,0.00,5,20,9,3
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/config/EmailForwardDraftSweepConfig.java,9.09,0.00,0.00,1,63,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/config/EmailResendDraftSweepConfig.java,9.09,0.00,0.00,1,63,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/config/UpdateEmailStatusConfig.java,18.18,0.00,0.00,2,75,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/processor/EmailForwardDraftSweepProcessor.java,9.09,0.00,0.00,1,19,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/processor/EmailResendDraftSweepProcessor.java,9.09,0.00,0.00,1,19,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/batch/writer/UpdateEmailStatusWriter.java,27.27,0.00,0.00,3,27,3,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/component/AppConfigCredential.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/bo/emailnotification/config/ErrorMailInfoDatabaseConfig.java,27.27,0.00,0.00,3,87,8,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/config/KafkaConfig.java,36.36,0.00,0.00,4,30,13,3
src/main/java/jp/co/smbc/gcms/bo/emailnotification/config/ShedLockConfig.java,9.09,0.00,0.00,1,28,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/controller/EmailController.java,100.00,0.00,0.00,16,201,28,8
src/main/java/jp/co/smbc/gcms/bo/emailnotification/controller/EmailFilterController.java,18.18,0.00,0.00,2,11,0,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/controller/EmailInstructionController.java,36.36,0.00,0.00,4,49,4,4
src/main/java/jp/co/smbc/gcms/bo/emailnotification/exception/ErrorCodes.java,100.00,0.00,0.00,18,122,6,8
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/dto/EmailQueryFilter.java,9.09,0.00,0.00,1,11,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/dto/EmailSentStatusDto.java,27.27,0.00,0.00,3,26,5,3
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/dto/ExportEmailDto.java,45.45,0.00,0.00,5,30,8,4
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/dto/StreamHeader.java,9.09,0.00,0.00,1,41,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/entity/EmailEntity.java,63.64,0.00,0.00,7,163,19,4
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/entity/EmailForwardInstructionEntity.java,54.55,0.00,0.00,6,78,16,5
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/entity/EmailListFilterEntity.java,54.55,0.00,0.00,6,143,20,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/entity/EmailResendInstructionEntity.java,9.09,0.00,0.00,1,66,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/enums/EmailCategory.java,18.18,0.00,0.00,2,22,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/enums/EmailCategoryEnum.java,9.09,0.00,0.00,1,6,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/enums/EmailStatusEnum.java,18.18,0.00,0.00,2,14,0,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/enums/InstructionStatus.java,18.18,0.00,0.00,2,20,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/enums/InstructionStatusEnum.java,18.18,0.00,0.00,2,32,0,2
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/enums/InstructionTypeEnum.java,36.36,0.00,0.00,4,18,12,3
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/event/BoStreamEventCommandEvent.java,9.09,0.00,0.00,1,26,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/event/BoStreamInstructionCommandEvent.java,9.09,0.00,0.00,1,70,0,1
src/main/java/jp/co/smbc/gcms/bo/emailnotification/model/event/ConsumerHeader.java,18.18,0.00,0.00,2,68,0,2
