file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/inbox/service/PostInboxDeleteService.java,66.67,100.00,81.65,4,68,10,2
src/main/java/jp/co/smbc/gcms/channel/inbox/service/PostInboxReadService.java,66.67,80.00,73.03,4,55,13,2
src/main/java/jp/co/smbc/gcms/channel/inbox/service/PostInboxBulkProcessService.java,33.33,80.00,51.64,2,85,31,2
src/test/java/jp/co/smbc/gcms/channel/inbox/batch/listener/BulkOperationListenerTest.java,50.00,40.00,44.72,3,324,5,2
src/main/java/jp/co/smbc/gcms/channel/inbox/batch/listener/BulkOperationListener.java,16.67,100.00,40.82,1,74,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/batch/step/StepBulkOperationConfig.java,16.67,100.00,40.82,1,136,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/util/PaginationUtil.java,16.67,100.00,40.82,1,81,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/batch/listener/InboxCleanupListener.java,16.67,80.00,36.51,1,34,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/mapper/CommonMapper.java,33.33,40.00,36.51,2,52,1,1
src/main/java/jp/co/smbc/gcms/channel/inbox/mapper/PostSingleInboxRetrievalMapper.java,33.33,40.00,36.51,2,40,2,1
src/main/java/jp/co/smbc/gcms/channel/inbox/service/BulkOperationBatchService.java,16.67,80.00,36.51,1,68,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/service/PostInternalInboxSendService.java,33.33,40.00,36.51,2,93,1,2
src/main/java/jp/co/smbc/gcms/channel/inbox/batch/scheduler/InboxCleanupScheduler.java,16.67,40.00,25.82,1,42,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/batch/step/StepInboxCleanupConfig.java,16.67,40.00,25.82,1,95,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/InboxApplication.java,33.33,0.00,0.00,2,26,0,2
src/main/java/jp/co/smbc/gcms/channel/inbox/adaptor/EntitlementAdaptor.java,16.67,0.00,0.00,1,29,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/adaptor/EntitlementAdaptorProperties.java,16.67,0.00,0.00,1,12,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/batch/job/BulkOperationJobConfig.java,33.33,0.00,0.00,2,52,0,2
