file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/instruction/event/adaptor/service/InstructionEventAdaptorProcessorService.java,100.00,100.00,100.00,26,308,154,4
src/main/java/jp/co/smbc/gcms/instruction/event/adaptor/stream/InstructionEventAdaptorConsumer.java,80.00,80.00,80.00,5,31,37,2
src/main/java/jp/co/smbc/gcms/instruction/event/adaptor/service/StreamNotificationAdaptorEventProcessorService.java,16.00,100.00,40.00,1,172,0,1
src/main/java/jp/co/smbc/gcms/instruction/event/adaptor/stream/StreamNotificationAdaptorEventConsumer.java,32.00,40.00,35.78,2,79,27,1
src/main/java/jp/co/smbc/gcms/instruction/event/adaptor/util/KafkaConsumerUtil.java,16.00,80.00,35.78,1,42,0,1
src/main/java/jp/co/smbc/gcms/instruction/event/adaptor/config/AzureAppConfigurationClientConfig.java,16.00,40.00,25.30,1,17,15,1
src/test/java/jp/co/smbc/gcms/instruction/event/adaptor/service/StreamNotificationAdaptorEventProcessorServiceTest.java,16.00,40.00,25.30,1,262,0,1
src/main/java/jp/co/smbc/gcms/instruction/event/adaptor/InstructionEventAdaptorServiceApplication.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/instruction/event/adaptor/config/AdaptorConfig.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/instruction/event/adaptor/model/EventConfigMapping.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/instruction/event/adaptor/property/BoInstructionEventCodeConfigProperties.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/instruction/event/adaptor/service/KafkaMessagePublisher.java,0.00,40.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/instruction/event/adaptor/util/Constants.java,64.00,0.00,0.00,4,30,8,2
src/test/java/jp/co/smbc/gcms/instruction/event/adaptor/service/InstructionEventAdaptorProcessorServiceTest.java,100.00,0.00,0.00,16,1087,249,2
src/test/java/jp/co/smbc/gcms/instruction/event/adaptor/service/KafkaMessagePublisherTest.java,0.00,0.00,0.00,0,0,0,0
src/test/java/jp/co/smbc/gcms/instruction/event/adaptor/stream/InstructionEventAdaptorConsumerTest.java,48.00,0.00,0.00,3,602,34,2
src/test/java/jp/co/smbc/gcms/instruction/event/adaptor/stream/StreamNotificationAdaptorEventConsumerTest.java,16.00,0.00,0.00,1,157,0,1
src/test/java/jp/co/smbc/gcms/instruction/event/adaptor/util/ConstantsTest.java,32.00,0.00,0.00,2,80,0,1
src/test/java/jp/co/smbc/gcms/instruction/event/adaptor/util/KafkaConsumerUtilTest.java,16.00,0.00,0.00,1,76,0,1
