file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/BackOfficeInstructionCommandProcessorService.java,100.00,100.00,100.00,43,1486,706,15
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionAssignSubmissionService.java,100.00,100.00,100.00,35,601,187,16
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionReviewValidationService.java,100.00,100.00,100.00,29,553,385,14
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/RetrieveInstructionService.java,100.00,100.00,100.00,29,926,608,11
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionReturnValidationService.java,89.29,96.00,92.58,25,542,229,9
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/CommonService.java,100.00,80.00,89.44,62,1886,882,22
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionApproveValidation.java,82.14,96.00,88.80,23,256,198,8
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/DiscardReturnedInstructionValidationService.java,71.43,100.00,84.52,20,206,58,8
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionAuditTrailService.java,71.43,100.00,84.52,20,730,219,6
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionRejectValidationService.java,71.43,100.00,84.52,20,183,96,6
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/RedisDraftLockService.java,71.43,96.00,82.81,20,603,163,6
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/EligibleAssigneesService.java,67.86,100.00,82.38,19,444,443,11
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/DiscardDraftInstructionValidationService.java,64.29,100.00,80.18,18,202,58,7
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionRejectSubmissionService.java,85.71,64.00,74.07,24,435,139,7
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionSummaryService.java,85.71,64.00,74.07,24,307,132,5
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionReturnSubmissionService.java,67.86,80.00,73.68,19,486,120,7
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/FilterOptionsService.java,78.57,64.00,70.91,22,227,149,12
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/BackOfficeInstructionStatusUpdateProcessorService.java,35.71,96.00,58.55,10,144,35,6
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionAssignValidationService.java,42.86,80.00,58.55,12,250,139,6
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/PostInstructionApproveSubmissionService.java,53.57,64.00,58.55,15,330,72,5
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/FrontOfficeInstructionStatusUpdateProcessorService.java,32.14,100.00,56.69,9,132,36,6
src/main/java/jp/co/smbc/gcms/backoffice/instruction/adaptor/KafkaAdaptor.java,100.00,32.00,56.57,38,722,392,15
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/PostInstructionReviewSubmissionService.java,46.43,64.00,54.51,13,331,84,5
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionDocumentBulkDownloadService.java,35.71,80.00,53.45,10,189,74,4
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/PublishInstructionStatusChangeService.java,28.57,100.00,53.45,8,384,48,5
src/main/java/jp/co/smbc/gcms/backoffice/instruction/adaptor/CamundaAdaptor.java,25.00,80.00,44.72,7,109,15,4
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionService.java,100.00,16.00,40.00,33,1251,616,9
src/main/java/jp/co/smbc/gcms/backoffice/instruction/config/KafkaConfig.java,46.43,32.00,38.54,13,164,46,8
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionInitEditReturnedService.java,46.43,32.00,38.54,13,99,44,6
src/test/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionAssignSubmissionServiceTest.java,46.43,32.00,38.54,13,768,22,8
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/DeleteInstructionFilterService.java,17.86,80.00,37.80,5,200,24,1
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/PostInternalRetrieveInstructionService.java,14.29,100.00,37.80,4,56,2,4
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/PostInstructionFilterService.java,17.86,64.00,33.81,5,257,4,1
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/ActivityLogPublishService.java,10.71,100.00,32.73,3,526,3,2
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/GetEligibleAssigneesKeywordSuggestionsService.java,10.71,100.00,32.73,3,145,5,2
src/main/java/jp/co/smbc/gcms/backoffice/instruction/service/AssignApproverBankAdminService.java,64.29,16.00,32.07,18,195,136,5
src/test/java/jp/co/smbc/gcms/backoffice/instruction/service/InstructionAuditTrailServiceTest.java,60.71,16.00,31.17,17,823,183,7
src/test/java/jp/co/smbc/gcms/backoffice/instruction/adaptor/ProfileAdaptorTest.java,28.57,32.00,30.24,8,315,35,4
src/test/java/jp/co/smbc/gcms/backoffice/instruction/service/CommonServiceTest.java,57.14,16.00,30.24,16,1219,163,11
