file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/bo/profile/service/BankAdminUserExecutorProcessorService.java,100.00,100.00,100.00,24,614,154,10
src/main/java/jp/co/smbc/gcms/bo/profile/service/PostAdminUserListSavedFilterService.java,100.00,100.00,100.00,19,456,227,5
src/main/java/jp/co/smbc/gcms/bo/profile/service/PostBankAdminUserProfilesRetrievalService.java,100.00,100.00,100.00,29,985,313,10
src/main/java/jp/co/smbc/gcms/bo/profile/service/UserProfileInstructionUploadService.java,100.00,100.00,100.00,16,698,283,6
src/main/java/jp/co/smbc/gcms/bo/profile/service/InternalBatchUser.java,96.55,100.00,98.26,14,395,205,9
src/main/java/jp/co/smbc/gcms/bo/profile/repository/UserProfilePredicateBuilder.java,100.00,80.00,89.44,15,372,9,8
src/main/java/jp/co/smbc/gcms/bo/profile/service/BankAdminOnboardingService.java,75.86,100.00,87.10,11,1334,1115,2
src/main/java/jp/co/smbc/gcms/bo/profile/service/UpdateAdminUserListSavedFilterService.java,100.00,66.67,81.65,15,460,125,4
src/main/java/jp/co/smbc/gcms/bo/profile/repository/UserProfileMasterRepositoryCustomImpl.java,62.07,100.00,78.78,9,396,13,7
src/main/java/jp/co/smbc/gcms/bo/profile/config/KafkaConfig.java,75.86,80.00,77.90,11,420,21,4
src/main/java/jp/co/smbc/gcms/bo/profile/service/GetProfileUserService.java,89.66,66.67,77.31,13,721,278,6
src/main/java/jp/co/smbc/gcms/bo/profile/adaptor/EntitlementAdaptor.java,100.00,53.33,73.03,38,900,231,17
src/main/java/jp/co/smbc/gcms/bo/profile/service/GetProfileUserInstructionService.java,96.55,53.33,71.76,14,625,192,5
src/test/java/jp/co/smbc/gcms/bo/profile/service/UpdateAdminUserSavedQuickActionServiceTest.java,48.28,100.00,69.48,7,205,56,5
src/main/java/jp/co/smbc/gcms/bo/profile/adaptor/BranchAdaptor.java,82.76,53.33,66.44,12,404,18,6
src/main/java/jp/co/smbc/gcms/bo/profile/service/PostInitEditReturnedService.java,55.17,80.00,66.44,8,416,60,1
src/main/java/jp/co/smbc/gcms/bo/profile/service/UpdateUserInstructionService.java,55.17,80.00,66.44,8,593,197,1
src/main/java/jp/co/smbc/gcms/bo/profile/service/GetAdminUserListSavedFiltersService.java,41.38,100.00,64.33,6,204,25,4
src/main/java/jp/co/smbc/gcms/bo/profile/service/KafkaMessagePublisher.java,75.86,53.33,63.61,11,388,106,4
src/main/java/jp/co/smbc/gcms/bo/profile/util/CommonUtil.java,48.28,80.00,62.15,7,810,206,5
src/test/java/jp/co/smbc/gcms/bo/profile/service/InternalBatchUserTest.java,89.66,40.00,59.88,13,681,117,8
src/main/java/jp/co/smbc/gcms/bo/profile/service/GetProfileUsersFilterOptionsService.java,34.48,100.00,58.72,5,325,103,2
src/test/java/jp/co/smbc/gcms/bo/profile/service/PostBankAdminUserProfilesRetrievalServiceTest.java,62.07,53.33,57.54,9,1316,46,5
