file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/stream/communication/service/EmailProcessorService.java,100.00,100.00,100.00,12,222,116,4
src/main/java/jp/co/smbc/gcms/stream/communication/service/InboxProcessorService.java,100.00,100.00,100.00,11,197,114,4
src/main/java/jp/co/smbc/gcms/stream/communication/service/StreamCommunicationProcessorService.java,100.00,100.00,100.00,15,428,182,4
src/main/java/jp/co/smbc/gcms/stream/communication/service/SseNotificationProcessorService.java,82.35,80.00,81.17,7,109,30,3
src/main/java/jp/co/smbc/gcms/stream/communication/service/CommonService.java,47.06,80.00,61.36,4,106,14,2
src/main/java/jp/co/smbc/gcms/stream/communication/properties/BoEventConfigMappingProperties.java,35.29,100.00,59.41,3,48,13,2
src/main/java/jp/co/smbc/gcms/stream/communication/service/TemplateService.java,23.53,100.00,48.51,2,74,19,1
src/main/java/jp/co/smbc/gcms/stream/communication/util/TemplateMappingAdaptor.java,23.53,80.00,43.39,2,59,1,1
src/main/java/jp/co/smbc/gcms/stream/communication/util/StructConverter.java,35.29,40.00,37.57,3,51,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/config/RedisConfig.java,23.53,40.00,30.68,2,161,29,1
src/main/java/jp/co/smbc/gcms/stream/communication/config/AppConfigClientConfig.java,11.76,40.00,21.69,1,37,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/StreamCommunicationServiceApplication.java,11.76,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/adaptor/EntitlementAdaptor.java,47.06,0.00,0.00,4,46,7,2
src/main/java/jp/co/smbc/gcms/stream/communication/adaptor/EntitlementAdaptorProperties.java,23.53,0.00,0.00,2,17,1,1
src/main/java/jp/co/smbc/gcms/stream/communication/adaptor/InboxAdaptor.java,23.53,0.00,0.00,2,40,3,2
src/main/java/jp/co/smbc/gcms/stream/communication/adaptor/InboxAdaptorProperties.java,11.76,0.00,0.00,1,17,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/adaptor/ProfileAdaptor.java,47.06,0.00,0.00,4,45,5,2
src/main/java/jp/co/smbc/gcms/stream/communication/adaptor/ProfileAdaptorProperties.java,23.53,0.00,0.00,2,18,1,1
src/main/java/jp/co/smbc/gcms/stream/communication/config/BlobStorageConfig.java,11.76,0.00,0.00,1,19,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/config/ErrorCollectorConfig.java,11.76,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/config/HandlebarsConfig.java,11.76,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/config/KafkaConfig.java,11.76,0.00,0.00,1,14,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/config/ProtoConfig.java,11.76,0.00,0.00,1,21,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/model/dto/EmailTemplate.java,11.76,0.00,0.00,1,17,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/model/dto/EventConfigDTO.java,23.53,0.00,0.00,2,29,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/model/dto/InboxTemplate.java,11.76,0.00,0.00,1,19,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/model/dto/PushInboxRequest.java,23.53,0.00,0.00,2,24,5,2
src/main/java/jp/co/smbc/gcms/stream/communication/model/dto/TemplateContent.java,11.76,0.00,0.00,1,17,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/model/dto/TemplateMapping.java,11.76,0.00,0.00,1,13,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/model/template/MessageRequest.java,23.53,0.00,0.00,2,26,3,1
src/main/java/jp/co/smbc/gcms/stream/communication/model/template/MessageResponse.java,11.76,0.00,0.00,1,18,0,1
src/main/java/jp/co/smbc/gcms/stream/communication/properties/SseEmitterProperties.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/stream/communication/stream/StreamCommunicationProcessorConsumer.java,23.53,0.00,0.00,2,58,14,2
src/main/java/jp/co/smbc/gcms/stream/communication/util/Constants.java,100.00,0.00,0.00,9,60,5,4
src/main/java/jp/co/smbc/gcms/stream/communication/util/package-info.java,11.76,0.00,0.00,1,6,0,1
src/test/java/jp/co/smbc/gcms/stream/communication/adaptor/EntitlementAdaptorTest.java,47.06,0.00,0.00,4,238,42,2
src/test/java/jp/co/smbc/gcms/stream/communication/adaptor/InboxAdaptorTest.java,47.06,0.00,0.00,4,271,43,2
src/test/java/jp/co/smbc/gcms/stream/communication/adaptor/ProfileAdaptorTest.java,47.06,0.00,0.00,4,251,47,2
src/test/java/jp/co/smbc/gcms/stream/communication/config/AppConfigClientConfigTest.java,11.76,0.00,0.00,1,95,0,1
src/test/java/jp/co/smbc/gcms/stream/communication/config/BlobStorageConfigTest.java,11.76,0.00,0.00,1,32,0,1
src/test/java/jp/co/smbc/gcms/stream/communication/config/ErrorCollectorConfigTest.java,11.76,0.00,0.00,1,21,0,1
src/test/java/jp/co/smbc/gcms/stream/communication/config/HandlebarsConfigTest.java,11.76,0.00,0.00,1,24,0,1
src/test/java/jp/co/smbc/gcms/stream/communication/config/KafkaConfigTest.java,11.76,0.00,0.00,1,24,0,1
src/test/java/jp/co/smbc/gcms/stream/communication/config/ProtoConfigTest.java,11.76,0.00,0.00,1,30,0,1
src/test/java/jp/co/smbc/gcms/stream/communication/config/RedisConfigTest.java,35.29,0.00,0.00,3,219,29,2
