file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/service/StreamEventActivityLogProcessorService.java,100.00,64.00,80.00,6,103,41,3
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/stream/StreamEventProcessorConsumer.java,40.00,100.00,63.25,3,162,59,3
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/service/StreamEventNotificationProcessorService.java,40.00,96.00,61.97,3,69,4,3
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/properties/BoEventConfigLookupProperties.java,20.00,32.00,25.30,2,32,3,1
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/StreamEventEngineApplication.java,20.00,0.00,0.00,2,28,0,2
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/configuration/AzureAppConfigurationClientConfig.java,0.00,32.00,0.00,1,16,15,1
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/configuration/KafkaConfig.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/model/EventConfigMapping.java,0.00,0.00,0.00,1,18,0,1
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/model/dto/ActivityLogEventCodeEnrichedInformation.java,0.00,0.00,0.00,1,19,0,1
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/util/Constants.java,40.00,0.00,0.00,3,57,6,3
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/properties/BoEventConfigLookupPropertiesTest.java,0.00,0.00,0.00,1,40,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/service/StreamEventActivityLogProcessorServiceTest.java,60.00,0.00,0.00,4,144,14,1
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/service/StreamEventNotificationProcessorServiceTest.java,40.00,0.00,0.00,3,151,18,3
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/stream/StreamEventProcessorConsumerTest.java,40.00,0.00,0.00,3,540,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/util/ConstantsTest.java,40.00,0.00,0.00,3,108,0,1
