file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/account/adaptor/EsbAdaptor.java,100.00,100.00,100.00,38,720,207,7
src/main/java/jp/co/smbc/gcms/channel/account/service/AccountGroupAccountsService.java,100.00,100.00,100.00,33,530,184,10
src/main/java/jp/co/smbc/gcms/channel/account/service/AccountManagementService.java,100.00,100.00,100.00,101,7901,1756,20
src/main/java/jp/co/smbc/gcms/channel/account/service/AccountUpsertProcessorService.java,100.00,100.00,100.00,39,841,260,12
src/main/java/jp/co/smbc/gcms/channel/account/service/AccountsService.java,100.00,100.00,100.00,48,1269,219,12
src/main/java/jp/co/smbc/gcms/channel/account/service/AdminAccountsRetrievalService.java,100.00,100.00,100.00,48,2860,675,16
src/main/java/jp/co/smbc/gcms/channel/account/service/GetAccountInstructionAccountServicesService.java,100.00,100.00,100.00,26,860,248,11
src/main/java/jp/co/smbc/gcms/channel/account/service/InitEditReturnedAccountInstructionService.java,100.00,100.00,100.00,17,373,165,6
src/main/java/jp/co/smbc/gcms/channel/account/service/PostAccount360OverviewRetrievalService.java,100.00,100.00,100.00,15,687,183,5
src/main/java/jp/co/smbc/gcms/channel/account/service/PostAccountCashFlowRetrievalService.java,100.00,100.00,100.00,16,831,272,4
src/main/java/jp/co/smbc/gcms/channel/account/service/PostRetrieveCorporateUserAccountService.java,100.00,100.00,100.00,16,2018,269,9
src/main/java/jp/co/smbc/gcms/channel/account/util/AccountCommonUtils.java,100.00,100.00,100.00,38,440,101,13
src/main/java/jp/co/smbc/gcms/channel/account/service/AccountListFilterService.java,96.30,100.00,98.13,14,278,67,12
src/main/java/jp/co/smbc/gcms/channel/account/service/GetAdminAccountService.java,96.30,100.00,98.13,14,672,18,9
src/main/java/jp/co/smbc/gcms/channel/account/service/GetInternalAccountByRefIdService.java,96.30,100.00,98.13,14,399,141,10
src/main/java/jp/co/smbc/gcms/channel/account/controller/stream/batch/processor/AccountStatusProcessor.java,88.89,100.00,94.28,13,152,42,4
src/main/java/jp/co/smbc/gcms/channel/account/service/AccountSummaryRetrievalService.java,81.48,100.00,90.27,12,662,180,6
src/main/java/jp/co/smbc/gcms/channel/account/service/AdminAccountsByAccountRefIdService.java,81.48,100.00,90.27,12,369,68,9
src/main/java/jp/co/smbc/gcms/channel/account/adaptor/ProfileAdaptor.java,100.00,80.00,89.44,37,623,138,18
src/main/java/jp/co/smbc/gcms/channel/account/service/AccountGroupsService.java,100.00,80.00,89.44,68,741,385,16
src/main/java/jp/co/smbc/gcms/channel/account/service/GetAccountInstructionAccountService.java,100.00,80.00,89.44,33,858,282,11
src/main/java/jp/co/smbc/gcms/channel/account/util/Constants.java,100.00,80.00,89.44,70,660,53,23
src/test/java/jp/co/smbc/gcms/channel/account/adaptor/EntitlementAdaptorTest.java,100.00,80.00,89.44,22,801,102,10
src/main/java/jp/co/smbc/gcms/channel/account/service/AccountManagementKeywordSuggestionsService.java,74.07,100.00,86.07,11,216,54,6
src/main/java/jp/co/smbc/gcms/channel/account/service/ExchangeRateLookupService.java,74.07,100.00,86.07,11,225,102,6
src/main/java/jp/co/smbc/gcms/channel/account/service/GetCorporateAccountsService.java,74.07,100.00,86.07,11,291,93,8
src/main/java/jp/co/smbc/gcms/channel/account/service/InternalAccountCorporateService.java,74.07,100.00,86.07,11,563,76,9
src/main/java/jp/co/smbc/gcms/channel/account/service/PostInternalRetrieveAccountBulkService.java,74.07,100.00,86.07,11,330,101,7
src/main/java/jp/co/smbc/gcms/channel/account/service/PostPortfolioSummaryRetrievalService.java,74.07,100.00,86.07,11,572,80,6
src/main/java/jp/co/smbc/gcms/channel/account/service/BalanceTransitionsByAccountFilterOptionsService.java,66.67,100.00,81.65,10,580,92,3
src/main/java/jp/co/smbc/gcms/channel/account/service/EditAccountExecutorProcessorService.java,66.67,100.00,81.65,10,291,63,3
