file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/activity/mapper/ActivityRetrievalMapper.java,100.00,100.00,100.00,13,465,130,6
src/main/java/jp/co/smbc/gcms/channel/activity/service/ActivityRetrievalService.java,100.00,100.00,100.00,15,186,566,7
src/main/java/jp/co/smbc/gcms/channel/activity/service/CommonActivityLogSearchService.java,100.00,100.00,100.00,21,1824,1250,8
src/main/java/jp/co/smbc/gcms/channel/activity/service/AdminCompanyActivityRetrievalService.java,100.00,80.00,89.44,19,358,81,9
src/main/java/jp/co/smbc/gcms/channel/activity/service/ActivitySearchFilterService.java,68.09,100.00,82.51,9,221,42,3
src/main/java/jp/co/smbc/gcms/channel/activity/service/ActivityKeyWordSuggestionsService.java,76.60,66.67,71.46,10,392,205,6
src/main/java/jp/co/smbc/gcms/channel/activity/util/SortCriteriaExtractor.java,42.55,93.33,63.02,6,308,143,3
src/test/java/jp/co/smbc/gcms/channel/activity/service/CommonActivityLogSearchServiceTest.java,100.00,26.67,51.64,23,1904,675,7
src/main/java/jp/co/smbc/gcms/channel/activity/util/CommonDateTimeFormattingUtils.java,34.04,66.67,47.64,5,94,8,1
src/main/java/jp/co/smbc/gcms/channel/activity/service/ActivityFilterOptionsService.java,25.53,80.00,45.19,4,155,4,3
src/main/java/jp/co/smbc/gcms/channel/activity/util/ActivityUserRefIdUtil.java,25.53,80.00,45.19,4,174,35,3
src/test/java/jp/co/smbc/gcms/channel/activity/mapper/ActivityRetrievalMapperTest.java,100.00,13.33,36.51,13,532,355,6
src/main/java/jp/co/smbc/gcms/channel/activity/service/PostInternalActivityReportActivitiesService.java,8.51,100.00,29.17,2,376,0,1
src/main/java/jp/co/smbc/gcms/channel/activity/config/StringListJsonConverter.java,17.02,40.00,26.09,3,48,12,2
src/main/java/jp/co/smbc/gcms/channel/activity/model/enums/ActivityLogSortEnum.java,17.02,26.67,21.30,3,66,2,1
src/test/java/jp/co/smbc/gcms/channel/activity/util/ConstantsTest.java,17.02,26.67,21.30,3,82,3,2
src/main/java/jp/co/smbc/gcms/channel/activity/mapper/ActivityFilterOptionsMapper.java,8.51,26.67,15.06,2,119,62,2
src/test/java/jp/co/smbc/gcms/channel/activity/util/SortCriteriaExtractorTest.java,17.02,13.33,15.06,3,407,12,2
src/test/java/jp/co/smbc/gcms/channel/activity/config/WireMockConfigTest.java,8.51,13.33,10.65,2,162,0,1
src/test/java/jp/co/smbc/gcms/channel/activity/service/PostInternalActivityReportActivitiesServiceTest.java,8.51,13.33,10.65,2,982,0,1
src/main/java/jp/co/smbc/gcms/channel/activity/ActivityApplication.java,0.00,0.00,0.00,1,18,0,1
src/main/java/jp/co/smbc/gcms/channel/activity/adaptor/BranchLookupAdaptor.java,25.53,0.00,0.00,4,54,9,3
