file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/inbox/service/PostInboxRetrievalService.java,70.59,100.00,84.02,6,378,71,3
src/main/java/jp/co/smbc/gcms/channel/inbox/service/MessageRetrievalService.java,47.06,100.00,68.60,4,114,5,4
src/main/java/jp/co/smbc/gcms/channel/inbox/batch/step/StepBulkOperationConfig.java,35.29,100.00,59.41,3,143,3,2
src/main/java/jp/co/smbc/gcms/channel/inbox/service/PostInboxDeleteService.java,23.53,100.00,48.51,2,77,3,2
src/main/java/jp/co/smbc/gcms/channel/inbox/config/RedisConfig.java,47.06,40.00,43.39,4,272,139,1
src/main/java/jp/co/smbc/gcms/channel/inbox/service/BulkOperationBatchService.java,23.53,80.00,43.39,2,76,8,1
src/main/java/jp/co/smbc/gcms/channel/inbox/service/PostInboxReadService.java,47.06,40.00,43.39,4,87,15,4
src/main/java/jp/co/smbc/gcms/channel/inbox/batch/listener/BulkOperationListener.java,11.76,100.00,34.30,1,74,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/service/InternalInboxDeleteService.java,11.76,80.00,30.68,1,48,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/service/PostInboxBulkProcessService.java,11.76,80.00,30.68,1,52,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/InboxApplication.java,11.76,0.00,0.00,1,17,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/adaptor/ProfileAdaptor.java,11.76,0.00,0.00,1,41,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/adaptor/ProfileAdaptorProperties.java,11.76,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/batch/job/BulkOperationJobConfig.java,11.76,0.00,0.00,1,47,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/batch/step/FlowBulkOperationConfig.java,11.76,0.00,0.00,1,26,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/controller/InboxController.java,100.00,0.00,0.00,16,126,41,8
src/main/java/jp/co/smbc/gcms/channel/inbox/model/dto/InboxBatchJobRequest.java,11.76,0.00,0.00,1,22,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/model/entity/UserInboxLocalizedMessageEntity.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/channel/inbox/model/entity/UserInboxMessageAttachmentEntity.java,11.76,0.00,0.00,1,38,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/model/entity/UserInboxMessageEntity.java,11.76,0.00,0.00,1,4,5,1
src/main/java/jp/co/smbc/gcms/channel/inbox/model/enums/CategoryEnum.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/channel/inbox/property/BulkOperationProperties.java,23.53,0.00,0.00,2,27,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/property/InboxConfigProperties.java,11.76,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/channel/inbox/repository/UserInboxLocalizedMessageRepository.java,94.12,0.00,0.00,8,40,7,5
src/main/java/jp/co/smbc/gcms/channel/inbox/repository/UserInboxMessageAttachmentRepository.java,23.53,0.00,0.00,2,20,0,2
