file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/instruction/service/CommonService.java,100.00,100.00,100.00,68,1404,548,16
src/main/java/jp/co/smbc/gcms/channel/instruction/service/FrontOfficeInstructionStatusUpdateProcessorService.java,100.00,100.00,100.00,23,705,305,10
src/main/java/jp/co/smbc/gcms/channel/instruction/service/GetInstructionAuditTrailService.java,100.00,100.00,100.00,45,1534,766,11
src/main/java/jp/co/smbc/gcms/channel/instruction/service/GetInstructionSummaryService.java,100.00,100.00,100.00,30,423,134,12
src/main/java/jp/co/smbc/gcms/channel/instruction/service/InstructionCommandProcessorService.java,100.00,100.00,100.00,40,1229,835,15
src/main/java/jp/co/smbc/gcms/channel/instruction/service/PostInstructionApproveConfirmationService.java,100.00,100.00,100.00,22,949,330,8
src/main/java/jp/co/smbc/gcms/channel/instruction/service/RetrieveInstructionsService.java,100.00,100.00,100.00,65,1443,563,14
src/test/java/jp/co/smbc/gcms/channel/instruction/service/RetrieveInstructionsServiceTest.java,100.00,100.00,100.00,24,2530,779,12
src/main/java/jp/co/smbc/gcms/channel/instruction/service/PostInstructionTaskFilterService.java,96.30,100.00,98.13,13,140,33,8
src/main/java/jp/co/smbc/gcms/channel/instruction/service/GetFilterOptionsService.java,88.89,100.00,94.28,12,350,267,9
src/main/java/jp/co/smbc/gcms/channel/instruction/service/InstructionRejectValidationService.java,81.48,100.00,90.27,11,179,68,10
src/main/java/jp/co/smbc/gcms/channel/instruction/service/InstructionValidationHelper.java,81.48,100.00,90.27,11,415,108,6
src/main/java/jp/co/smbc/gcms/channel/instruction/service/PostInstructionApprovePreConfirmationService.java,81.48,100.00,90.27,11,356,74,6
src/main/java/jp/co/smbc/gcms/channel/instruction/adaptor/EntitlementAdaptor.java,100.00,80.00,89.44,23,623,171,13
src/main/java/jp/co/smbc/gcms/channel/instruction/service/InstructionInitEditReturnedService.java,74.07,100.00,86.07,10,165,24,7
src/main/java/jp/co/smbc/gcms/channel/instruction/service/SuggestionKeywordService.java,74.07,100.00,86.07,10,174,55,6
src/main/java/jp/co/smbc/gcms/channel/instruction/service/AdminApprovalTaskProcessorService.java,66.67,100.00,81.65,9,324,81,6
src/main/java/jp/co/smbc/gcms/channel/instruction/service/PostInstructionCloneService.java,66.67,100.00,81.65,9,245,76,6
src/main/java/jp/co/smbc/gcms/channel/instruction/service/PostInstructionDiscardDraftValidationService.java,66.67,100.00,81.65,9,91,69,5
src/test/java/jp/co/smbc/gcms/channel/instruction/service/InstructionInitEditReturnedServiceTest.java,66.67,100.00,81.65,9,328,25,7
src/main/java/jp/co/smbc/gcms/channel/instruction/service/RejectInstructionSubmissionService.java,100.00,60.00,77.46,27,472,259,13
src/main/java/jp/co/smbc/gcms/channel/instruction/service/ReturnInstructionSubmissionService.java,100.00,60.00,77.46,18,409,186,10
src/main/java/jp/co/smbc/gcms/channel/instruction/util/Constants.java,100.00,60.00,77.46,90,578,75,28
src/main/java/jp/co/smbc/gcms/channel/instruction/service/BackOfficeInstructionStatusUpdateProcessorService.java,59.26,100.00,76.98,8,187,7,4
src/main/java/jp/co/smbc/gcms/channel/instruction/service/PutUpdateInstructionTaskFilterService.java,51.85,100.00,72.01,7,253,0,5
src/main/java/jp/co/smbc/gcms/channel/instruction/service/AssignBankAdminApprovalTaskProcessorService.java,44.44,100.00,66.67,6,162,10,3
src/main/java/jp/co/smbc/gcms/channel/instruction/service/GetInstructionTaskSummaryService.java,74.07,60.00,66.67,10,167,28,7
src/main/java/jp/co/smbc/gcms/channel/instruction/service/PostInstructionDiscardReturnedValidationService.java,44.44,100.00,66.67,6,175,15,5
src/main/java/jp/co/smbc/gcms/channel/instruction/service/ReviewValidationService.java,44.44,100.00,66.67,6,150,63,4
src/main/java/jp/co/smbc/gcms/channel/instruction/adaptor/ProfileAdaptor.java,100.00,40.00,63.25,23,508,147,14
src/main/java/jp/co/smbc/gcms/channel/instruction/service/InstructionExecuteTaskProcessorService.java,100.00,40.00,63.25,14,170,44,7
src/main/java/jp/co/smbc/gcms/channel/instruction/camunda/publisher/CamundaMessagePublisher.java,96.30,40.00,62.06,13,82,34,8
src/main/java/jp/co/smbc/gcms/channel/instruction/service/InstructionWorkflowActivityEventPublisher.java,51.85,60.00,55.78,7,85,35,4
src/main/java/jp/co/smbc/gcms/channel/instruction/adaptor/LookupAdaptor.java,29.63,100.00,54.43,4,100,2,2
src/main/java/jp/co/smbc/gcms/channel/instruction/service/DeleteInstructionListFilterService.java,37.04,80.00,54.43,5,112,64,3
