file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
plugins/custom-upstream-jwt/src/access.lua,92.31,100.00,96.08,14,693,43,3
plugins/custom-oauth2/src/access.lua,69.23,100.00,83.21,11,1746,2918,3
plugins/custom-oauth2/src/redis.lua,100.00,55.56,74.54,15,847,467,4
plugins/custom-upstream-jwt/src/redis.lua,100.00,55.56,74.54,15,828,473,4
plugins/custom-basic-auth/src/access.lua,46.15,100.00,67.94,8,512,229,4
plugins/custom-basic-auth/src/daos.lua,53.85,11.11,24.46,9,116,98,4
plugins/custom-basic-auth/src/crypto.lua,7.69,11.11,9.25,3,35,4,3
plugins/custom-basic-auth/src/handler.lua,15.38,0.00,0.00,4,29,18,3
plugins/custom-basic-auth/src/schema.lua,7.69,0.00,0.00,3,38,24,3
plugins/custom-oauth2/src/handler.lua,15.38,0.00,0.00,4,33,26,3
plugins/custom-oauth2/src/schema.lua,53.85,0.00,0.00,9,302,379,3
plugins/custom-upstream-jwt/src/daos.lua,30.77,0.00,0.00,6,51,11,3
plugins/custom-upstream-jwt/src/handler.lua,0.00,0.00,0.00,2,24,0,2
plugins/custom-upstream-jwt/src/schema.lua,53.85,0.00,0.00,9,124,12,2
