file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/limit/controller/LimitsController.java,100.00,100.00,100.00,9,82,24,4
src/main/java/jp/co/smbc/gcms/channel/limit/service/GetAdminLimitCorporateUsersService.java,100.00,100.00,100.00,9,197,38,4
src/main/java/jp/co/smbc/gcms/channel/limit/service/GetCorporateUserLimitDetailsService.java,100.00,100.00,100.00,16,879,466,9
src/main/java/jp/co/smbc/gcms/channel/limit/service/ServiceInformationService.java,100.00,100.00,100.00,18,553,177,9
src/main/java/jp/co/smbc/gcms/channel/limit/service/AccountLimitExecuteService.java,93.33,100.00,96.61,8,154,24,6
src/main/java/jp/co/smbc/gcms/channel/limit/service/InternalLimitAccountLimitsService.java,93.33,100.00,96.61,8,133,11,7
src/main/java/jp/co/smbc/gcms/channel/limit/service/BOLimitService.java,80.00,100.00,89.44,7,197,32,4
src/main/java/jp/co/smbc/gcms/channel/limit/service/GetInternalLimitCorporateUsersService.java,66.67,100.00,81.65,6,171,7,5
src/main/java/jp/co/smbc/gcms/channel/limit/service/GetLimitCorporateServiceLimitsService.java,66.67,100.00,81.65,6,163,12,4
src/main/java/jp/co/smbc/gcms/channel/limit/service/ServiceLimitExecuteService.java,66.67,100.00,81.65,6,144,34,5
src/test/java/jp/co/smbc/gcms/channel/limit/service/AccountLimitExecuteServiceTest.java,53.33,100.00,73.03,5,256,104,3
src/main/java/jp/co/smbc/gcms/channel/limit/service/GetAdminLimitCorporateAccountLimitService.java,100.00,40.00,63.25,10,208,61,2
src/main/java/jp/co/smbc/gcms/channel/limit/service/UserDraftLimitService.java,53.33,60.00,56.57,5,434,80,2
src/main/java/jp/co/smbc/gcms/channel/limit/service/PostInternalUsersLimitService.java,26.67,100.00,51.64,3,79,2,2
src/test/java/jp/co/smbc/gcms/channel/limit/service/ServiceLimitExecuteServiceTest.java,26.67,100.00,51.64,3,231,87,2
src/main/java/jp/co/smbc/gcms/channel/limit/adaptor/AccountAdaptor.java,100.00,20.00,44.72,9,118,26,5
src/main/java/jp/co/smbc/gcms/channel/limit/service/GetUserLimitService.java,40.00,40.00,40.00,4,175,4,4
src/test/java/jp/co/smbc/gcms/channel/limit/service/GetAdminLimitCorporateUsersServiceTest.java,80.00,20.00,40.00,7,1008,61,5
