file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/lookup/service/HolidaysExecutionService.java,100.00,100.00,100.00,13,399,148,8
src/test/java/jp/co/smbc/gcms/channel/lookup/service/HolidayExecutionServiceTest.java,100.00,100.00,100.00,9,651,159,6
src/main/java/jp/co/smbc/gcms/channel/lookup/mapper/HolidayMapper.java,100.00,80.00,89.44,6,124,51,6
src/main/java/jp/co/smbc/gcms/channel/lookup/service/GetLookupHolidaysService.java,80.00,100.00,89.44,5,145,21,2
src/main/java/jp/co/smbc/gcms/channel/lookup/service/PhoneCountryCodeService.java,80.00,60.00,69.28,5,90,8,4
src/main/java/jp/co/smbc/gcms/channel/lookup/service/GetTimeZoneService.java,100.00,40.00,63.25,10,157,90,2
src/main/java/jp/co/smbc/gcms/channel/lookup/service/HolidaysRetrievalService.java,40.00,100.00,63.25,3,4,99,3
src/main/java/jp/co/smbc/gcms/channel/lookup/service/InternalGetLookupBranchService.java,100.00,40.00,63.25,8,81,33,7
src/main/java/jp/co/smbc/gcms/channel/lookup/service/GetLookupBankBranchesService.java,60.00,40.00,48.99,4,87,6,1
src/test/java/jp/co/smbc/gcms/channel/lookup/service/GetCurrenciesServiceTest.java,40.00,60.00,48.99,3,149,52,2
src/test/java/jp/co/smbc/gcms/channel/lookup/service/GetReportRecurrenceFrequenciesServiceTest.java,40.00,60.00,48.99,3,222,8,3
src/main/java/jp/co/smbc/gcms/channel/lookup/service/PostAdminLookupBankRetrievalService.java,20.00,100.00,44.72,2,74,4,1
src/main/java/jp/co/smbc/gcms/channel/lookup/service/ReportContentLimitService.java,20.00,100.00,44.72,2,89,16,2
src/main/java/jp/co/smbc/gcms/channel/lookup/service/GetCurrenciesService.java,60.00,20.00,34.64,4,72,33,4
src/main/java/jp/co/smbc/gcms/channel/lookup/service/GetDateFormatService.java,20.00,60.00,34.64,2,52,1,1
src/main/java/jp/co/smbc/gcms/channel/lookup/service/PostAdminLookupBanksExecuteService.java,20.00,60.00,34.64,2,187,42,2
src/main/java/jp/co/smbc/gcms/channel/lookup/service/GetAdminLookupBranchService.java,20.00,20.00,20.00,2,51,1,1
src/main/java/jp/co/smbc/gcms/channel/lookup/service/GetLookupBankService.java,20.00,20.00,20.00,2,69,3,2
src/main/java/jp/co/smbc/gcms/channel/lookup/service/GetReportRecurrenceFrequenciesService.java,20.00,20.00,20.00,2,86,0,2
src/main/java/jp/co/smbc/gcms/channel/lookup/LookupApplication.java,20.00,0.00,0.00,2,41,21,1
src/main/java/jp/co/smbc/gcms/channel/lookup/adaptor/DomainAdaptor.java,0.00,0.00,0.00,1,44,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/adaptor/DomainAdaptorProperties.java,0.00,0.00,0.00,1,8,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/adaptor/ProfileAdaptor.java,20.00,0.00,0.00,2,64,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/adaptor/ProfileAdaptorProperties.java,20.00,0.00,0.00,2,10,1,1
src/main/java/jp/co/smbc/gcms/channel/lookup/component/AppConfigCredential.java,20.00,0.00,0.00,2,17,2,1
src/main/java/jp/co/smbc/gcms/channel/lookup/configuration/WireMockConfig.java,0.00,40.00,0.00,1,46,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/controller/LookupBankController.java,20.00,0.00,0.00,2,33,0,2
src/main/java/jp/co/smbc/gcms/channel/lookup/controller/LookupBranchController.java,0.00,0.00,0.00,1,24,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/controller/LookupConfigController.java,100.00,0.00,0.00,26,284,67,13
src/main/java/jp/co/smbc/gcms/channel/lookup/controller/LookupHolidayController.java,100.00,0.00,0.00,8,70,49,6
src/main/java/jp/co/smbc/gcms/channel/lookup/controller/LookupReportController.java,100.00,0.00,0.00,12,122,5,7
src/main/java/jp/co/smbc/gcms/channel/lookup/model/criteria/BankBranchCriteria.java,20.00,0.00,0.00,2,88,0,2
src/main/java/jp/co/smbc/gcms/channel/lookup/model/criteria/BankCriteria.java,0.00,0.00,0.00,1,21,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/model/entity/BankBranchEntity.java,80.00,0.00,0.00,5,72,6,5
src/main/java/jp/co/smbc/gcms/channel/lookup/model/entity/BankEntity.java,20.00,0.00,0.00,2,41,0,2
src/main/java/jp/co/smbc/gcms/channel/lookup/model/entity/HolidayEntity.java,100.00,0.00,0.00,11,198,95,3
src/main/java/jp/co/smbc/gcms/channel/lookup/model/enums/HolidayType.java,100.00,0.00,0.00,6,38,13,3
src/main/java/jp/co/smbc/gcms/channel/lookup/model/projection/BankBranchProjection.java,40.00,0.00,0.00,3,16,0,3
src/main/java/jp/co/smbc/gcms/channel/lookup/model/projection/BankProjection.java,0.00,0.00,0.00,1,12,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/AccountTypeTranslationConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/ActivityCodesConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/ActivityStatusesConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/ActivityTypesConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/AuthenticationMethodsConfigProperties.java,40.00,0.00,0.00,3,38,22,2
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/ChannelsConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/CurrenciesConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/DateFormatConfigProperties.java,80.00,0.00,0.00,5,28,6,2
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/DeviceStatusConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/DigitSeparatorConfigProperties.java,20.00,0.00,0.00,2,28,12,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/FileStatusConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/FileTypeConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/LookupConfigProperties.java,20.00,0.00,0.00,2,27,2,2
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/MethodTranslationConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/NationalityIdentificationProperties.java,0.00,0.00,0.00,1,26,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/PhoneCountryCodeProperties.java,20.00,0.00,0.00,2,37,2,2
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/ReportContentLimitProperties.java,0.00,0.00,0.00,1,38,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/ReportContentRangeTranslationConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/ReportFileFormatConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/ReportRecurrenceFrequencyTranslationConfigProperties.java,20.00,0.00,0.00,2,32,0,2
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/ReportScheduleTypeTranslationConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/ReportTypeConfigProperties.java,0.00,0.00,0.00,1,31,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/ServicesConfigProperties.java,20.00,0.00,0.00,2,17,1,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/TimeZoneConfigProperties.java,100.00,0.00,0.00,6,44,24,3
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/UserStatusTranslationConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/properties/UserTypesConfigProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/repository/BankBranchRepository.java,100.00,0.00,0.00,7,67,32,7
src/main/java/jp/co/smbc/gcms/channel/lookup/repository/BankRepository.java,40.00,0.00,0.00,3,37,1,3
src/main/java/jp/co/smbc/gcms/channel/lookup/repository/HolidayRepository.java,100.00,0.00,0.00,15,137,58,6
src/main/java/jp/co/smbc/gcms/channel/lookup/service/ExecuteAdminLookupBranchService.java,40.00,0.00,0.00,3,102,53,3
src/main/java/jp/co/smbc/gcms/channel/lookup/service/GetAccountTypesService.java,0.00,0.00,0.00,1,28,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/service/GetActivityCodesService.java,0.00,40.00,0.00,1,49,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/service/GetActivityStatusesService.java,0.00,40.00,0.00,1,48,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/service/GetActivityTypesService.java,0.00,40.00,0.00,1,48,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/service/GetAuthenticationMethodsService.java,0.00,40.00,0.00,1,40,0,1
src/main/java/jp/co/smbc/gcms/channel/lookup/service/GetChannelsService.java,0.00,40.00,0.00,1,40,0,1
