file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/PostBankIdentifierRetrievalService.java,50.00,100.00,70.71,3,74,11,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/util/CommonUtils.java,50.00,100.00,70.71,3,217,0,3
src/main/java/jp/co/smbc/gcms/fo/payment/master/adaptor/SgPaymentAdaptor.java,100.00,40.00,63.25,6,280,10,2
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/GetClearingCodeService.java,33.33,100.00,57.74,2,65,3,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/PostInternalBeneficiaryBankValidationService.java,33.33,100.00,57.74,2,371,134,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/PostReportingCodeRetrievalService.java,33.33,100.00,57.74,2,4,4,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/PostReportingTypeRetrievalService.java,33.33,100.00,57.74,2,14,10,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/adaptor/LookupAdaptor.java,33.33,60.00,44.72,2,89,0,2
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/GetClearingCodeTypeService.java,33.33,60.00,44.72,2,83,7,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/PostInternalPaymentMasterInstructionValidationService.java,33.33,60.00,44.72,2,2,3,2
src/main/java/jp/co/smbc/gcms/fo/payment/master/adaptor/LimitAdaptor.java,33.33,40.00,36.51,2,118,0,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/GetCountryListService.java,33.33,40.00,36.51,2,95,4,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/GetFieldValidationConfigService.java,33.33,40.00,36.51,2,55,3,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/PostBankListRetrievalService.java,16.67,80.00,36.51,1,76,0,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/DeleteInstructionService.java,33.33,20.00,25.82,2,80,13,2
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/PostCreateInstructionService.java,33.33,20.00,25.82,2,3,0,2
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/PostInternalApprovePaymentInstructionService.java,33.33,20.00,25.82,2,64,0,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/PostInternalReviewPaymentInstructionService.java,33.33,20.00,25.82,2,64,0,1
src/test/java/jp/co/smbc/gcms/fo/payment/master/util/CommonUtilsTest.java,33.33,20.00,25.82,2,999,0,2
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/PostInternalValidatePurposeRegulatoryService.java,16.67,20.00,18.26,1,98,0,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/service/PostPaymentPurposeRetrievalService.java,16.67,20.00,18.26,1,4,1,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/PaymentMasterApplication.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/fo/payment/master/adaptor/AccountAdaptor.java,0.00,40.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/fo/payment/master/adaptor/AccountAdaptorProperties.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/fo/payment/master/adaptor/BoBranchAdaptor.java,0.00,40.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/fo/payment/master/adaptor/BoBranchAdaptorProperties.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/fo/payment/master/adaptor/EntitlementAdaptor.java,0.00,40.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/fo/payment/master/adaptor/EntitlementAdaptorProperties.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/fo/payment/master/adaptor/LimitAdaptorProperties.java,33.33,0.00,0.00,2,30,0,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/adaptor/LookupAdaptorProperties.java,33.33,0.00,0.00,2,6,0,2
src/main/java/jp/co/smbc/gcms/fo/payment/master/adaptor/ProfileAdaptor.java,0.00,40.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/fo/payment/master/adaptor/ProfileAdaptorProperties.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/fo/payment/master/adaptor/SgPaymentAdaptorProperties.java,83.33,0.00,0.00,5,17,2,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/controller/InternalPaymentMasterController.java,100.00,0.00,0.00,9,103,8,4
src/main/java/jp/co/smbc/gcms/fo/payment/master/controller/PaymentMasterController.java,100.00,0.00,0.00,8,65,2,2
src/main/java/jp/co/smbc/gcms/fo/payment/master/mapper/PaymentSdkMapper.java,16.67,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/model/entity/MasterPaymentClearingCodeType.java,50.00,0.00,0.00,3,59,2,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/model/entity/MasterPaymentFieldCharacterValidationConfig.java,66.67,0.00,0.00,4,53,4,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/model/entity/MasterPaymentInstruction.java,33.33,0.00,0.00,2,4,4,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/model/entity/MasterPaymentPurposeMatrix.java,50.00,0.00,0.00,3,4,4,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/model/entity/MasterPaymentTypeCharacterValidationConfig.java,50.00,0.00,0.00,3,40,2,1
src/main/java/jp/co/smbc/gcms/fo/payment/master/model/entity/MasterPaymentTypeMatrix.java,83.33,0.00,0.00,5,9,6,2
src/main/java/jp/co/smbc/gcms/fo/payment/master/repository/MasterPaymentClearingCodeTypeRepository.java,50.00,0.00,0.00,3,25,3,1
