file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/profile/service/AdminCorporateUserProfileService.java,100.00,100.00,100.00,40,1050,154,14
src/main/java/jp/co/smbc/gcms/channel/profile/service/CorporateGeneralSettingsSubmissionService.java,100.00,100.00,100.00,26,440,169,8
src/main/java/jp/co/smbc/gcms/channel/profile/service/GetCorporateUserAvailableActionsService.java,100.00,100.00,100.00,25,515,116,13
src/main/java/jp/co/smbc/gcms/channel/profile/service/GetCorporateUserDetailsService.java,100.00,100.00,100.00,52,1512,517,14
src/main/java/jp/co/smbc/gcms/channel/profile/service/PostCorporateUserProfileInstructionSubmissionService.java,100.00,100.00,100.00,24,443,24,13
src/main/java/jp/co/smbc/gcms/channel/profile/service/PostCorporateUsersRetrievalService.java,100.00,100.00,100.00,38,727,144,14
src/main/java/jp/co/smbc/gcms/channel/profile/service/common/CommonService.java,100.00,100.00,100.00,61,2528,933,23
src/main/java/jp/co/smbc/gcms/channel/profile/validator/UserProfileDetailsValidator.java,100.00,100.00,100.00,50,1670,683,17
src/main/java/jp/co/smbc/gcms/channel/profile/service/ConfirmGeneralSettingService.java,95.45,100.00,97.70,21,397,202,10
src/main/java/jp/co/smbc/gcms/channel/profile/service/InternalPatchProfileUserService.java,95.45,100.00,97.70,21,299,130,11
src/main/java/jp/co/smbc/gcms/channel/profile/service/PreloadService.java,95.45,100.00,97.70,21,589,174,12
src/main/java/jp/co/smbc/gcms/channel/profile/service/AdminUserProfileService.java,100.00,93.33,96.61,27,989,208,13
src/main/java/jp/co/smbc/gcms/channel/profile/service/CorporateInstructionContactInfoSubmissionService.java,100.00,93.33,96.61,30,363,113,11
src/main/java/jp/co/smbc/gcms/channel/profile/service/ContactInformationService.java,86.36,100.00,92.93,19,573,78,9
src/main/java/jp/co/smbc/gcms/channel/profile/service/ManageUserExecutorProcessorService.java,100.00,80.00,89.44,41,1124,499,16
src/main/java/jp/co/smbc/gcms/channel/profile/service/PostAdminUsersProfileExecuteService.java,100.00,80.00,89.44,35,953,180,13
src/main/java/jp/co/smbc/gcms/channel/profile/service/PostProfileCorporateUserProfileInstructionService.java,100.00,80.00,89.44,35,1099,317,11
src/main/java/jp/co/smbc/gcms/channel/profile/service/PutUserProfileInstructionService.java,100.00,80.00,89.44,33,1574,344,14
src/main/java/jp/co/smbc/gcms/channel/profile/service/CorporateProfileAdminService.java,77.27,100.00,87.90,17,615,246,10
src/main/java/jp/co/smbc/gcms/channel/profile/service/GetAdminCorporateProfileService.java,77.27,100.00,87.90,17,424,177,9
src/main/java/jp/co/smbc/gcms/channel/profile/service/PostProfileUserRefIdDeleteService.java,77.27,100.00,87.90,17,740,31,10
src/main/java/jp/co/smbc/gcms/channel/profile/service/VerifyGeneralSettingService.java,72.73,100.00,85.28,16,97,30,6
src/main/java/jp/co/smbc/gcms/channel/profile/service/FoStreamInstructionExecutorListenerService.java,77.27,93.33,84.92,17,190,65,12
src/main/java/jp/co/smbc/gcms/channel/profile/service/CorporateGeneralSettingsPreConfirmationService.java,68.18,100.00,82.57,15,134,32,7
src/main/java/jp/co/smbc/gcms/channel/profile/service/CorporateDocumentPasswordVerificationService.java,72.73,93.33,82.39,16,31,31,8
src/main/java/jp/co/smbc/gcms/channel/profile/service/PostProfileUsersBlockUnblockPreConfirmationService.java,72.73,93.33,82.39,16,497,100,9
src/main/java/jp/co/smbc/gcms/channel/profile/service/InternalGetProfileUsersByUserRefIdService.java,100.00,66.67,81.65,23,337,62,15
src/main/java/jp/co/smbc/gcms/channel/profile/service/PostInternalProfileUsersService.java,100.00,66.67,81.65,38,763,330,15
src/test/java/jp/co/smbc/gcms/channel/profile/service/GetUserProfileInstructionDetailsServiceTest.java,100.00,66.67,81.65,27,2017,177,11
src/main/java/jp/co/smbc/gcms/channel/profile/service/CorporateInstructionDocumentPasswordService.java,63.64,100.00,79.77,14,141,11,6
