file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/report/service/common/CommonValidationService.java,100.00,100.00,100.00,43,1834,367,18
src/main/java/jp/co/smbc/gcms/channel/report/service/common/CommonService.java,100.00,80.00,89.44,28,1046,120,11
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportHistoriesRetrievalService.java,72.73,100.00,85.28,8,716,359,3
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportPreviewService.java,72.73,100.00,85.28,8,166,32,4
src/main/java/jp/co/smbc/gcms/channel/report/service/common/ReportFileMapper.java,63.64,100.00,79.77,7,709,64,2
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportAccountNumbersRetrievalService.java,81.82,70.00,75.68,9,208,33,7
src/main/java/jp/co/smbc/gcms/channel/report/adaptor/ContentAdaptor.java,72.73,70.00,71.35,8,294,17,5
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportDeliveryMethodDiffService.java,72.73,70.00,71.35,8,373,88,3
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportEAdviceDocumentsRetrievalService.java,63.64,60.00,61.79,7,322,37,4
src/main/java/jp/co/smbc/gcms/channel/report/service/common/ReportConditionsCommonUtils.java,63.64,60.00,61.79,7,558,89,3
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportRetrievalService.java,36.36,100.00,60.30,4,508,226,1
src/main/java/jp/co/smbc/gcms/channel/report/service/EAdviceFilterService.java,36.36,90.00,57.21,4,310,16,2
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportService.java,81.82,40.00,57.21,9,792,344,4
src/main/java/jp/co/smbc/gcms/channel/report/service/ReportFilterService.java,63.64,50.00,56.41,7,348,36,2
src/main/java/jp/co/smbc/gcms/channel/report/service/ReportGenerationProcessorService.java,63.64,50.00,56.41,7,204,53,3
src/main/java/jp/co/smbc/gcms/channel/report/service/PutReportService.java,36.36,80.00,53.94,4,489,5,3
src/main/java/jp/co/smbc/gcms/channel/report/service/ReportHistoryFilterService.java,72.73,40.00,53.94,8,319,142,2
src/main/java/jp/co/smbc/gcms/channel/report/util/ReportConditionCatalog.java,36.36,80.00,53.94,4,174,1,2
src/main/java/jp/co/smbc/gcms/channel/report/batch/eadvice/processor/EAdviceItemProcessor.java,27.27,100.00,52.22,3,213,4,1
src/main/java/jp/co/smbc/gcms/channel/report/service/GetReportHistoriesKeywordSuggestionsService.java,27.27,100.00,52.22,3,436,3,1
src/main/java/jp/co/smbc/gcms/channel/report/service/GetReportKeywordSuggestionsService.java,27.27,100.00,52.22,3,365,155,1
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportHistoriesSavedFilterService.java,54.55,50.00,52.22,6,120,10,2
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportHistoryContactRetrievalService.java,45.45,60.00,52.22,5,209,68,2
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportTemplatesDiffService.java,27.27,100.00,52.22,3,411,62,3
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportUsersLastEditedRetrievalService.java,63.64,40.00,50.45,7,104,15,5
src/main/java/jp/co/smbc/gcms/channel/report/service/PutReportTemplateService.java,63.64,40.00,50.45,7,764,27,3
src/test/java/jp/co/smbc/gcms/channel/report/service/PostReportUsersEmailsRetrievalServiceTest.java,63.64,40.00,50.45,7,159,29,4
src/test/java/jp/co/smbc/gcms/channel/report/service/PostReportUsersMobileNoRetrievalServiceTest.java,63.64,40.00,50.45,7,159,29,4
src/main/java/jp/co/smbc/gcms/channel/report/service/PostAdminV1ReportEAdviceDocumentsDownloadService.java,27.27,90.00,49.54,3,123,1,2
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportReportConditionsRetrievalDiffService.java,27.27,90.00,49.54,3,870,776,1
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportTemplatesCustomRetrievalService.java,27.27,90.00,49.54,3,517,30,1
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportContactsRetrievalDiffService.java,36.36,60.00,46.71,4,424,32,3
src/main/java/jp/co/smbc/gcms/channel/report/service/common/ReportPdfGenerator.java,36.36,60.00,46.71,4,160,4,2
src/main/java/jp/co/smbc/gcms/channel/report/service/GetReportConditionsService.java,54.55,40.00,46.71,6,311,45,3
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportHistoriesReportConditionsRetrievalService.java,54.55,40.00,46.71,6,861,735,2
src/main/java/jp/co/smbc/gcms/channel/report/controller/ManualTaskTriggerTestController.java,100.00,20.00,44.72,11,594,218,3
src/test/java/jp/co/smbc/gcms/channel/report/service/PostReportHistoriesRetrievalServiceTest.java,100.00,20.00,44.72,12,1679,591,6
src/main/java/jp/co/smbc/gcms/channel/report/service/GetReportHistoriesSavedFilterService.java,63.64,30.00,43.69,7,277,147,1
src/main/java/jp/co/smbc/gcms/channel/report/service/PutReportHistoriesSavedFilterService.java,45.45,40.00,42.64,5,104,3,1
src/main/java/jp/co/smbc/gcms/channel/report/service/ReportNotificationPublisher.java,18.18,100.00,42.64,2,159,55,1
src/main/java/jp/co/smbc/gcms/channel/report/service/common/ReportMt940Generator.java,18.18,100.00,42.64,2,200,4,2
src/test/java/jp/co/smbc/gcms/channel/report/service/PostReportRetrievalServiceTest.java,36.36,50.00,42.64,4,600,78,2
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportAccountGroupRetrievalService.java,81.82,20.00,40.45,9,81,18,5
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportTemplatesPredefinedRetrievalService.java,18.18,90.00,40.45,2,166,6,2
src/main/java/jp/co/smbc/gcms/channel/report/service/PostAdminReportEAdviceDocumentsRetrievalService.java,54.55,30.00,40.45,6,221,4,4
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportTemplatesKeywordSuggestionsService.java,27.27,60.00,40.45,3,116,9,1
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportHistoriesCompaniesRetrievalService.java,36.36,40.00,38.14,4,176,47,1
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportTemplatesContactsRetrievalDiffService.java,18.18,80.00,38.14,2,346,0,1
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportTemplatesReportConditionsRetrievalService.java,36.36,40.00,38.14,4,177,98,3
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportTemplatesSavedFilterService.java,36.36,40.00,38.14,4,212,2,3
src/test/java/jp/co/smbc/gcms/channel/report/service/PostReportAccountNumbersRetrievalServiceTest.java,36.36,40.00,38.14,4,645,71,3
src/test/java/jp/co/smbc/gcms/channel/report/service/PostReportUsersBankBranchesRetrievalServiceTest.java,36.36,40.00,38.14,4,612,36,2
src/main/java/jp/co/smbc/gcms/channel/report/service/GetEAdviceKeywordSuggestionsService.java,45.45,30.00,36.93,5,125,25,2
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportHistoriesDownloadService.java,27.27,50.00,36.93,3,214,3,3
src/main/java/jp/co/smbc/gcms/channel/report/service/common/ReportCsvGenerator.java,27.27,50.00,36.93,3,163,5,2
src/test/java/jp/co/smbc/gcms/channel/report/service/DeleteReportHistoriesSavedFilterServiceTest.java,45.45,30.00,36.93,5,324,58,2
src/main/java/jp/co/smbc/gcms/channel/report/adaptor/LookupAdaptor.java,63.64,20.00,35.68,7,185,21,4
src/main/java/jp/co/smbc/gcms/channel/report/model/document/ReportDocument.java,18.18,70.00,35.68,2,48,0,1
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportTemplatesDeliveryMethodsDiffService.java,18.18,70.00,35.68,2,309,5,2
src/main/java/jp/co/smbc/gcms/channel/report/batch/eadvice/smb/EAdviceSmbClient.java,18.18,60.00,33.03,2,111,1,1
src/main/java/jp/co/smbc/gcms/channel/report/service/GetReportHistoryService.java,36.36,30.00,33.03,4,418,137,1
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportReportConditionsRetrievalService.java,27.27,40.00,33.03,3,117,3,2
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportScheduledReportsSavedFilterService.java,27.27,40.00,33.03,3,127,14,2
src/test/java/jp/co/smbc/gcms/channel/report/service/PostReportAccountGroupRetrievalServiceTest.java,54.55,20.00,33.03,6,198,29,2
src/test/java/jp/co/smbc/gcms/channel/report/service/PutReportHistoriesSavedFilterServiceTest.java,54.55,20.00,33.03,6,372,20,2
src/main/java/jp/co/smbc/gcms/channel/report/controller/ReportTemplateController.java,100.00,10.00,31.62,24,436,69,11
src/test/java/jp/co/smbc/gcms/channel/report/service/ReportFilterServiceTest.java,100.00,10.00,31.62,11,1125,171,6
src/test/java/jp/co/smbc/gcms/channel/report/service/common/CommonValidationServiceTest.java,100.00,10.00,31.62,35,4717,124,13
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportReportRefIdDiffService.java,9.09,100.00,30.15,1,404,0,1
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportTemplatesDeleteService.java,45.45,20.00,30.15,5,74,9,4
src/main/java/jp/co/smbc/gcms/channel/report/service/ReportTemplateService.java,18.18,50.00,30.15,2,185,0,1
src/main/java/jp/co/smbc/gcms/channel/report/service/common/ReportFilterMapper.java,27.27,30.00,28.60,3,470,53,2
src/test/java/jp/co/smbc/gcms/channel/report/service/ReportHistoryFilterServiceTest.java,81.82,10.00,28.60,9,549,97,4
src/main/java/jp/co/smbc/gcms/channel/report/service/DeleteReportScheduledReportsSavedFilterService.java,36.36,20.00,26.97,4,86,6,2
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportContactsRetrievalService.java,18.18,40.00,26.97,2,99,3,1
src/main/java/jp/co/smbc/gcms/channel/report/service/PostReportUsersBankBranchesRetrievalService.java,36.36,20.00,26.97,4,118,10,2
src/main/java/jp/co/smbc/gcms/channel/report/service/ReportTemplateFilterService.java,18.18,40.00,26.97,2,143,0,2
src/main/java/jp/co/smbc/gcms/channel/report/service/common/ReportConditionViewMapper.java,36.36,20.00,26.97,4,772,2,3
src/test/java/jp/co/smbc/gcms/channel/report/service/PostReportUsersRetrievalServiceTest.java,18.18,40.00,26.97,2,328,0,1
