file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/service/ScheduleTransactionFilterService.java,91.89,80.00,85.74,18,371,136,4
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/util/ScheduleTransactionsUtils.java,48.65,100.00,69.75,10,416,159,4
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/service/ScheduleTransactionsService.java,100.00,40.00,63.25,21,551,258,5
src/test/java/jp/co/smbc/gcms/channel/schedule/transaction/service/ScheduleTransactionFilterServiceTest.java,91.89,40.00,60.63,18,1125,327,4
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/controller/ScheduleTransactionFilterController.java,75.68,40.00,55.02,15,169,96,3
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/config/StringListJsonConverter.java,16.22,60.00,31.19,4,59,3,1
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/model/entity/enums/SymbolEnum.java,16.22,60.00,31.19,4,118,0,3
src/test/java/jp/co/smbc/gcms/channel/schedule/transaction/util/ScheduleTransactionsUtilsTest.java,43.24,20.00,29.41,9,553,166,6
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/adaptor/ProfileAdaptor.java,10.81,40.00,20.80,3,83,3,2
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/ScheduleTransactionApplication.java,0.00,0.00,0.00,1,13,0,1
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/adaptor/AccountAdapter.java,5.41,0.00,0.00,2,39,2,2
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/adaptor/AccountAdapterProperties.java,0.00,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/adaptor/EntitlementAdaptor.java,10.81,0.00,0.00,3,71,7,3
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/adaptor/EntitlementAdaptorProperties.java,0.00,0.00,0.00,1,21,0,1
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/adaptor/ProfileAdaptorProperties.java,5.41,0.00,0.00,2,26,8,1
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/constants/Constants.java,32.43,0.00,0.00,7,53,17,3
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/controller/ScheduleTransactionsController.java,48.65,0.00,0.00,10,167,53,3
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/controller/UserManagementController.java,5.41,0.00,0.00,2,46,0,1
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/model/entity/ScheduleTransactionEntity.java,16.22,0.00,0.00,4,48,22,3
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/model/entity/ScheduleTransactionListFilterEntity.java,10.81,0.00,0.00,3,59,55,2
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/model/entity/dto/KeywordSuggestionsCriteriaDto.java,10.81,0.00,0.00,3,42,21,1
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/model/entity/dto/ScheduleTransactionsCriteriaDto.java,5.41,0.00,0.00,2,26,1,2
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/model/entity/enums/ScheduleTransactionTableSortFieldEnum.java,59.46,0.00,0.00,12,156,20,5
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/model/entity/enums/SortFieldMapper.java,16.22,0.00,0.00,4,28,0,3
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/model/entity/projection/ScheduleTransactionsProjection.java,5.41,0.00,0.00,2,22,0,1
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/repository/ScheduleTransactionListCriteria.java,0.00,0.00,0.00,1,20,0,1
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/repository/ScheduleTransactionListFilterRepository.java,27.03,0.00,0.00,6,25,1,3
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/repository/ScheduleTransactionsRepository.java,54.05,0.00,0.00,11,165,59,6
src/main/java/jp/co/smbc/gcms/channel/schedule/transaction/service/UserManagementService.java,5.41,0.00,0.00,2,46,0,1
src/test/java/jp/co/smbc/gcms/channel/schedule/transaction/adaptor/AccountAdapterTest.java,0.00,0.00,0.00,1,54,0,1
src/test/java/jp/co/smbc/gcms/channel/schedule/transaction/adaptor/EntitlementAdaptorTest.java,0.00,0.00,0.00,1,69,0,1
src/test/java/jp/co/smbc/gcms/channel/schedule/transaction/adaptor/ProfileAdaptorTest.java,0.00,20.00,0.00,1,106,0,1
src/test/java/jp/co/smbc/gcms/channel/schedule/transaction/config/StringListJsonConverterTest.java,16.22,0.00,0.00,4,107,16,1
src/test/java/jp/co/smbc/gcms/channel/schedule/transaction/controller/ScheduleTransactionFilterControllerTest.java,43.24,0.00,0.00,9,503,131,3
src/test/java/jp/co/smbc/gcms/channel/schedule/transaction/controller/ScheduleTransactionsControllerTest.java,16.22,0.00,0.00,4,106,11,1
src/test/java/jp/co/smbc/gcms/channel/schedule/transaction/controller/UserManagementControllerTest.java,5.41,0.00,0.00,2,60,0,1
src/test/java/jp/co/smbc/gcms/channel/schedule/transaction/service/ScheduleTransactionsServiceTest.java,54.05,0.00,0.00,11,535,96,4
src/test/java/jp/co/smbc/gcms/channel/schedule/transaction/service/UserManagementServiceTest.java,5.41,0.00,0.00,2,56,0,1
