file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/PostVerificationService.java,89.36,93.33,91.33,22,1141,878,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/PostCreateTransactionService.java,63.83,100.00,79.89,16,898,486,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/PutTransactionService.java,59.57,100.00,77.18,15,803,324,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/GetPaymentInstructionService.java,51.06,80.00,63.91,13,1191,587,5
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/PostTransactionListRetrievalService.java,34.04,93.33,56.37,9,353,147,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/PutTransactionOtherInformationService.java,55.32,53.33,54.32,14,629,174,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/PutPaymentInstructionServiceImplTest.java,63.83,40.00,50.53,16,1042,302,4
src/main/java/jp/co/smbc/gcms/fo/sgpayment/util/CommonUtils.java,38.30,66.67,50.53,10,520,58,5
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/PostInternalCreateInstructionService.java,42.55,53.33,47.64,11,234,141,5
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/GetTransactionService.java,55.32,40.00,47.04,14,373,118,4
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/PutPaymentInstructionService.java,55.32,40.00,47.04,14,443,186,4
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/GetSetupConfigurationService.java,25.53,53.33,36.90,7,168,44,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/controller/SgPaymentController.java,100.00,13.33,36.51,25,452,211,7
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/GetFeeSetupService.java,34.04,26.67,30.13,9,120,45,4
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/AccountAdaptor.java,12.77,53.33,26.09,4,252,9,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/validator/PaymentInstructionValidator.java,8.51,80.00,26.09,3,374,24,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/PostSubmissionService.java,46.81,13.33,24.98,12,607,481,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/GetTransactionOtherInformationService.java,38.30,13.33,22.60,10,396,106,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/EntitlementAdaptor.java,8.51,53.33,21.30,3,153,28,2
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/LookupAdaptor.java,8.51,53.33,21.30,3,237,122,2
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/PostFeeAccountRetrievalService.java,17.02,26.67,21.30,5,99,26,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/util/CommonUtilsTest.java,34.04,13.33,21.30,9,1198,67,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/PutTransactionAmountService.java,4.26,100.00,20.63,2,106,2,2
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/PaymentMasterAdaptor.java,8.51,40.00,18.45,3,303,133,2
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/CloneInstructionService.java,25.53,13.33,18.45,7,84,64,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/GetCountryListService.java,21.28,13.33,16.84,6,83,21,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/TicketAdaptor.java,4.26,53.33,15.06,2,58,8,1
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/CloneInstructionServiceImplTest.java,17.02,13.33,15.06,5,29,27,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/BranchBoAdaptor.java,4.26,26.67,10.65,2,140,0,2
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/LimitAdaptor.java,4.26,26.67,10.65,2,135,0,2
src/main/java/jp/co/smbc/gcms/fo/sgpayment/SgPaymentApplication.java,0.00,0.00,0.00,1,12,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/AccountAdaptorProperties.java,8.51,0.00,0.00,3,33,0,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/BranchBoAdaptorProperties.java,4.26,0.00,0.00,2,36,0,2
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/EntitlementAdaptorProperties.java,0.00,0.00,0.00,1,18,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/LimitAdaptorProperties.java,4.26,0.00,0.00,2,35,0,2
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/LookupAdaptorProperties.java,0.00,0.00,0.00,1,27,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/PaymentMasterAdaptorProperties.java,0.00,0.00,0.00,1,27,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/ProfileAdaptor.java,0.00,13.33,0.00,1,43,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/ProfileAdaptorProperties.java,0.00,0.00,0.00,1,12,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/TicketAdaptorProperties.java,0.00,0.00,0.00,1,13,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/config/AppConfigCredential.java,0.00,0.00,0.00,1,18,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/config/RestClientConfig.java,8.51,0.00,0.00,3,24,13,2
src/main/java/jp/co/smbc/gcms/fo/sgpayment/controller/InternalSgPaymentController.java,42.55,0.00,0.00,11,166,60,5
src/main/java/jp/co/smbc/gcms/fo/sgpayment/mapper/PaymentValidationMapper.java,0.00,26.67,0.00,1,101,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/model/entity/PaymentInstruction.java,21.28,0.00,0.00,6,148,15,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/model/entity/PaymentRegulatoryReportAdditionalDetails.java,4.26,0.00,0.00,2,48,1,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/model/entity/PaymentRegulatoryReportDetails.java,8.51,0.00,0.00,3,66,2,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/model/entity/PaymentTransaction.java,29.79,0.00,0.00,8,231,24,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/model/entity/PaymentTransactionAddressDetails.java,12.77,0.00,0.00,4,102,7,2
src/main/java/jp/co/smbc/gcms/fo/sgpayment/model/entity/PaymentTransactionInvoiceDetails.java,12.77,0.00,0.00,4,70,6,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/model/enums/ErrorType.java,0.00,0.00,0.00,1,5,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/model/validation/AccountStatusResult.java,0.00,0.00,0.00,1,7,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/model/validation/ValidationError.java,4.26,0.00,0.00,2,16,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/model/validation/ValueDateResult.java,0.00,0.00,0.00,1,5,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/properties/FeeUrlLookupProperties.java,4.26,0.00,0.00,2,14,1,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/repository/PaymentInstructionRepository.java,17.02,0.00,0.00,5,97,32,4
src/main/java/jp/co/smbc/gcms/fo/sgpayment/repository/PaymentRegulatoryReportAdditionalDetailsRepository.java,0.00,0.00,0.00,1,21,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/repository/PaymentRegulatoryReportDetailsRepository.java,0.00,0.00,0.00,1,19,0,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/repository/PaymentTransactionAddressDetailsRepository.java,4.26,0.00,0.00,2,49,15,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/repository/PaymentTransactionInvoiceDetailsRepository.java,4.26,0.00,0.00,2,30,7,1
src/main/java/jp/co/smbc/gcms/fo/sgpayment/repository/PaymentTransactionRepository.java,63.83,0.00,0.00,16,139,46,5
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/DeleteInstructionService.java,34.04,0.00,0.00,9,243,57,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/DeleteTransactionService.java,85.11,0.00,0.00,21,468,273,2
src/main/java/jp/co/smbc/gcms/fo/sgpayment/service/GetRecentPayeeListService.java,29.79,0.00,0.00,8,111,38,3
src/main/java/jp/co/smbc/gcms/fo/sgpayment/util/Constants.java,72.34,0.00,0.00,18,82,9,7
src/test/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/AccountAdaptorTest.java,17.02,0.00,0.00,5,282,21,2
src/test/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/BranchBoAdaptorTest.java,0.00,0.00,0.00,1,127,0,1
src/test/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/EntitlementAdaptorTest.java,0.00,0.00,0.00,1,135,0,1
src/test/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/LimitAdaptorTest.java,0.00,0.00,0.00,1,119,0,1
src/test/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/LookupAdaptorTest.java,25.53,0.00,0.00,7,507,251,2
src/test/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/PaymentMasterAdaptorTest.java,25.53,0.00,0.00,7,565,229,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/ProfileAdaptorTest.java,0.00,0.00,0.00,1,59,0,1
src/test/java/jp/co/smbc/gcms/fo/sgpayment/adaptor/TicketAdaptorTest.java,4.26,0.00,0.00,2,142,14,1
src/test/java/jp/co/smbc/gcms/fo/sgpayment/controller/InternalSgPaymentControllerTest.java,46.81,0.00,0.00,12,477,177,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/controller/SgPaymentControllerTest.java,100.00,0.00,0.00,27,1104,281,6
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/DeleteInstructionServiceImplTest.java,29.79,0.00,0.00,8,478,88,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/DeleteTransactionServiceImplTest.java,80.85,0.00,0.00,20,915,480,2
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/GetCountryListServiceImplTest.java,29.79,0.00,0.00,8,152,8,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/GetFeeSetupServiceImplTest.java,34.04,0.00,0.00,9,263,45,5
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/GetPaymentInstructionServiceImplTest.java,46.81,0.00,0.00,12,1036,551,4
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/GetRecentPayeeListServiceImplTest.java,34.04,0.00,0.00,9,237,35,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/GetSetupConfigurationServiceImplTest.java,34.04,0.00,0.00,9,365,46,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/GetTransactionOtherInformationServiceImplTest.java,38.30,0.00,0.00,10,387,62,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/GetTransactionServiceImplTest.java,55.32,0.00,0.00,14,646,71,4
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/PostCreateTransactionServiceImplTest.java,72.34,0.00,0.00,18,1005,207,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/PostFeeAccountRetrievalServiceImplTest.java,25.53,0.00,0.00,7,230,35,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/PostInternalCreateInstructionServiceImplTest.java,46.81,0.00,0.00,12,422,209,5
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/PostSubmissionServiceImplTest.java,38.30,0.00,0.00,10,470,291,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/PostTransactionListRetrievalServiceImplTest.java,38.30,0.00,0.00,10,773,163,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/PostVerificationServiceImplTest.java,51.06,0.00,0.00,13,1035,1126,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/PutTransactionAmountServiceTest.java,4.26,0.00,0.00,2,419,1,2
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/PutTransactionOtherInformationServiceImplTest.java,42.55,0.00,0.00,11,744,288,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/service/PutTransactionServiceImplTest.java,59.57,0.00,0.00,15,1158,156,3
src/test/java/jp/co/smbc/gcms/fo/sgpayment/validator/PaymentInstructionValidatorImplTest.java,4.26,0.00,0.00,2,641,29,1
