file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/statement/adaptor/AccountAdaptor.java,100.00,100.00,100.00,17,243,80,6
src/main/java/jp/co/smbc/gcms/channel/statement/service/TransactionHistoryCreationProcessorService.java,100.00,100.00,100.00,32,811,466,9
src/main/java/jp/co/smbc/gcms/channel/statement/service/TransactionHistoryService.java,100.00,100.00,100.00,45,601,253,13
src/main/java/jp/co/smbc/gcms/channel/statement/util/StatementCommonUtils.java,100.00,100.00,100.00,17,298,167,7
src/main/java/jp/co/smbc/gcms/channel/statement/service/TransactionHistoryFilterService.java,64.00,100.00,80.00,9,214,12,2
src/main/java/jp/co/smbc/gcms/channel/statement/model/enums/SymbolEnum.java,24.00,100.00,48.99,4,63,0,2
src/main/java/jp/co/smbc/gcms/channel/statement/service/ReportTransactionHistoryControllerService.java,24.00,100.00,48.99,4,655,18,1
src/test/java/jp/co/smbc/gcms/channel/statement/util/StatementCommonUtilsTest.java,56.00,40.00,47.33,8,225,85,5
src/test/java/jp/co/smbc/gcms/channel/statement/service/TransactionHistoryFilterServiceTest.java,40.00,40.00,40.00,6,816,1,2
src/main/java/jp/co/smbc/gcms/channel/statement/config/WireMockConfig.java,8.00,80.00,25.30,2,96,0,2
src/main/java/jp/co/smbc/gcms/channel/statement/stream/ConsumerController.java,16.00,40.00,25.30,3,80,28,2
src/main/java/jp/co/smbc/gcms/channel/statement/StatementApplication.java,0.00,0.00,0.00,1,2,0,1
src/main/java/jp/co/smbc/gcms/channel/statement/adaptor/AccountAdaptorProperties.java,32.00,0.00,0.00,5,21,1,4
src/main/java/jp/co/smbc/gcms/channel/statement/adaptor/EntitlementAdaptor.java,8.00,0.00,0.00,2,49,1,2
src/main/java/jp/co/smbc/gcms/channel/statement/adaptor/EntitlementAdaptorProperties.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/statement/adaptor/LookupAdaptor.java,8.00,0.00,0.00,2,89,2,1
src/main/java/jp/co/smbc/gcms/channel/statement/adaptor/LookupAdaptorProperties.java,8.00,0.00,0.00,2,18,1,1
src/main/java/jp/co/smbc/gcms/channel/statement/adaptor/ProfileAdaptor.java,24.00,0.00,0.00,4,137,41,3
src/main/java/jp/co/smbc/gcms/channel/statement/adaptor/ProfileAdaptorProperties.java,8.00,0.00,0.00,2,34,0,2
src/main/java/jp/co/smbc/gcms/channel/statement/config/KafkaConfig.java,0.00,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/channel/statement/config/StringListJsonConverter.java,0.00,80.00,0.00,1,33,0,1
src/main/java/jp/co/smbc/gcms/channel/statement/controller/ReportTransactionHistoryController.java,0.00,0.00,0.00,1,23,0,1
src/main/java/jp/co/smbc/gcms/channel/statement/controller/StatementController.java,16.00,0.00,0.00,3,59,2,2
src/main/java/jp/co/smbc/gcms/channel/statement/controller/TransactionHistoryController.java,100.00,0.00,0.00,14,180,72,4
src/main/java/jp/co/smbc/gcms/channel/statement/model/entity/TransactionHistoryEntity.java,56.00,0.00,0.00,8,228,37,5
src/main/java/jp/co/smbc/gcms/channel/statement/model/entity/TransactionHistoryListFilterEntity.java,16.00,0.00,0.00,3,74,3,2
src/main/java/jp/co/smbc/gcms/channel/statement/model/enums/DebitCreditEnum.java,0.00,0.00,0.00,1,6,0,1
src/main/java/jp/co/smbc/gcms/channel/statement/model/enums/SortFieldMapper.java,8.00,0.00,0.00,2,14,0,2
src/main/java/jp/co/smbc/gcms/channel/statement/model/enums/TransactionHistoryTableSortColumnFieldEnum.java,88.00,0.00,0.00,12,141,45,5
src/main/java/jp/co/smbc/gcms/channel/statement/model/event/StreamHeader.java,0.00,0.00,0.00,1,20,0,1
src/main/java/jp/co/smbc/gcms/channel/statement/model/projection/CounterpartyNameProjection.java,0.00,0.00,0.00,1,5,0,1
src/main/java/jp/co/smbc/gcms/channel/statement/model/request/TransactionHistoryGetRequest.java,0.00,0.00,0.00,1,24,0,1
src/main/java/jp/co/smbc/gcms/channel/statement/model/request/TransactionHistoryKeywordRequest.java,0.00,0.00,0.00,1,20,0,1
src/main/java/jp/co/smbc/gcms/channel/statement/model/response/GetInternalAccountByRefIdContent.java,8.00,0.00,0.00,2,41,41,1
src/main/java/jp/co/smbc/gcms/channel/statement/model/response/GetInternalAccountByRefIdResponse.java,8.00,0.00,0.00,2,8,8,1
src/main/java/jp/co/smbc/gcms/channel/statement/repository/TransactionHistoryListFilterRepository.java,16.00,0.00,0.00,3,15,0,2
src/main/java/jp/co/smbc/gcms/channel/statement/repository/TransactionHistoryRepository.java,100.00,0.00,0.00,16,201,60,7
src/main/java/jp/co/smbc/gcms/channel/statement/service/CommonService.java,0.00,100.00,0.00,1,90,0,1
src/main/java/jp/co/smbc/gcms/channel/statement/service/InternalPostUserRefIdDeleteService.java,0.00,0.00,0.00,1,22,0,1
src/main/java/jp/co/smbc/gcms/channel/statement/util/Constants.java,72.00,0.00,0.00,10,40,1,6
src/test/java/jp/co/smbc/gcms/channel/statement/adaptor/AccountAdaptorReportTest.java,8.00,0.00,0.00,2,87,7,1
src/test/java/jp/co/smbc/gcms/channel/statement/adaptor/AccountAdaptorTest.java,16.00,0.00,0.00,3,238,3,2
src/test/java/jp/co/smbc/gcms/channel/statement/adaptor/EntitlementAdaptorTest.java,8.00,0.00,0.00,2,160,0,1
src/test/java/jp/co/smbc/gcms/channel/statement/adaptor/LookupAdaptorTest.java,8.00,0.00,0.00,2,86,3,1
src/test/java/jp/co/smbc/gcms/channel/statement/adaptor/ProfileAdaptorTest.java,8.00,0.00,0.00,2,180,0,1
src/test/java/jp/co/smbc/gcms/channel/statement/config/KafkaConfigTest.java,0.00,0.00,0.00,1,25,0,1
src/test/java/jp/co/smbc/gcms/channel/statement/config/StringListJsonConverterTest.java,8.00,0.00,0.00,2,66,2,1
src/test/java/jp/co/smbc/gcms/channel/statement/config/WireMockConfigTest.java,0.00,0.00,0.00,1,39,0,1
src/test/java/jp/co/smbc/gcms/channel/statement/controller/ReportTransactionHistoryControllerTest.java,0.00,0.00,0.00,1,49,0,1
src/test/java/jp/co/smbc/gcms/channel/statement/controller/StatementControllerTest.java,8.00,0.00,0.00,2,128,2,2
src/test/java/jp/co/smbc/gcms/channel/statement/controller/TransactionHistoryControllerTest.java,72.00,0.00,0.00,10,240,20,2
src/test/java/jp/co/smbc/gcms/channel/statement/service/CommonServiceTest.java,0.00,0.00,0.00,1,108,0,1
src/test/java/jp/co/smbc/gcms/channel/statement/service/InternalPostUserRefIdDeleteServiceTest.java,0.00,0.00,0.00,1,33,0,1
src/test/java/jp/co/smbc/gcms/channel/statement/service/ReportTransactionHistoryControllerServiceTest.java,16.00,0.00,0.00,3,469,26,1
src/test/java/jp/co/smbc/gcms/channel/statement/service/TransactionHistoryCreationProcessorServiceTest.java,100.00,0.00,0.00,14,736,68,7
src/test/java/jp/co/smbc/gcms/channel/statement/service/TransactionHistoryServiceTest.java,100.00,0.00,0.00,20,695,65,8
src/test/java/jp/co/smbc/gcms/channel/statement/stream/ConsumerControllerTest.java,40.00,0.00,0.00,6,216,3,2
src/test/java/jp/co/smbc/gcms/channel/statement/util/ConstantsTest.java,0.00,0.00,0.00,1,34,0,1
