file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/stream/communication/service/InboxProcessor.java,100.00,100.00,100.00,12,368,160,3
src/main/java/jp/co/smbc/gcms/channel/stream/communication/service/StreamCommunicationProcessorService.java,100.00,100.00,100.00,21,468,199,6
src/main/java/jp/co/smbc/gcms/channel/stream/communication/service/EmailProcessor.java,100.00,53.33,73.03,9,196,71,4
src/main/java/jp/co/smbc/gcms/channel/stream/communication/stream/StreamCommunicationProcessorConsumer.java,62.50,53.33,57.74,3,50,4,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/adaptor/ProfileAdaptor.java,87.50,26.67,48.30,4,61,19,2
src/main/java/jp/co/smbc/gcms/channel/stream/communication/service/CommonService.java,87.50,26.67,48.30,4,100,16,2
src/main/java/jp/co/smbc/gcms/channel/stream/communication/util/TemplateMappingAdaptor.java,37.50,53.33,44.72,2,59,1,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/util/StandardEventConverter.java,12.50,100.00,35.36,1,76,0,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/configuration/AppConfigClientConfig.java,37.50,26.67,31.62,2,43,5,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/configuration/RedisConfig.java,37.50,26.67,31.62,2,162,30,2
src/main/java/jp/co/smbc/gcms/channel/stream/communication/service/PushNotificationProcessor.java,12.50,53.33,25.82,1,1,2,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/StreamCommunicationApplication.java,12.50,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/adaptor/InboxAdaptor.java,62.50,0.00,0.00,3,46,11,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/adaptor/InboxAdaptorProperties.java,37.50,0.00,0.00,2,17,4,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/adaptor/ProfileAdaptorProperties.java,37.50,0.00,0.00,2,17,4,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/configuration/AzureConfig.java,100.00,0.00,0.00,5,51,25,2
src/main/java/jp/co/smbc/gcms/channel/stream/communication/configuration/KafkaConfig.java,12.50,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/configuration/SseEmitterProperties.java,37.50,0.00,0.00,2,24,1,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/configuration/template/HandlebarsConfig.java,12.50,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/model/dto/EmailProcessorDto.java,100.00,0.00,0.00,5,34,5,2
src/main/java/jp/co/smbc/gcms/channel/stream/communication/model/dto/EmailTemplate.java,62.50,0.00,0.00,3,34,17,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/model/dto/EventConfig.java,100.00,0.00,0.00,5,52,19,2
src/main/java/jp/co/smbc/gcms/channel/stream/communication/model/dto/InboxProcessorDto.java,87.50,0.00,0.00,4,31,4,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/model/dto/InboxTemplate.java,62.50,0.00,0.00,3,39,20,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/model/dto/PushNotificationProcessorDto.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/channel/stream/communication/model/dto/TemplateContent.java,12.50,0.00,0.00,1,17,0,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/model/dto/TemplateMapping.java,62.50,0.00,0.00,3,29,29,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/model/template/MessageRequest.java,37.50,0.00,0.00,2,26,3,2
src/main/java/jp/co/smbc/gcms/channel/stream/communication/model/template/MessageResponse.java,12.50,0.00,0.00,1,18,0,1
src/main/java/jp/co/smbc/gcms/channel/stream/communication/service/TemplateService.java,0.00,100.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/channel/stream/communication/util/Constants.java,100.00,0.00,0.00,8,43,17,5
src/main/java/jp/co/smbc/gcms/channel/stream/communication/util/StructConverter.java,12.50,0.00,0.00,1,33,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/communication/adaptor/InboxAdaptorPropertiesTest.java,37.50,0.00,0.00,2,64,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/communication/adaptor/InboxAdaptorTest.java,37.50,0.00,0.00,2,212,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/communication/adaptor/ProfileAdaptorPropertiesTest.java,37.50,0.00,0.00,2,66,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/communication/adaptor/ProfileAdaptorTest.java,37.50,0.00,0.00,2,236,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/communication/service/CommonServiceTest.java,62.50,0.00,0.00,3,162,0,2
src/test/java/jp/co/smbc/gcms/channel/stream/communication/service/EmailProcessorTest.java,62.50,0.00,0.00,3,188,0,2
src/test/java/jp/co/smbc/gcms/channel/stream/communication/service/InboxProcessorTest.java,62.50,0.00,0.00,3,555,0,2
src/test/java/jp/co/smbc/gcms/channel/stream/communication/service/PushNotificationProcessorTest.java,37.50,0.00,0.00,2,66,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/communication/service/StreamCommunicationProcessorServiceTest.java,100.00,0.00,0.00,5,2129,3,3
src/test/java/jp/co/smbc/gcms/channel/stream/communication/service/TemplateServiceTest.java,62.50,0.00,0.00,3,166,0,2
src/test/java/jp/co/smbc/gcms/channel/stream/communication/util/StandardEventConverterTest.java,37.50,0.00,0.00,2,430,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/communication/util/StructConverterTest.java,37.50,0.00,0.00,2,134,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/communication/util/TemplateMappingAdaptorTest.java,37.50,0.00,0.00,2,328,0,1
