file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/streamemail/services/EmailSendService.java,100.00,100.00,100.00,11,169,42,5
src/main/java/jp/co/smbc/gcms/streamemail/services/StreamEmailProcessorService.java,85.71,100.00,92.58,3,96,4,3
src/main/java/jp/co/smbc/gcms/streamemail/stream/ConsumerController.java,57.14,80.00,67.61,2,108,16,1
src/main/java/jp/co/smbc/gcms/streamemail/util/CommonUtil.java,28.57,100.00,53.45,1,29,0,1
src/main/java/jp/co/smbc/gcms/streamemail/properties/EmailConfigProperties.java,57.14,40.00,47.81,2,54,14,2
src/main/java/jp/co/smbc/gcms/streamemail/config/AppConfigClientConfig.java,28.57,40.00,33.81,1,37,0,1
src/main/java/jp/co/smbc/gcms/streamemail/services/KafkaMessagePublisher.java,28.57,40.00,33.81,1,52,0,1
src/main/java/jp/co/smbc/gcms/streamemail/StreamEmailApplication.java,100.00,0.00,0.00,4,16,3,2
src/main/java/jp/co/smbc/gcms/streamemail/adaptor/TicketAdaptor.java,28.57,0.00,0.00,1,37,0,1
src/main/java/jp/co/smbc/gcms/streamemail/adaptor/TicketAdaptorProperties.java,28.57,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/streamemail/component/AppConfigCredential.java,28.57,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/streamemail/config/JsonObjectMapper.java,0.00,40.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/streamemail/config/PropertiesLoader.java,0.00,40.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/streamemail/controller/EmailSendController.java,28.57,0.00,0.00,1,21,0,1
src/main/java/jp/co/smbc/gcms/streamemail/dto/DetailsDto.java,28.57,0.00,0.00,1,9,0,1
src/main/java/jp/co/smbc/gcms/streamemail/dto/EmailPayloadDto.java,28.57,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/streamemail/dto/PayloadTemporaryDto.java,57.14,0.00,0.00,2,10,0,2
src/main/java/jp/co/smbc/gcms/streamemail/dto/RecipientDto.java,28.57,0.00,0.00,1,10,0,1
src/main/java/jp/co/smbc/gcms/streamemail/dto/SMTPPropertiesDto.java,57.14,0.00,0.00,2,11,0,2
src/main/java/jp/co/smbc/gcms/streamemail/dto/TemplateDto.java,28.57,0.00,0.00,1,13,0,1
src/main/java/jp/co/smbc/gcms/streamemail/util/Constants.java,28.57,0.00,0.00,1,20,0,1
src/test/java/jp/co/smbc/gcms/streamemail/adaptor/TicketAdaptorTest.java,57.14,0.00,0.00,2,212,0,1
src/test/java/jp/co/smbc/gcms/streamemail/config/JsonObjectMapperTest.java,28.57,0.00,0.00,1,38,0,1
src/test/java/jp/co/smbc/gcms/streamemail/config/PropertiesLoaderTest.java,28.57,0.00,0.00,1,80,0,1
src/test/java/jp/co/smbc/gcms/streamemail/controller/EmailSendControllerTest.java,100.00,0.00,0.00,6,69,25,5
src/test/java/jp/co/smbc/gcms/streamemail/services/EmailSendServiceTest.java,100.00,0.00,0.00,4,269,19,3
src/test/java/jp/co/smbc/gcms/streamemail/services/KafkaMessagePublisherTest.java,28.57,0.00,0.00,1,103,0,1
src/test/java/jp/co/smbc/gcms/streamemail/services/StreamEmailProcessorServiceTest.java,57.14,0.00,0.00,2,213,15,2
src/test/java/jp/co/smbc/gcms/streamemail/util/CommonUtilTest.java,57.14,0.00,0.00,2,262,0,1
