file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/service/StreamEventActivityLogProcessorService.java,100.00,100.00,100.00,13,136,81,4
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/service/StreamEventNotificationProcessorService.java,100.00,100.00,100.00,9,238,95,3
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/stream/StreamEventProcessorConsumer.java,100.00,100.00,100.00,12,220,144,4
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/service/EventConfigService.java,48.00,100.00,69.28,4,135,45,3
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/properties/FoEventConfigLookupProperties.java,32.00,40.00,35.78,3,35,4,2
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/service/KafkaMessagePublisher.java,16.00,40.00,25.30,2,74,30,2
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/StreamEventEngineApplication.java,0.00,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/configuration/AzureAppConfigurationClientConfig.java,0.00,40.00,0.00,1,36,0,1
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/configuration/KafkaConfig.java,0.00,0.00,0.00,1,16,0,1
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/model/dto/ActivityLogEventCodeEnrichedInformation.java,0.00,0.00,0.00,1,19,0,1
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/model/dto/EventConfig.java,0.00,0.00,0.00,1,24,0,1
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/util/Constants.java,16.00,0.00,0.00,2,32,0,2
src/main/java/jp/co/smbc/gcms/channel/stream/event/engine/util/StreamEventHeaderConverterUtils.java,0.00,80.00,0.00,1,35,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/configuration/AzureAppConfigurationClientConfigTest.java,0.00,0.00,0.00,1,39,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/configuration/KafkaConfigTest.java,0.00,0.00,0.00,1,26,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/properties/FoEventConfigLookupPropertiesTest.java,0.00,0.00,0.00,1,50,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/service/EventConfigServiceTest.java,48.00,0.00,0.00,4,306,102,1
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/service/KafkaMessagePublisherTest.java,0.00,40.00,0.00,1,80,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/service/StreamEventActivityLogProcessorServiceTest.java,64.00,0.00,0.00,5,237,79,3
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/service/StreamEventNotificationProcessorServiceTest.java,16.00,0.00,0.00,2,271,3,2
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/stream/StreamEventProcessorConsumerTest.java,16.00,0.00,0.00,2,136,0,2
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/util/ConstantsTest.java,0.00,40.00,0.00,1,57,0,1
src/test/java/jp/co/smbc/gcms/channel/stream/event/engine/util/StreamEventHeaderConverterUtilsTest.java,32.00,0.00,0.00,3,332,54,2
