file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/ticket/TicketApplication.java,20.00,0.00,0.00,2,20,1,2
src/main/java/jp/co/smbc/gcms/channel/ticket/adaptor/model/response/GetInternalUserProfileResponse.java,20.00,0.00,0.00,2,67,2,1
src/main/java/jp/co/smbc/gcms/channel/ticket/controller/BackOfficeTicketController.java,20.00,0.00,0.00,2,26,4,1
src/main/java/jp/co/smbc/gcms/channel/ticket/controller/InternalTicketController.java,40.00,0.00,0.00,3,35,4,2
src/main/java/jp/co/smbc/gcms/channel/ticket/model/entity/EmailTicketEntity.java,0.00,0.00,0.00,1,32,0,1
src/main/java/jp/co/smbc/gcms/channel/ticket/model/entity/TicketSequenceEntity.java,0.00,0.00,0.00,1,32,0,1
src/main/java/jp/co/smbc/gcms/channel/ticket/model/entity/composite/TicketSequenceId.java,0.00,0.00,0.00,1,17,0,1
src/main/java/jp/co/smbc/gcms/channel/ticket/repository/EmailTicketRepository.java,0.00,0.00,0.00,1,9,0,1
src/main/java/jp/co/smbc/gcms/channel/ticket/repository/TicketSequenceRepository.java,20.00,0.00,0.00,2,20,0,2
src/main/java/jp/co/smbc/gcms/channel/ticket/service/GetInternalTicketEmailService.java,0.00,0.00,0.00,1,40,0,1
src/main/java/jp/co/smbc/gcms/channel/ticket/service/InternalTicketService.java,100.00,0.00,0.00,7,104,25,5
src/main/java/jp/co/smbc/gcms/channel/ticket/util/Constants.java,0.00,0.00,0.00,1,11,0,1
src/test/java/jp/co/smbc/gcms/channel/ticket/controller/BackOfficeTicketControllerTest.java,60.00,0.00,0.00,4,83,5,2
src/test/java/jp/co/smbc/gcms/channel/ticket/controller/InternalTicketControllerTest.java,60.00,0.00,0.00,4,126,26,2
src/test/java/jp/co/smbc/gcms/channel/ticket/service/GetInternalTicketEmailServiceTest.java,0.00,0.00,0.00,1,64,0,1
src/test/java/jp/co/smbc/gcms/channel/ticket/service/InternalTicketServiceTest.java,100.00,0.00,0.00,6,233,76,4
src/test/java/jp/co/smbc/gcms/channel/ticket/util/ConstantsTest.java,20.00,0.00,0.00,2,58,0,1
