file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/widget/service/GetWidgetsService.java,100.00,100.00,100.00,9,246,54,2
src/main/java/jp/co/smbc/gcms/channel/widget/service/CommonWidgetEntitlementService.java,100.00,80.00,89.44,8,53,9,3
src/main/java/jp/co/smbc/gcms/channel/widget/service/PostWidgetQuickActionsRequestService.java,100.00,80.00,89.44,7,227,65,2
src/main/java/jp/co/smbc/gcms/channel/widget/service/PostWidgetsService.java,100.00,80.00,89.44,8,201,77,4
src/main/java/jp/co/smbc/gcms/channel/widget/service/PostWidgetsWidgetIdService.java,33.33,100.00,57.74,2,54,32,1
src/main/java/jp/co/smbc/gcms/channel/widget/util/ActivityLoggingAspectUtil.java,33.33,100.00,57.74,2,126,26,1
src/main/java/jp/co/smbc/gcms/channel/widget/util/activity/WidgetByIdActivityEvent.java,33.33,100.00,57.74,2,79,17,1
src/main/java/jp/co/smbc/gcms/channel/widget/util/QuickActionActivityLogResolverUtil.java,33.33,80.00,51.64,2,81,25,1
src/main/java/jp/co/smbc/gcms/channel/widget/util/WidgetLayoutActivityLogResolverUtil.java,33.33,80.00,51.64,2,80,13,1
src/main/java/jp/co/smbc/gcms/channel/widget/service/GetQuickActionsService.java,50.00,40.00,44.72,3,75,12,2
src/main/java/jp/co/smbc/gcms/channel/widget/util/WidgetCommonUtil.java,50.00,40.00,44.72,3,39,16,2
src/main/java/jp/co/smbc/gcms/channel/widget/util/WidgetByIdActivityLogResolverUtil.java,33.33,60.00,44.72,2,76,17,1
src/main/java/jp/co/smbc/gcms/channel/widget/adaptor/EntitlementAdaptor.java,83.33,20.00,40.82,5,75,15,2
src/main/java/jp/co/smbc/gcms/channel/widget/service/EntitlementRevocationQuickActionProcessorService.java,16.67,100.00,40.82,1,113,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/util/activity/ActivityContextHolder.java,50.00,20.00,31.62,3,113,31,1
src/main/java/jp/co/smbc/gcms/channel/widget/config/StringListJsonConverter.java,16.67,40.00,25.82,1,33,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/service/GetWidgetQuickActionsConfigurationService.java,33.33,20.00,25.82,2,74,6,1
src/main/java/jp/co/smbc/gcms/channel/widget/util/TransactionHelperUtils.java,16.67,20.00,18.26,1,22,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/WidgetApplication.java,16.67,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/adaptor/EntitlementAdaptorProperties.java,16.67,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/config/KafkaConfig.java,0.00,0.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/channel/widget/config/WireMockConfig.java,0.00,40.00,0.00,0,0,0,0
src/main/java/jp/co/smbc/gcms/channel/widget/controller/WidgetController.java,100.00,0.00,0.00,7,61,6,5
src/main/java/jp/co/smbc/gcms/channel/widget/controller/WidgetQuickActionsController.java,50.00,0.00,0.00,3,40,0,2
src/main/java/jp/co/smbc/gcms/channel/widget/exception/MismatchedResponseTypeException.java,16.67,0.00,0.00,1,7,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/model/dto/WidgetDefinition.java,66.67,0.00,0.00,4,31,0,2
src/main/java/jp/co/smbc/gcms/channel/widget/model/dto/WidgetFilterConfig.java,16.67,0.00,0.00,1,17,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/model/dto/WidgetQuickActionDto.java,16.67,0.00,0.00,1,17,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/model/dto/WidgetQuickActionWrapper.java,16.67,0.00,0.00,1,18,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/model/entity/QuickActionUserEntity.java,16.67,0.00,0.00,1,42,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/model/entity/WidgetUserEntity.java,33.33,0.00,0.00,2,49,2,2
src/main/java/jp/co/smbc/gcms/channel/widget/model/entity/WidgetUserFilterEntity.java,66.67,0.00,0.00,4,50,3,1
src/main/java/jp/co/smbc/gcms/channel/widget/model/entity/composite/WidgetUserFilterPk.java,16.67,0.00,0.00,1,24,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/model/projection/WidgetUserListProjection.java,33.33,0.00,0.00,2,15,2,1
src/main/java/jp/co/smbc/gcms/channel/widget/properties/QuickActionMasterListConfigProperties.java,16.67,0.00,0.00,1,28,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/properties/WidgetMasterListConfigProperties.java,33.33,0.00,0.00,2,26,1,2
src/main/java/jp/co/smbc/gcms/channel/widget/repository/QuickActionUserRepository.java,66.67,0.00,0.00,4,18,0,3
src/main/java/jp/co/smbc/gcms/channel/widget/repository/WidgetUserFilterRepository.java,100.00,0.00,0.00,8,83,30,4
src/main/java/jp/co/smbc/gcms/channel/widget/repository/WidgetUserRepository.java,83.33,0.00,0.00,5,38,14,4
src/main/java/jp/co/smbc/gcms/channel/widget/service/InternalPostUserRefIdService.java,16.67,0.00,0.00,1,37,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/stream/EntitlementRevocationQuickActionConsumer.java,16.67,0.00,0.00,1,36,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/util/Constants.java,66.67,0.00,0.00,4,32,0,2
src/main/java/jp/co/smbc/gcms/channel/widget/util/PublishActivityLog.java,33.33,0.00,0.00,2,18,4,1
src/main/java/jp/co/smbc/gcms/channel/widget/util/activity/ActivityEventKind.java,33.33,0.00,0.00,2,16,1,1
src/main/java/jp/co/smbc/gcms/channel/widget/util/activity/ActivityEventPayload.java,16.67,0.00,0.00,1,5,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/util/activity/ActivityLogResolver.java,33.33,0.00,0.00,2,28,15,1
src/main/java/jp/co/smbc/gcms/channel/widget/util/activity/QuickActionActivityEvent.java,16.67,0.00,0.00,1,18,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/util/activity/WidgetActionType.java,16.67,0.00,0.00,1,8,0,1
src/main/java/jp/co/smbc/gcms/channel/widget/util/activity/WidgetLayoutActivityEvent.java,16.67,0.00,0.00,1,18,0,1
src/test/java/jp/co/smbc/gcms/channel/widget/adaptor/EntitlementAdaptorTest.java,50.00,0.00,0.00,3,139,13,2
src/test/java/jp/co/smbc/gcms/channel/widget/controller/WidgetControllerTest.java,100.00,0.00,0.00,8,92,14,5
src/test/java/jp/co/smbc/gcms/channel/widget/controller/WidgetQuickActionsControllerTest.java,50.00,0.00,0.00,3,51,0,2
