file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/kong/handler/service/BaseGrantService.java,100.00,100.00,100.00,32,877,248,8
src/main/java/jp/co/smbc/gcms/channel/kong/handler/service/InternalPinGrantService.java,77.19,80.00,78.58,23,445,284,8
src/main/java/jp/co/smbc/gcms/channel/kong/handler/service/PreloginGrantService.java,59.65,80.00,69.08,18,326,161,8
src/main/java/jp/co/smbc/gcms/channel/kong/handler/service/PasswordGrantService.java,80.70,40.00,56.82,24,418,254,7
src/main/java/jp/co/smbc/gcms/channel/kong/handler/service/RedisService.java,35.09,80.00,52.98,11,456,83,7
src/main/java/jp/co/smbc/gcms/channel/kong/handler/service/RevokeAccessService.java,35.09,60.00,45.88,11,121,72,8
src/main/java/jp/co/smbc/gcms/channel/kong/handler/service/PostSessionCheckService.java,31.58,60.00,43.53,10,75,38,5
src/main/java/jp/co/smbc/gcms/channel/kong/handler/config/RedisConfig.java,70.18,20.00,37.46,21,518,350,4
src/main/java/jp/co/smbc/gcms/channel/kong/handler/controller/LogoutController.java,35.09,40.00,37.46,11,91,33,4
src/main/java/jp/co/smbc/gcms/channel/kong/handler/service/PasswordlessGrantService.java,66.67,20.00,36.51,20,336,203,7
src/test/java/jp/co/smbc/gcms/channel/kong/handler/service/BaseGrantServiceTest.java,42.11,20.00,29.02,13,2180,271,4
src/main/java/jp/co/smbc/gcms/channel/kong/handler/scheduler/CiamTokenRefreshScheduler.java,7.02,100.00,26.49,3,193,9,1
src/main/java/jp/co/smbc/gcms/channel/kong/handler/service/AdminRevokeService.java,7.02,100.00,26.49,3,274,0,3
src/main/java/jp/co/smbc/gcms/channel/kong/handler/util/CIAMErrorMappingUtil.java,3.51,100.00,18.73,2,275,27,2
src/main/java/jp/co/smbc/gcms/channel/kong/handler/config/WireMockConfig.java,3.51,40.00,11.85,2,94,0,2
src/main/java/jp/co/smbc/gcms/channel/kong/handler/util/activity/ActivityContextHolder.java,3.51,20.00,8.38,2,71,32,2
src/main/java/jp/co/smbc/gcms/channel/kong/handler/KongHandlerApplication.java,21.05,0.00,0.00,7,33,10,6
src/main/java/jp/co/smbc/gcms/channel/kong/handler/adaptor/AuthAdaptor.java,38.60,0.00,0.00,12,158,41,6
src/main/java/jp/co/smbc/gcms/channel/kong/handler/adaptor/AuthAdaptorProperties.java,14.04,0.00,0.00,5,21,2,5
src/main/java/jp/co/smbc/gcms/channel/kong/handler/adaptor/ProfileAdaptor.java,28.07,0.00,0.00,9,149,39,4
src/main/java/jp/co/smbc/gcms/channel/kong/handler/adaptor/ProfileAdaptorProperties.java,21.05,0.00,0.00,7,23,2,4
src/main/java/jp/co/smbc/gcms/channel/kong/handler/config/KafkaConfig.java,0.00,0.00,0.00,1,14,0,1
src/main/java/jp/co/smbc/gcms/channel/kong/handler/config/RestClientConfig.java,0.00,40.00,0.00,1,93,0,1
src/main/java/jp/co/smbc/gcms/channel/kong/handler/controller/GrantController.java,24.56,0.00,0.00,8,132,38,7
src/main/java/jp/co/smbc/gcms/channel/kong/handler/controller/RevokeApiController.java,3.51,0.00,0.00,2,80,0,2
src/main/java/jp/co/smbc/gcms/channel/kong/handler/model/GetCorporateConfigurationResponse.java,10.53,0.00,0.00,4,39,0,1
src/main/java/jp/co/smbc/gcms/channel/kong/handler/model/dto/AccessTokenDto.java,7.02,0.00,0.00,3,35,1,3
src/main/java/jp/co/smbc/gcms/channel/kong/handler/service/BiometricGrantService.java,52.63,0.00,0.00,16,410,348,7
src/main/java/jp/co/smbc/gcms/channel/kong/handler/util/ActivityLoggingAspectUtil.java,0.00,100.00,0.00,1,101,0,1
src/main/java/jp/co/smbc/gcms/channel/kong/handler/util/Constants.java,87.72,0.00,0.00,26,193,89,9
src/main/java/jp/co/smbc/gcms/channel/kong/handler/util/LogoutAccessRevokeActivityLogResolverUtil.java,3.51,0.00,0.00,2,35,5,2
src/main/java/jp/co/smbc/gcms/channel/kong/handler/util/TransactionHelperUtils.java,0.00,20.00,0.00,1,22,0,1
src/main/java/jp/co/smbc/gcms/channel/kong/handler/util/activity/ActivityEventPayload.java,0.00,0.00,0.00,1,5,0,1
src/main/java/jp/co/smbc/gcms/channel/kong/handler/util/activity/ActivityLogResolver.java,0.00,0.00,0.00,1,13,0,1
src/main/java/jp/co/smbc/gcms/channel/kong/handler/util/activity/AuthActivityLogEvent.java,0.00,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/channel/kong/handler/util/activity/PublishActivityLog.java,0.00,0.00,0.00,1,12,0,1
src/test/java/jp/co/smbc/gcms/channel/kong/handler/adaptor/AuthAdaptorTest.java,31.58,0.00,0.00,10,330,51,6
src/test/java/jp/co/smbc/gcms/channel/kong/handler/adaptor/ProfileAdaptorTest.java,28.07,0.00,0.00,9,438,13,4
src/test/java/jp/co/smbc/gcms/channel/kong/handler/controller/GrantControllerTest.java,63.16,0.00,0.00,19,974,628,7
src/test/java/jp/co/smbc/gcms/channel/kong/handler/controller/LogoutControllerTest.java,70.18,0.00,0.00,21,273,255,7
src/test/java/jp/co/smbc/gcms/channel/kong/handler/controller/RevokeApiControllerTest.java,31.58,0.00,0.00,10,446,192,4
src/test/java/jp/co/smbc/gcms/channel/kong/handler/scheduler/CiamTokenRefreshSchedulerTest.java,10.53,0.00,0.00,4,541,16,2
src/test/java/jp/co/smbc/gcms/channel/kong/handler/service/AdminRevokeServiceTest.java,7.02,0.00,0.00,3,432,0,3
src/test/java/jp/co/smbc/gcms/channel/kong/handler/service/BiometricGrantServiceTest.java,17.54,0.00,0.00,6,234,6,2
src/test/java/jp/co/smbc/gcms/channel/kong/handler/service/DateTimePatternNormalizerTest.java,7.02,0.00,0.00,3,252,0,1
src/test/java/jp/co/smbc/gcms/channel/kong/handler/service/InternalPinGrantServiceTest.java,66.67,0.00,0.00,20,946,671,9
src/test/java/jp/co/smbc/gcms/channel/kong/handler/service/PasswordGrantServiceTest.java,49.12,0.00,0.00,15,772,254,3
src/test/java/jp/co/smbc/gcms/channel/kong/handler/service/PasswordlessGrantServiceTest.java,45.61,0.00,0.00,14,491,53,2
src/test/java/jp/co/smbc/gcms/channel/kong/handler/service/PostSessionCheckServiceTest.java,31.58,0.00,0.00,10,347,385,6
src/test/java/jp/co/smbc/gcms/channel/kong/handler/service/PreloginGrantServiceTest.java,66.67,0.00,0.00,20,921,227,8
src/test/java/jp/co/smbc/gcms/channel/kong/handler/service/RedisServiceTest.java,17.54,0.00,0.00,6,1283,530,3
src/test/java/jp/co/smbc/gcms/channel/kong/handler/service/RevokeAccessServiceTest.java,24.56,0.00,0.00,8,668,143,6
src/test/java/jp/co/smbc/gcms/channel/kong/handler/util/ActivityContextHolderTest.java,0.00,0.00,0.00,1,112,0,1
src/test/java/jp/co/smbc/gcms/channel/kong/handler/util/ActivityLoggingAspectUtilTest.java,3.51,0.00,0.00,2,389,129,2
src/test/java/jp/co/smbc/gcms/channel/kong/handler/util/CIAMErrorMappingUtilTest.java,7.02,0.00,0.00,3,366,0,1
src/test/java/jp/co/smbc/gcms/channel/kong/handler/util/LogoutAccessRevokeActivityLogResolverUtilTest.java,0.00,0.00,0.00,1,68,0,1
src/test/java/jp/co/smbc/gcms/channel/kong/handler/util/TransactionHelperUtilsTest.java,0.00,0.00,0.00,1,61,0,1
