file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/fo/lookup/FOInternalLookupBranchAdaptor.java,100.00,100.00,100.00,3,32,6,3
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/context/ApiContextFactory.java,100.00,100.00,100.00,9,21,20,8
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/security/jwt/JwtKit.java,100.00,100.00,100.00,6,53,97,3
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/service/StreamAdaptor.java,100.00,100.00,100.00,21,480,147,5
corp-common-helper/src/test/java/jp/co/smbc/gcms/common/service/StreamAdaptorTest.java,100.00,100.00,100.00,12,487,82,3
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/bo/ods/BOInternalOdsAdaptor.java,80.00,100.00,89.44,2,57,5,2
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/ciam/CIAMAdaptor.java,100.00,80.00,89.44,20,2911,1483,2
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/ciam/CIAMAdaptorEnvironmentPostProcessor.java,100.00,80.00,89.44,6,124,84,1
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/bo/profile/BOInternalProfileAdaptorEnvironmentPostProcessor.java,80.00,80.00,80.00,2,41,2,2
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/domain/InternalDomainAdaptorEnvironmentPostProcessor.java,80.00,80.00,80.00,2,80,0,2
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/elasticsearch/ElasticsearchAdaptorEnvironmentPostProcessor.java,80.00,80.00,80.00,2,76,0,2
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/entitlement/InternalEntitlementAdaptorEnvironmentPostProcessor.java,80.00,80.00,80.00,2,80,0,2
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/ciam/CIAMAdaptorAutoConfiguration.java,100.00,60.00,77.46,7,121,84,1
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/elasticsearch/ElasticsearchAdaptorAutoConfiguration.java,100.00,60.00,77.46,4,68,4,3
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/enums/MaskType.java,100.00,60.00,77.46,4,131,72,2
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/exception/ErrorHelper.java,100.00,60.00,77.46,12,242,232,7
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/service/Translator.java,100.00,60.00,77.46,11,401,123,3
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/bo/content/BOInternalContentAdaptorAutoConfiguration.java,80.00,60.00,69.28,2,36,2,1
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/bo/instruction/BOInternalInstructionAdaptorAutoConfiguration.java,80.00,60.00,69.28,2,35,1,1
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/bo/profile/BOInternalProfileAdaptorAutoConfiguration.java,80.00,60.00,69.28,2,35,1,1
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/domain/InternalDomainAdaptorAutoConfiguration.java,80.00,60.00,69.28,2,70,0,2
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/entitlement/InternalEntitlementAdaptorAutoConfiguration.java,80.00,60.00,69.28,2,66,0,2
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/ciam/CIAMTool.java,40.00,100.00,63.25,1,111,0,1
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/context/JwtFields.java,100.00,40.00,63.25,9,14,2,2
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/exception/ErrorCollector.java,100.00,40.00,63.25,6,69,24,3
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/exception/GlobalExceptionHandler.java,100.00,40.00,63.25,9,96,97,7
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/interceptor/ErrorCheckInterceptor.java,100.00,40.00,63.25,5,54,19,3
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/interceptor/ServiceAvailabilityInterceptor.java,100.00,40.00,63.25,3,5,5,3
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/service/TemplateService.java,40.00,100.00,63.25,1,55,0,1
corp-telemetry-helper/src/main/java/jp/co/smbc/gcms/telemetry/filter/PacketRequestFilter.java,40.00,100.00,63.25,1,32,0,1
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/bo/content/BOInternalContentAdaptorEnvironmentPostProcessor.java,40.00,80.00,56.57,1,39,0,1
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/bo/instruction/BOInternalInstructionAdaptorEnvironmentPostProcessor.java,40.00,80.00,56.57,1,39,0,1
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/bo/lookup/BOInternalLookupAdaptorEnvironmentPostProcessor.java,40.00,80.00,56.57,1,39,0,1
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/context/CommonServiceHttpHeaderInterceptor.java,80.00,40.00,56.57,2,2,2,2
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/model/CommonErrorMessage.java,80.00,40.00,56.57,2,49,1,1
corp-common-helper/src/main/java/jp/co/smbc/gcms/common/adaptor/bo/branch/BOInternalBankBranchAdaptorAutoConfiguration.java,40.00,60.00,48.99,1,1,1,1
