file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/mapper/ReportInputMessageBuilder.java,85.71,100.00,92.58,3,379,181,2
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/model/SdkDecimalProtobuf.java,57.14,40.00,47.81,2,48,4,2
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/deserializer/DecimalProtoDeserializer.java,28.57,0.00,0.00,1,39,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/mapper/ChannelReportBeneficiaryMessageBuilder.java,57.14,0.00,0.00,2,55,1,2
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/mapper/UserProfileChangedBuilder.java,28.57,0.00,0.00,1,56,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/model/ChannelReportBeneficiaryDataModel.java,28.57,0.00,0.00,1,34,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/model/ChannelReportBeneficiaryHeaderModel.java,28.57,0.00,0.00,1,19,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/model/EmailEventDetailModel.java,28.57,0.00,0.00,1,38,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/model/ReportInputDataModel.java,28.57,0.00,0.00,1,74,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/model/ReportInputHeaderModel.java,28.57,0.00,0.00,1,18,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/model/SmsEventDetailModel.java,28.57,0.00,0.00,1,26,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/model/StreamEventHeader.java,100.00,0.00,0.00,4,52,0,4
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/model/UserProfileChangedDataModel.java,28.57,0.00,0.00,1,34,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/model/UserProfileChangedHeaderModel.java,28.57,0.00,0.00,1,26,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/DecimalProtobuf.proto,28.57,0.00,0.00,1,7,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/account_corporate_relationship_change.proto,28.57,0.00,0.00,1,18,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/approval_group_executor.proto,57.14,0.00,0.00,2,8,1,2
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/approval_matrix_management_edit_approval_rule_executor.proto,85.71,0.00,0.00,3,50,25,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_activity_log.proto,57.14,0.00,0.00,2,12,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_activity_log_enriched.proto,100.00,0.00,0.00,4,110,26,3
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_communication.proto,57.14,0.00,0.00,2,23,0,2
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_customer_instruction_status_update.proto,28.57,0.00,0.00,1,14,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_email.proto,28.57,0.00,0.00,1,11,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_email_attachment.proto,28.57,0.00,0.00,1,12,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_event.proto,85.71,0.00,0.00,3,24,1,2
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_hard_token_creation.proto,28.57,0.00,0.00,1,8,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_instruction_command.proto,100.00,0.00,0.00,5,52,11,3
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_instruction_status_change.proto,100.00,0.00,0.00,4,64,6,3
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_instruction_status_executor.proto,28.57,0.00,0.00,1,8,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_instruction_status_update.proto,57.14,0.00,0.00,2,48,0,2
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_notification_adaptor_event.proto,28.57,0.00,0.00,1,34,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_report_generation.proto,28.57,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/bo_stream_user_notification_settings_update.proto,57.14,0.00,0.00,2,28,0,2
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/channel_report_beneficiary.proto,28.57,0.00,0.00,1,42,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/channel_report_beneficiary_r2.proto,28.57,0.00,0.00,1,98,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/common-service_email_event_detail.proto,28.57,0.00,0.00,1,21,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/common-service_sms_event_detail.proto,28.57,0.00,0.00,1,15,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/corporate_service_change.proto,28.57,0.00,0.00,1,21,0,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/fo_stream_account_statement.proto,100.00,0.00,0.00,6,107,7,5
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/fo_stream_activity_log.proto,57.14,0.00,0.00,2,7,1,1
src/main/java/jp/co/smbc/gcms/channel/protobufsdk/protobuf/fo_stream_activity_log_enriched.proto,100.00,0.00,0.00,7,109,26,4
