file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
sit_burn_up/fetch_burn_up.py,100.00,100.00,100.00,13,1874,154,2
fetch_test_suite_progress.py,100.00,93.88,96.89,11,1417,105,1
fetch_cw_unexecuted_steps.py,43.64,77.55,58.17,4,1474,49,3
fetch_tc_step_analysis.py,14.55,63.27,30.34,2,844,24,1
fetch_step_results.py,29.09,18.37,23.12,3,624,17,1
fetch_daily_step_stats.py,14.55,22.45,18.07,2,625,8,1
fetch_defect_analysis.py,0.00,85.71,0.00,1,1244,0,1
fetch_suite_triage.py,0.00,73.47,0.00,1,912,0,1
fetch_tc_viz.py,0.00,36.73,0.00,1,640,0,1
sit_burn_up/diag_points.py,0.00,0.00,0.00,1,81,0,1
