file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
packages/host/src/components/AccessRightsTemplate/CreateEntitlementTemplate.tsx,100.00,100.00,100.00,22,2266,1544,10
packages/host/src/components/BankAdminManagement/AdminUsers.tsx,100.00,100.00,100.00,39,1669,815,15
packages/host/src/components/BankAdminManagement/ViewGroupDetailsBankAdmin/BankAdminUsersTab.tsx,100.00,100.00,100.00,28,2231,743,12
packages/host/src/components/CompanyManagement/Accounts/AccountList.tsx,100.00,100.00,100.00,23,1594,602,10
packages/host/src/components/CompanyManagement/Accounts/CompanyManagementAccountLanding.tsx,100.00,100.00,100.00,54,1696,681,17
packages/host/src/components/CompanyManagement/Accounts/CompanyManagementAccountLinkServiceEdit.tsx,100.00,100.00,100.00,20,1901,1265,11
packages/host/src/components/CompanyManagement/Accounts/CompanyManagementAccountSelect.tsx,100.00,100.00,100.00,42,1496,813,14
packages/host/src/components/CompanyManagement/ApprovalGroupAndMatrix/ApprovalMatricesDetails.tsx,100.00,100.00,100.00,23,978,569,11
packages/host/src/components/CompanyManagement/ApprovalGroupAndMatrix/ReviewApprovalGroupMatrix/ReviewApprovalGroup.tsx,100.00,100.00,100.00,24,1557,573,10
packages/host/src/components/CompanyManagement/ApprovalGroupAndMatrix/ReviewApprovalGroupMatrix/ReviewApprovalmatrix.tsx,100.00,100.00,100.00,27,1894,498,11
packages/host/src/components/CompanyManagement/ApprovalMatrix/ApprovalMatrixAdvance.tsx,100.00,100.00,100.00,27,4341,1449,10
packages/host/src/components/CompanyManagement/ApprovalMatrix/ApprovalMatrixListView.tsx,100.00,100.00,100.00,64,3139,1189,15
packages/host/src/components/CompanyManagement/ApprovalMatrix/ApprovalMatrixSimple.tsx,100.00,100.00,100.00,28,1967,644,11
packages/host/src/components/CompanyManagement/CompanyManagementEdit.tsx,100.00,100.00,100.00,19,239,89,9
packages/host/src/components/CompanyManagement/EntitlementTemplateDetails/AddLimits.tsx,100.00,100.00,100.00,24,3973,1023,10
packages/host/src/components/CompanyManagement/EntitlementTemplateDetails/CreateEntitlement.tsx,100.00,100.00,100.00,39,2120,1157,12
packages/host/src/components/CompanyManagement/EntitlementTemplateDetails/EntitlementTemplateTable.tsx,100.00,100.00,100.00,30,2187,1307,14
packages/host/src/components/CompanyManagement/EntitlementTemplateDetails/LinkAccounts.tsx,100.00,100.00,100.00,25,2909,960,13
packages/host/src/components/CompanyManagement/User/AccountLimitsSection.tsx,100.00,100.00,100.00,34,920,437,14
packages/host/src/components/CompanyManagement/User/AccountsTabUserDetails.test.tsx,100.00,100.00,100.00,25,4385,1033,16
packages/host/src/components/CompanyManagement/User/AccountsTabUserDetails.tsx,100.00,100.00,100.00,39,1672,1104,15
packages/host/src/components/CompanyManagement/User/FinancialServiceTableForm.tsx,100.00,100.00,100.00,35,1745,794,12
packages/host/src/components/CompanyManagement/User/ServiceLimitsSection.tsx,100.00,100.00,100.00,28,766,279,9
packages/host/src/components/CompanyManagement/User/UserDetailForm.tsx,100.00,100.00,100.00,58,1572,667,16
packages/host/src/components/CompanyManagement/UserandEntitlementsTab.test.tsx,100.00,100.00,100.00,22,2325,176,15
packages/host/src/components/CompanyManagement/UserandEntitlementsTab.tsx,100.00,100.00,100.00,37,2857,724,18
packages/host/src/components/CompanyOnboarding/CompanyUserManagement/UsersTableSection.tsx,100.00,100.00,100.00,95,3302,1889,24
packages/host/src/components/CompanyOnboarding/Detail/CompanyDetailTab.tsx,100.00,100.00,100.00,24,1096,582,11
packages/host/src/components/CompanyOnboarding/Detail/OnboardCompanyInfoSteps/CompanyEditLimitsTab.tsx,100.00,100.00,100.00,19,2305,1818,9
packages/host/src/components/CompanyOnboarding/Detail/OnboardCompanyInfoSteps/OnboardLimits/ServiceLimitsSection.tsx,100.00,100.00,100.00,22,1390,1187,11
packages/host/src/components/CompanyOnboarding/Detail/OnboardCompanyInfoSteps/StepCompanySetup.tsx,100.00,100.00,100.00,48,861,624,14
packages/host/src/components/CompanyOnboarding/Detail/ServicesTab.tsx,100.00,100.00,100.00,27,1244,576,11
packages/host/src/components/CompanyOnboarding/Detail/UsersTab.tsx,100.00,100.00,100.00,69,2769,1444,21
packages/host/src/components/CompanyOnboarding/services/RegisterServicesPage.tsx,100.00,100.00,100.00,24,351,165,9
packages/host/src/components/CompanyOnboarding/services/ServiceConfig.tsx,100.00,100.00,100.00,33,1478,770,12
packages/host/src/components/CompanyUserManagement/UserDetails.tsx,100.00,100.00,100.00,19,1137,535,10
packages/host/src/components/ConfigurationManagement/ClosureCalender/EditCalendarDetails.tsx,100.00,100.00,100.00,19,3181,984,4
packages/host/src/components/ContentManagement/Announcement/Wrapper/AnnouncementActionWrapper.tsx,100.00,100.00,100.00,19,904,296,6
packages/host/src/components/CustomerManagement/CompanyManagementLanding.tsx,100.00,100.00,100.00,58,1150,663,21
packages/host/src/components/CustomerManagement/CompanyManagementTable.tsx,100.00,100.00,100.00,31,957,654,10
packages/host/src/components/CustomerManagement/OnboardCompanyInfo.tsx,100.00,100.00,100.00,90,2190,977,20
packages/host/src/components/CustomerManagement/OnboardLimits.tsx,100.00,100.00,100.00,40,2578,1535,13
packages/host/src/components/NavBar/NavBar.tsx,100.00,100.00,100.00,28,441,205,13
packages/host/src/components/PageTemplate/PageHeader.tsx,100.00,100.00,100.00,24,541,342,7
packages/host/src/components/UploadingSupportingDocument/UploadingSupportingDocuments.tsx,100.00,100.00,100.00,46,3046,1334,14
packages/host/src/components/Workflow/detail/WorkflowDetailWrapper.tsx,100.00,100.00,100.00,51,429,102,18
packages/host/src/components/Workflow/list/ToDoList/ToDoList.tsx,100.00,100.00,100.00,84,2542,1526,25
packages/host/src/features/accountSlice.ts,100.00,100.00,100.00,21,832,104,12
packages/host/src/features/approvalGroupMatrixSlice.ts,100.00,100.00,100.00,23,1526,364,6
packages/host/src/features/companyUserSlice.ts,100.00,100.00,100.00,44,1758,371,14
packages/host/src/hooks/useAddServices.ts,100.00,100.00,100.00,23,1659,1089,6
packages/host/src/hooks/useEntitlementServices.ts,100.00,100.00,100.00,28,1888,1249,12
packages/host/src/pages/BankAdminManagement/AdminGroupManagement/ManageUser.tsx,100.00,100.00,100.00,29,2648,1497,10
packages/host/src/pages/BankAdminManagement/AdminGroupManagement/ReviewAdminGroup.tsx,100.00,100.00,100.00,30,2354,687,8
packages/host/src/pages/BankAdminManagement/AdminGroupManagement/UploadDocuments.tsx,100.00,100.00,100.00,31,2526,851,10
packages/host/src/pages/BankAdminManagement/CreateUser.tsx,100.00,100.00,100.00,32,1744,511,11
