file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/domains/account/features/account-details/index.tsx,100.00,100.00,100.00,16,476,120,4
src/domains/account/features/account-enquiry/index.tsx,100.00,100.00,100.00,17,530,165,5
src/domains/account/hooks/useAccountEnquiry.ts,100.00,100.00,100.00,17,741,97,5
src/domains/account/utils/mapperUtils.ts,100.00,100.00,100.00,21,1644,526,6
src/domains/auth/features/pre-login/auth-modal/index.tsx,100.00,100.00,100.00,21,237,218,9
src/domains/auth/features/pre-login/index.tsx,100.00,100.00,100.00,32,460,269,11
src/domains/widget/features/render-widget/components/cash-flow-widget/index.tsx,100.00,100.00,100.00,25,694,828,9
src/domains/widget/features/render-widget/components/three-sixty-overview-widget/index.tsx,100.00,100.00,100.00,20,698,750,7
src/domains/widget/features/render-widget/index.tsx,100.00,100.00,100.00,15,73,83,4
src/shared/components/SMBCFilterButton/SMBCFilterModal.tsx,100.00,100.00,100.00,34,1204,676,10
src/shared/components/SMBCGlobalSidebar/index.tsx,100.00,100.00,100.00,16,274,244,5
src/shared/utils/axiosInstance.ts,100.00,100.00,100.00,19,136,122,8
src/domains/widget/features/render-widget/__tests__/components/cash-flow-widget/index.test.tsx,96.30,100.00,98.13,13,797,351,7
src/domains/widget/hooks/useCashFlowWidget.ts,96.30,100.00,98.13,13,562,94,5
src/shared/components/SMBCFilterButton/index.tsx,96.30,100.00,98.13,13,129,115,7
src/domains/auth/features/reset-password/screens/ResetPasswordAuthenticationStep.tsx,88.89,100.00,94.28,12,533,429,6
src/domains/auth/store/index.tsx,88.89,100.00,94.28,12,395,22,6
src/domains/inbox/features/notification/screens/NotificationDetailsScreen.tsx,88.89,100.00,94.28,12,183,184,5
src/domains/widget/features/render-widget/components/portfolio-widget/index.tsx,88.89,100.00,94.28,12,506,591,5
src/domains/widget/features/render-widget/components/transaction-by-account-widget/TransitionByAccountChartView.tsx,88.89,100.00,94.28,12,327,197,5
src/shared/providers/PendingSoftTokenContext.tsx,88.89,100.00,94.28,12,161,94,5
src/domains/account/hooks/useTransactionHistoryList.ts,88.89,93.33,91.08,12,811,255,4
src/domains/content/features/InformationCenter/screens/InformationDetailsScreen.tsx,81.48,100.00,90.27,11,191,159,6
src/domains/profile/hooks/useEditNotifications.ts,81.48,100.00,90.27,11,586,98,5
src/domains/widget/features/widget-management/screens/EditWidgetScreen.tsx,81.48,100.00,90.27,11,589,250,3
src/domains/widget/hooks/useTransactionByAccountWidget.ts,81.48,100.00,90.27,11,942,194,5
src/shared/utils/errorUtils.ts,81.48,100.00,90.27,11,107,54,5
src/domains/widget/hooks/useWidgetConfig.ts,100.00,80.00,89.44,14,788,280,7
src/features/gatewaySlice.ts,100.00,80.00,89.44,14,336,85,8
src/domains/widget/features/render-widget/components/balance-by-account-widget/index.tsx,96.30,80.00,87.77,13,350,488,6
src/domains/widget/hooks/useBalanceByAccount.ts,74.07,100.00,86.07,10,558,93,4
src/domains/widget/hooks/useEditWidget.ts,74.07,100.00,86.07,10,278,369,4
src/domains/widget/hooks/useThreeSixtyWidget.ts,74.07,100.00,86.07,10,499,112,3
src/shared/components/SMBCDatePicker/index.tsx,74.07,100.00,86.07,10,176,132,5
src/shared/components/SMBCDropdown/SMBCDropdownSelect.tsx,74.07,100.00,86.07,10,110,66,5
src/shared/components/SMBCFilterButton/__tests__/SMBCFilterModal.test.tsx,88.89,80.00,84.33,12,1964,248,3
src/domains/auth/features/first-time-setup/index.tsx,74.07,93.33,83.15,10,364,240,5
src/domains/account/models/AccountWidget.ts,100.00,66.67,81.65,23,1121,241,9
src/domains/auth/features/first-time-setup/__tests__/FirstTimeSetup.test.tsx,66.67,100.00,81.65,9,347,183,5
src/domains/auth/features/first-time-setup/screens/FirstTimeSetupAuthenticationStep.tsx,66.67,100.00,81.65,9,70,55,5
src/domains/auth/hooks/index.ts,100.00,66.67,81.65,46,1073,703,12
src/domains/content/features/InformationCenter/screens/InformationCenterScreen.tsx,66.67,100.00,81.65,9,402,393,5
src/domains/profile/features/profile-landing/screens/PersonalDetails.tsx,66.67,100.00,81.65,9,157,143,4
src/domains/widget/features/render-widget/components/calendar-widget/index.tsx,66.67,100.00,81.65,9,279,270,4
src/domains/auth/features/pre-login/auth-modal/enter-pin/index.tsx,81.48,80.00,80.74,11,378,153,5
src/domains/profile/hooks/useProfileLanding.ts,96.30,66.67,80.12,13,240,133,5
src/domains/content/hooks/useAnnouncement.tsx,74.07,80.00,76.98,10,362,71,7
src/shared/utils/formatDate.ts,74.07,80.00,76.98,10,201,47,6
src/shared/components/SMBCProfileStickyHeader/index.tsx,59.26,100.00,76.98,8,218,30,4
src/shared/providers/AlertProvider.tsx,59.26,100.00,76.98,8,305,264,5
src/domains/auth/features/first-time-setup/screens/CreateNewPasswordStep.tsx,59.26,93.33,74.37,8,57,78,3
src/domains/auth/features/first-time-setup/screens/TermsAndConditionsStep.tsx,59.26,93.33,74.37,8,38,66,5
src/shared/components/SMBCPinCreate/index.tsx,59.26,93.33,74.37,8,53,25,4
src/domains/auth/features/scan-qr/components/ScanQrModal.tsx,81.48,66.67,73.70,11,264,256,6
src/domains/auth/features/scan-qr/index.tsx,81.48,66.67,73.70,11,125,78,7
src/hooks/useGateway.ts,81.48,66.67,73.70,11,183,213,3
App.tsx,100.00,53.33,73.03,19,642,307,9
src/domains/account/hooks/useAccountWidget.ts,100.00,53.33,73.03,17,498,46,8
src/domains/dashboard/hooks/index.ts,100.00,53.33,73.03,17,493,76,8
src/domains/widget/features/render-widget/components/transaction-by-account-widget/index.tsx,100.00,53.33,73.03,15,430,690,7
src/shared/components/SMBCFilterButton/FilterModel.tsx,100.00,53.33,73.03,14,87,12,6
src/domains/account/features/account-details/components/TransactionHistoryCard.tsx,51.85,100.00,72.01,7,63,67,3
src/domains/account/store/index.ts,51.85,100.00,72.01,7,986,273,4
src/domains/dashboard/features/dashboard-landing/components/AnnouncementDetailModal.tsx,51.85,100.00,72.01,7,552,20,5
src/domains/taskbox/store/index.ts,51.85,100.00,72.01,7,257,97,3
src/domains/widget/features/render-widget/components/cash-flow-widget/CashFlowTabDetailesView.tsx,51.85,100.00,72.01,7,138,132,3
src/domains/widget/hooks/usePortfolioWidget.ts,51.85,100.00,72.01,7,357,31,4
src/domains/widget/utils/index.tsx,51.85,100.00,72.01,7,119,27,5
src/features/lookupSlice.ts,51.85,100.00,72.01,7,263,16,6
src/shared/hooks/useSessionManagement.ts,51.85,100.00,72.01,7,226,205,4
src/domains/auth/features/first-time-setup/__tests__/TermsAndConditionsStep.test.tsx,96.30,53.33,71.66,13,2376,658,6
src/domains/widget/hooks/__tests__/useWidgetConfig.test.ts,96.30,53.33,71.66,13,1086,173,4
src/domains/auth/features/reset-pin/screens/ResetPinAuthenticationStep.tsx,74.07,66.67,70.27,10,47,85,5
src/shared/components/SMBCInputField/SMBCInputField.tsx,74.07,66.67,70.27,10,220,188,5
src/domains/widget/features/render-widget/components/cash-flow-widget/NoTranscationCard.tsx,51.85,93.33,69.57,7,143,119,7
src/domains/widget/providers/WidgetFilterProvider.tsx,51.85,93.33,69.57,7,139,42,4
src/domains/auth/features/update-password/index.tsx,59.26,80.00,68.85,8,173,118,5
src/domains/profile/hooks/useRegisteredDevice.ts,88.89,53.33,68.85,12,216,66,6
src/shared/components/SMBCFilterButton/SaveFilterModal.tsx,88.89,53.33,68.85,12,358,289,6
src/domains/profile/features/profile-landing/components/NotificationReviewStep.tsx,44.44,100.00,66.67,6,547,219,4
src/domains/profile/store/index.tsx,44.44,100.00,66.67,6,284,2,4
src/domains/widget/features/render-widget/components/WidgetCardBaseView.tsx,44.44,100.00,66.67,6,114,22,4
src/shared/components/SMBCDatePicker/AssesoriesView.tsx,44.44,100.00,66.67,6,279,193,3
src/shared/utils/notificationHandler.ts,44.44,100.00,66.67,6,579,176,3
src/hooks/useLocalization.ts,66.67,66.67,66.67,9,240,12,5
src/shared/components/SMBCAnnouncementBox/index.tsx,66.67,66.67,66.67,9,200,134,4
src/domains/auth/features/pre-login/components/AnnouncementWrapperView.tsx,81.48,53.33,65.92,11,234,103,5
src/domains/widget/features/render-widget/__tests__/components/portfolio-widget/index.test.tsx,81.48,53.33,65.92,11,990,96,6
src/domains/widget/features/render-widget/__tests__/index.test.tsx,81.48,53.33,65.92,11,625,97,4
src/domains/profile/features/profile-landing/screens/SystemAccess.tsx,51.85,80.00,64.41,7,62,46,4
src/domains/widget/providers/__tests__/WidgetFilterProvider.test.tsx,51.85,80.00,64.41,7,745,23,4
src/shared/components/SMBCCurrencySelector/CurrencySelectPopup.tsx,44.44,93.33,64.41,6,223,23,4
src/shared/utils/permissionUtils.ts,51.85,80.00,64.41,7,25,22,5
src/domains/account/apis/AccountWidget.ts,100.00,40.00,63.25,17,565,54,8
src/domains/account/utils/__tests__/mapperUtils.test.ts,100.00,40.00,63.25,15,2251,218,5
src/domains/profile/features/profile-landing/screens/__tests__/ProfileLandingScreen.test.tsx,74.07,53.33,62.85,10,176,102,6
src/hooks/useLookup.ts,74.07,53.33,62.85,10,159,36,8
src/shared/components/SMBCDatePicker/__tests__/CalendarView.test.tsx,74.07,53.33,62.85,10,1997,1676,6
src/shared/components/SMBCFilterButton/AssesoriesView.tsx,74.07,53.33,62.85,10,76,53,5
src/shared/providers/SessionManagementProvider.tsx,74.07,53.33,62.85,10,147,169,6
src/shared/utils/__tests__/notificationHandler.test.ts,59.26,66.67,62.85,8,1638,672,3
src/domains/profile/features/profile-landing/screens/__tests__/ProfileActivity.test.tsx,96.30,40.00,62.06,13,526,129,5
src/domains/content/features/InformationCenter/screens/InformationBookmarkScreen.tsx,37.04,100.00,60.86,5,468,204,2
src/domains/inbox/features/notification/components/notifications-list-view/index.tsx,37.04,100.00,60.86,5,173,339,3
src/domains/taskbox/features/my-tasks/components/task-list-view/index.tsx,37.04,100.00,60.86,5,147,0,2
src/domains/taskbox/features/my-tasks/screens/MultiSelectTaskScreen.tsx,37.04,100.00,60.86,5,140,5,2
src/domains/taskbox/hooks/UseTaskListScreen.ts,37.04,100.00,60.86,5,1361,219,2
src/domains/widget/features/render-widget/components/cash-flow-widget/CashFlowChartView.tsx,37.04,100.00,60.86,5,153,92,3
src/shared/components/SMBCAuditTrailStepItem/index.tsx,37.04,100.00,60.86,5,485,414,3
src/shared/components/SMBCDatePicker/CalendarView.tsx,37.04,100.00,60.86,5,569,409,5
src/shared/components/SMBCPagination/index.tsx,37.04,100.00,60.86,5,158,123,2
src/shared/components/SMBCTncView/index.tsx,37.04,100.00,60.86,5,378,151,4
src/domains/profile/features/profile-landing/components/NotificationAccountThresholdCard.tsx,44.44,80.00,59.63,6,160,31,4
src/domains/widget/features/render-widget/__tests__/components/balance-by-account-widget/index.test.tsx,66.67,53.33,59.63,9,594,96,4
src/domains/auth/features/pre-login/auth-modal/login/index.tsx,51.85,66.67,58.79,7,39,39,4
src/domains/profile/features/profile-landing/screens/EditNotifications.tsx,51.85,66.67,58.79,7,228,29,4
src/shared/components/SMBCLanguageIcon/LanguageSelectPopup.tsx,51.85,66.67,58.79,7,57,150,3
src/shared/components/SMBCTabLinkGroup/index.tsx,51.85,66.67,58.79,7,48,23,5
src/domains/account/features/account-enquiry/__tests__/index.test.tsx,81.48,40.00,57.09,11,1074,735,5
src/domains/auth/hooks/useCreateNewPassword.ts,81.48,40.00,57.09,11,139,125,7
src/domains/profile/features/profile-landing/screens/__tests__/PersonalDetails.test.tsx,81.48,40.00,57.09,11,623,131,4
src/domains/profile/features/profile-landing/screens/Notifications.tsx,59.26,53.33,56.22,8,113,82,5
src/app/navigation/__tests__/RootNavigator.test.tsx,29.63,100.00,54.43,4,67,50,3
src/domains/account/features/account-details/components/AccountDetailsHeader.tsx,44.44,66.67,54.43,6,63,67,4
src/domains/auth/features/first-time-setup/screens/ReEnterDevicePinStep.tsx,37.04,80.00,54.43,5,23,23,3
src/domains/content/apis/index.tsx,74.07,40.00,54.43,10,296,32,6
src/domains/inbox/hooks/UseNotificationDetails.tsx,44.44,66.67,54.43,6,215,15,3
src/domains/inbox/hooks/UseNotificationLanding.ts,29.63,100.00,54.43,4,322,5,1
src/domains/profile/features/profile-landing/screens/__tests__/SystemAccess.test.tsx,74.07,40.00,54.43,10,457,101,6
src/domains/taskbox/hooks/UseMultiSelectTaskScreen.ts,29.63,100.00,54.43,4,363,118,2
src/shared/components/SMBCButton/index.tsx,29.63,100.00,54.43,4,215,181,3
src/shared/components/SMBCLanguageIcon/SMBCLanguageIcon.tsx,29.63,100.00,54.43,4,25,14,3
src/shared/components/SMBCSortDrawer/FilterSortDrawer.tsx,44.44,66.67,54.43,6,323,277,4
src/shared/utils/inputValidationUtils.ts,29.63,100.00,54.43,4,37,45,2
src/domains/auth/features/pre-login/components/EmbeddedAlertBanner.tsx,29.63,93.33,52.59,4,39,1,3
src/domains/auth/features/register-device/index.tsx,51.85,53.33,52.59,7,87,95,5
src/domains/auth/hooks/useUpdatePassword.ts,51.85,53.33,52.59,7,188,128,4
