file_path,churn_score,complexity_score,hotspot_score,commit_count,lines_added,lines_removed,author_count
src/components/AuditTrail/AuditTrailItem.tsx,100.00,100.00,100.00,28,1019,292,15
src/components/DatePicker/DatePicker.tsx,100.00,100.00,100.00,30,994,409,16
src/components/Dropdown/DropdownSelect.tsx,100.00,100.00,100.00,13,442,90,12
src/components/Filters/DrawerBody.tsx,100.00,100.00,100.00,35,1915,511,15
src/components/Filters/FiltersDrawer.stories.tsx,100.00,100.00,100.00,17,1319,142,10
src/components/Filters/FiltersDrawer.tsx,100.00,100.00,100.00,33,1276,187,18
src/components/SearchBox/SearchBox.tsx,100.00,100.00,100.00,10,298,77,6
src/components/Table/Table.tsx,100.00,100.00,100.00,28,1608,592,17
src/components/DatePicker/MonthYearPicker.tsx,100.00,90.00,94.87,10,202,46,9
src/components/Calendar/Calendar.tsx,70.59,100.00,84.02,6,786,250,3
src/components/Tooltip/Tooltip.tsx,70.59,100.00,84.02,6,199,65,6
src/components/Table/Pagination.tsx,100.00,70.00,83.67,11,463,131,8
src/components/InputField/InputField.tsx,94.12,70.00,81.17,8,244,22,8
src/components/AccordionContainer/AccordionContainer.tsx,100.00,60.00,77.46,14,205,105,11
src/components/Alert/Alert.tsx,82.35,60.00,70.29,7,115,38,6
src/components/FileUploader/FileUploader.tsx,70.59,70.00,70.29,6,414,49,5
src/components/InstructionSummaryCard/InstructionSummaryCard.tsx,47.06,100.00,68.60,4,233,71,4
src/components/Modal/SMBCModal.tsx,47.06,90.00,65.08,4,110,5,4
src/components/Filters/DrawerBody.test.tsx,100.00,40.00,63.25,10,886,11,8
src/components/SidePanel/SidePanel.tsx,47.06,80.00,61.36,4,281,168,2
src/utilities/hooks/useSearchKeyword.ts,58.82,60.00,59.41,5,593,4,3
src/utilities/foundationUtils/specialCharacterHandling.ts,47.06,70.00,57.39,4,56,13,3
.storybook/main.ts,35.29,80.00,53.14,3,244,72,3
src/components/Button/IconButton.tsx,47.06,60.00,53.14,4,135,48,2
src/components/AuditTrail/AuditTrail.test.tsx,23.53,100.00,48.51,2,200,1,2
src/components/Drawer/Drawer.tsx,47.06,50.00,48.51,4,104,25,3
src/components/Dropdown/DropdownMultiSectionSelect.tsx,47.06,50.00,48.51,4,271,17,4
src/components/TimePicker/TimePicker.tsx,23.53,100.00,48.51,2,493,34,2
src/utilities/foundationUtils/sort.ts,23.53,100.00,48.51,2,388,0,2
src/utilities/hooks/useFilter.ts,23.53,100.00,48.51,2,346,8,2
src/components/Table/HeaderDropdown.tsx,70.59,30.00,46.02,6,165,95,4
src/utilities/foundationUtils/Filters/filterHelpers.ts,35.29,60.00,46.02,3,121,7,2
src/components/Toast/Toast.test.tsx,47.06,40.00,43.39,4,272,2,4
src/components/ButtonSwitchGroup/ButtonSwitchGroup.tsx,35.29,50.00,42.01,3,87,2,2
src/components/Grid/InfoGrid.tsx,35.29,50.00,42.01,3,266,22,3
src/components/Table/PageSizeDropdown.tsx,58.82,30.00,42.01,5,141,38,5
src/components/Filters/DrawerFooter.tsx,82.35,20.00,40.58,7,99,15,6
src/components/Filters/FiltersDrawer.test.tsx,82.35,20.00,40.58,7,723,252,6
src/components/Checkbox/Checkbox.tsx,70.59,20.00,37.57,6,124,50,5
src/utilities/commonUtils.ts,35.29,40.00,37.57,3,99,0,3
src/utilities/foundationUtils/detectMobileDevice.ts,35.29,40.00,37.57,3,40,20,2
src/components/DatePicker/MonthRange.tsx,11.76,100.00,34.30,1,413,0,1
src/components/SearchBox/SearchBox.test.tsx,58.82,20.00,34.30,5,417,166,3
src/utilities/functions/index.ts,58.82,20.00,34.30,5,131,28,3
src/components/TextForm/TextForm.tsx,35.29,30.00,32.54,3,184,46,3
src/utilities/foundationUtils/autoInputFormat.ts,35.29,30.00,32.54,3,83,16,3
src/components/SidePanel/SidePanelNext.tsx,11.76,90.00,32.54,1,112,0,1
